P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,TC1,TC2,TC3,TC4,TC5,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
5,5.044224,22.5,22.926483,11.73,11.777683,90.562103,NaN,7.090362,NaN,36.500854,400,399.719025,25,28.65802,10.339578,69.07415,49.996014,400.607269,398.57193,400.065979,3976.316895,9.057289,9.261596,64.002396,56.442406,8.142346,80.79158,50.029835,23.842352,32.266933,11.68493,11.219966,32.422207,41.891956,87.791306,0.0961464494466782,56.904602,594.277310966017,2.43162049735673,0.0957444777970983,1.76845297759777,2.0213195903217,699.205706992778,2.51647679644471,0.0229831660596125,2.45242614278733,63.9203249286489,668.863493159313,78.4464685357576,0.0210872705174083,2.57393663440578
5,5.044465,22.5,22.925304,11.73,11.766352,90.576408,NaN,7.088733,NaN,36.508778,400,399.69635,25,28.665577,10.336605,69.378387,49.996014,400.59259,398.502502,400.019897,3977.248535,9.064435,9.264954,64.031387,56.428719,8.173623,80.834137,50.020512,23.836929,32.267277,11.663473,11.230366,32.435116,41.859085,87.800629,0.0989302024245262,56.890156,594.25633744693,2.43153878786057,0.0957339792907503,1.76844575099748,2.02290884054662,699.244386818071,2.51659059234692,0.0229869022254454,2.45228118889388,63.9177735109337,668.83227880711,78.4326048002728,0.0210865813826062,2.57405237252948
5,5.043589,22.5,22.924261,11.73,11.773417,90.598312,NaN,7.090173,NaN,36.532436,400,399.67218,25,28.669201,10.350715,69.450584,49.996014,400.59259,398.502502,400.019897,3977.248535,9.064435,9.264954,64.015266,56.443604,8.257006,80.833931,50.023685,23.836929,32.267277,11.663473,11.230366,32.435116,41.859085,87.800629,0.0989302024245262,56.890156,594.272230824684,2.43162400704464,0.0957560294369029,1.76841774032972,2.01713187642639,699.301282301461,2.51675360353897,0.0229915677894416,2.45209512333541,63.9155163226963,668.860041296734,78.4418542120845,0.0210895825816674,2.57382817531846
5,5.04323,22.5,22.924723,11.73,11.784477,90.62384,NaN,7.09059,NaN,36.574314,400,399.653656,25,28.659151,10.363624,69.383095,49.996014,400.51297,398.416901,399.97049,3975.020508,9.040835,9.253624,63.904697,56.432922,8.303318,80.789452,50.047497,23.821367,32.317924,11.654928,11.229184,32.43018,41.851391,87.80452,0.103633068501949,56.988869,594.29318247373,2.43170960565515,0.0957689240215232,1.7684192697546,2.01476416077725,699.362468336414,2.51691888717314,0.0229946826565294,2.45195688798938,63.9165161604991,668.891111989781,78.4546068727464,0.0210910808057658,2.57367187599108
5,5.043406,22.5,22.923527,11.73,11.798791,90.65799,NaN,7.090006,NaN,36.624882,400,399.736389,25,28.647915,10.37475,69.314774,49.996014,400.764801,398.68277,400.242218,3975.660645,9.06139,9.254914,63.826927,56.425598,8.387845,80.774109,50.058769,23.840813,32.25988,11.652643,11.224753,32.414791,41.862068,87.805435,0.0901418253779411,57.085171,594.317813060415,2.43179013101368,0.0957719227387025,1.76844995773859,2.0159249506807,699.449844633093,2.51716663074347,0.0230013591330705,2.45168785845294,63.9139278048694,668.916902733656,78.4628669220138,0.0210941280982535,2.57345075770291
5,5.043161,22.5,22.921911,11.73,11.807848,90.681541,NaN,7.088851,NaN,36.661785,400,399.769836,25,28.646593,10.373962,69.264244,49.996014,400.764801,398.68277,400.242218,3975.660645,9.06139,9.254914,63.781509,56.438343,8.402188,80.791649,50.042137,23.840813,32.25988,11.652643,11.224753,32.414791,41.862068,87.805435,0.0901418253779411,57.085171,594.334780266954,2.43185790960708,0.0957814357477991,1.76845342879725,2.01430907015362,699.512506427379,2.51734908172813,0.0230070580373324,2.45146590169076,63.9104303348192,668.937325679505,78.4684236856452,0.0210973053580657,2.57323705348579
5,5.043161,22.5,22.921911,11.73,11.803658,90.704956,NaN,7.088851,NaN,36.669014,400,399.61911,25,28.641342,10.379858,69.197083,49.995766,400.351166,398.257385,399.795715,3976.908691,9.066628,9.255777,63.712963,56.406471,8.41793,80.840279,50.013081,23.833269,32.344772,11.635344,11.231153,32.379826,41.859146,87.808693,0.0821630731225014,57.271763,594.327370461085,2.43183190625115,0.0957794570482905,1.76844674753808,2.01430907015362,699.569905796337,2.5175068402388,0.0230104991851921,2.45132029821131,63.9104303348192,668.928182466756,78.4648705278752,0.0210967092790521,2.57329082090499
5,5.043945,22.5,22.920876,11.73,11.790483,90.717926,NaN,7.089923,NaN,36.674301,400,399.550964,25,28.624037,10.3864,69.128929,49.995766,400.526947,398.438507,399.991974,3976.562256,9.049005,9.248226,63.629704,56.398819,8.383189,80.872932,49.983208,23.831842,32.283222,11.64285,11.221348,32.395943,41.861496,87.801659,0.0728424787521362,57.280186,594.301029728692,2.43171311597503,0.0957564824904224,1.76846085759118,2.01947968241495,699.604850557813,2.51760942467542,0.0230138379689565,2.45119166157868,63.9081902124576,668.884231722217,78.4462673634436,0.0210950259897651,2.57348950096799
5,5.043728,22.5,22.920982,11.73,11.790483,90.717926,NaN,7.089686,NaN,36.674301,400,399.550964,25,28.624037,10.399793,69.162247,49.995766,400.526947,398.438507,399.991974,3976.562256,9.049005,9.248226,63.559944,56.417931,8.30278,80.929001,49.961712,23.831842,32.283222,11.64285,11.221348,32.395943,41.861496,87.801659,0.0728424787521362,57.280186,594.3018716098,2.43172336319245,0.0957611188495171,1.76845113930094,2.01804859061684,699.604527784566,2.51760786718955,0.0230136912052781,2.45119658641022,63.9084196390879,668.888058221956,78.4479103835495,0.0210951544097068,2.57347311435352
5,5.041541,22.5,22.921024,11.73,11.770095,90.746254,NaN,7.08814,NaN,36.670052,400,399.638977,25,28.610857,10.412772,69.224243,49.995766,401.050354,398.529816,400.502045,3976.131836,9.136121,9.228763,63.604069,56.449795,8.202285,80.979782,49.950565,23.819784,32.242847,11.63098,11.22236,32.397335,41.915661,87.767021,0,57.566696,594.274302927949,2.43170012358915,0.0957982364829938,1.76832071183404,2.00362300322723,699.673834956764,2.51779806755403,0.0230177948472456,2.45102291568368,63.9085105437604,668.879975860281,78.4448316317254,0.0210945794230755,2.57352313419957
