P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,TC1,TC2,TC3,TC4,TC5,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
12,12.015617,30,29.568392,44.380001,44.1455,95.730179,NaN,16.445982,NaN,56.677708,400,400.300507,25,35.467136,12.035612,80.103676,49.988358,401.640381,398.458221,400.662292,4980.503906,10.122202,10.30302,71.80809,65.929497,36.51252,87.55674,60.39465,43.034634,77.644295,25.049818,47.085972,77.627655,54.288971,93.299995,0,572.581604,630.20622346101,2.4102338957111,0.0406073271161676,2.1089011298852,34.4348449925775,690.548000137306,2.45762663130854,0.0163826504121127,2.80435898741636,76.9463534061514,673.210109646722,89.7135707938202,0.0154701645654399,2.97378661605512
12,12.015633,30,29.571869,44.380001,44.137337,95.719444,NaN,16.448368,NaN,56.627697,400,400.227173,25,35.447948,12.033566,80.065773,49.988358,401.450592,398.345245,400.528656,4983.585449,10.121109,10.318336,71.840073,65.93428,36.533833,87.56115,60.402687,43.037956,77.570259,25.040255,47.102619,77.630714,54.212887,93.355881,0,572.453979,630.188947825074,2.41017924372564,0.0406052394518309,2.10892934782118,34.4349006750499,690.505141801619,2.45749500460597,0.0163780018049768,2.8048829829087,76.9525570969772,673.195656854935,89.7137214284114,0.0154670066065678,2.97422176803348
12,12.015553,30,29.573019,44.380001,44.170856,95.700409,NaN,16.445915,NaN,56.571468,400,400.163635,25,35.433647,12.027147,79.987854,49.993427,401.542511,398.338074,400.5383,4980.250977,10.109874,10.292974,71.830612,65.905609,36.543953,87.575882,60.403557,43.040817,77.585289,25.056707,47.101124,77.677818,54.259235,93.353043,0,574.99762,630.259937818045,2.41040399616442,0.0406138729243364,2.10881278494491,34.4346222621443,690.447526857577,2.45733370164637,0.0163742366405472,2.80539176367578,76.9546088116263,673.278993619344,89.7434023477481,0.0154707238159404,2.9732834010841
12,12.016289,30,29.576817,44.380001,44.233086,95.68557,NaN,16.447546,NaN,56.519821,400,400.136627,25,35.430637,12.050926,79.960106,49.993427,401.542511,398.338074,400.5383,4980.250977,10.109874,10.292974,71.894798,65.914482,36.557804,87.586586,60.415634,43.040817,77.585289,25.056707,47.101124,77.677818,54.259235,93.353043,0,574.99762,630.388380868531,2.41079930935776,0.0406260704221174,2.10864865066829,34.4371836097205,690.39195156663,2.45716616917748,0.0163687104680618,2.80603340406312,76.9613843829084,673.428338005619,89.7991122925795,0.0154761943621984,2.97173540623469
12,12.016572,30,29.577801,44.380001,44.304813,95.706879,NaN,16.446753,NaN,56.461861,400,400.178955,25,35.425224,12.087637,80.075821,49.993427,401.561035,398.349426,400.597809,4986.302734,10.129504,10.311,71.963882,65.96402,36.578297,87.615822,60.434093,43.034302,77.627518,25.071068,47.084797,77.738213,54.253162,93.350685,0.0767846629023552,580.340088,630.538550864322,2.41126878367783,0.0406425652969419,2.10842803067289,34.4381684451511,690.4481291625,2.45731410835517,0.0163708985427197,2.80565392566571,76.9631397131769,673.600270497404,89.8584033037222,0.0154848031626631,2.96971182813165
12,12.017269,30,29.580278,44.380001,44.304813,95.706879,NaN,16.446136,NaN,56.461861,400,400.178955,25,35.425224,12.102929,80.16317,49.993427,401.667572,398.528015,400.774689,4983.189453,10.121057,10.293732,71.970734,65.99028,36.588623,87.606789,60.452251,43.050663,77.638672,25.044405,47.095501,77.767403,54.316429,93.327271,0,576.562561,630.535919092855,2.41125157035174,0.0406395508320688,2.10846836366761,34.4405939215378,690.439037893641,2.45727846833499,0.0163686877008803,2.80586243004273,76.967558164292,673.597857251726,89.861151821388,0.0154829795049665,2.96992339130952
12,12.017269,30,29.580278,44.380001,44.364464,95.693443,NaN,16.446136,NaN,56.420338,400,400.27771,25,35.417351,12.107724,80.204491,49.993427,401.667572,398.528015,400.774689,4983.189453,10.121057,10.293732,71.89061,66.020241,36.606113,87.62561,60.479069,43.050663,77.638672,25.044405,47.095501,77.767403,54.316429,93.327271,0,576.562561,630.661685488136,2.41164770415031,0.0406542790453117,2.10827237121182,34.4405939215378,690.401336367219,2.45717625467095,0.0163667542309351,2.80615405858935,76.967558164292,673.741667836673,89.9095883920266,0.0154907385319697,2.96817734842533
12,12.015911,30,29.58197,44.380001,44.405067,95.667175,NaN,16.445494,NaN,56.365486,400,400.291595,25,35.409279,12.097651,79.980919,49.993427,401.442566,398.333862,400.610992,4979.808105,10.12077,10.295926,71.989265,66.055763,36.631912,87.650452,60.53072,43.050526,77.578377,25.052752,47.100266,77.612839,54.301437,93.33136,0,573.680664,630.752404624344,2.41195079243335,0.0406701749381565,2.1080612981525,34.4358681493514,690.321400412742,2.45695201940663,0.01636146282403,2.80686791315324,76.9705761743505,673.854334519262,89.9499842523384,0.0154956576613088,2.96693831883994
12,12.015625,30,29.583748,44.380001,44.446587,95.649765,NaN,16.446352,NaN,56.330093,400,400.190552,25,35.412525,12.080989,79.86557,49.993427,401.442566,398.333862,400.610992,4979.808105,10.12077,10.295926,71.941246,66.057121,36.639633,87.662193,60.581734,43.050526,77.578377,25.052752,47.100266,77.612839,54.301437,93.33136,0,573.680664,630.841006005125,2.41223344843094,0.0406816574135663,2.10790970549662,34.4348728338207,690.265994003804,2.45679390179848,0.0163573688700186,2.80739745973055,76.9737474379015,673.959727818676,89.9880652738624,0.0155001234465168,2.965797047551
12,12.017325,30,29.586086,44.380001,44.485321,95.64463,NaN,16.443308,NaN,56.244667,400,400.134003,25,35.419617,12.07865,79.955887,49.993427,401.581848,398.48053,400.756073,4985.188477,10.117266,10.285773,71.969009,66.087349,36.66732,87.669792,60.628384,43.032196,77.697365,25.109173,47.07497,77.734818,54.268562,93.364937,0,573.072754,630.916250255924,2.41244857673678,0.0406838573390488,2.10788188280594,34.4407887903531,690.242981870258,2.4567211350958,0.0163545427708058,2.80770717935045,76.9779172997489,674.041476681993,90.0189863651287,0.0155029300576671,2.96498409286281
