P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,TC1,TC2,TC3,TC4,TC5,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
4,4.074257,26,25.968056,4.53,4.631257,104.010681,NaN,5.883004,NaN,38.857159,400,399.804382,25,31.954653,10.936899,80.224716,50.02002,401.008331,398.417206,400.118896,4381.202148,9.481329,9.680109,72.428978,61.264542,3.678221,94.107994,56.270237,31.754944,25.896441,10.758159,1.416233,25.860615,46.705341,100.117378,NaN,222.315689,585.649263693543,2.43743214266213,0.117326479350965,1.71221329843884,-4.89243232456499,723.701123297502,2.56454647287393,0.0210657838222799,2.50419647589171,70.1982927969796,676.933619286128,85.8934431561173,0.0185037128807067,2.69932526362554
4,4.071412,26,25.967047,4.53,4.642405,103.95649,NaN,5.883583,NaN,38.866051,400,399.798096,25,31.953581,10.936448,80.291512,50.02002,400.935516,398.311066,400.03009,4382.746094,9.477164,9.677878,72.46946,61.27684,3.670238,94.134933,56.27216,31.74954,25.868734,10.774825,1.394029,25.879658,46.729004,100.09433,NaN,222.237457,585.679658173228,2.43766177070261,0.117423391877234,1.71210896808419,-4.91443815312692,723.568203736063,2.56419966122439,0.021059902921588,2.50444828036678,70.1963043619141,677.0142016874,85.9218761189261,0.0185093248693639,2.69868370397175
4,4.073463,26,25.967043,4.53,4.650648,103.902748,NaN,5.88091,NaN,38.887581,400,399.799255,25,31.957012,10.938363,80.310204,50.02002,400.935516,398.311066,400.03009,4382.746094,9.477164,9.677878,72.411774,61.280968,3.670053,94.116371,56.27784,31.74954,25.868734,10.774825,1.394029,25.879658,46.729004,100.09433,NaN,222.237457,585.685621017023,2.43759656300843,0.117362719813617,1.71221694886198,-4.89857268933241,723.433612973355,2.56384275426425,0.0210529594730713,2.50473801235453,70.1962964790027,676.990780317272,85.9131919358181,0.0185079611042381,2.69885244958676
4,4.072444,26,25.967346,4.53,4.655097,103.851372,NaN,5.883345,NaN,38.907784,400,399.821899,25,31.975401,10.947915,80.335747,50.02002,400.93454,398.323547,400.043243,4380.565918,9.469924,9.669876,72.412895,61.257416,3.653997,94.123489,56.272182,31.693031,25.910763,10.763365,1.429312,25.878851,46.704437,100.128441,NaN,222.342178,585.697287853191,2.43768161568852,0.117397688845988,1.71218051742924,-4.90645439364374,723.304082371041,2.5634975047705,0.0210459777451043,2.50502804831477,70.1968936069458,677.021880927896,85.9251433766788,0.0185095043151408,2.69864599421598
4,4.072712,26,25.969296,4.53,4.679018,103.876846,NaN,5.8831,NaN,38.927086,400,399.815674,25,31.994654,10.969794,80.291267,50.02002,401.175537,398.524902,400.253998,4386.751465,9.481361,9.68035,72.433701,61.228138,3.656172,94.12841,56.29314,31.706337,25.91997,10.763781,1.454115,25.876539,46.696445,100.137039,NaN,222.111053,585.737180867673,2.43781388506702,0.117402681186654,1.71224067575901,-4.90438133926659,723.362489259556,2.56364153867186,0.0210471047406645,2.50496652876425,70.2007363833616,677.072986483229,85.9468314181767,0.0185107340811115,2.6983928719657
4,4.073543,26,25.970772,4.53,4.690325,103.944115,NaN,5.881324,NaN,38.931698,400,399.92215,25,32.005493,10.977592,80.185097,50.02002,400.943512,398.331299,400.088989,4383.047852,9.460821,9.676284,72.496384,61.204781,3.649359,94.140625,56.322884,31.705799,25.879179,10.775449,1.457534,25.869833,46.74115,100.12043,NaN,222.219391,585.753240456917,2.43783657575727,0.117382609339034,1.71230047353408,-4.89795397223037,723.526896559996,2.56406932210702,0.0210541617121078,2.50466079375471,70.2036449242767,677.083866841274,85.9529444961852,0.0185100420697976,2.69840167199881
4,4.073751,26,25.97205,4.53,4.679669,104.01767,NaN,5.882415,NaN,38.959682,400,399.858246,25,32.010181,10.981255,80.065407,50.02002,400.943512,398.331299,400.088989,4383.047852,9.460821,9.676284,72.553131,61.174095,3.707942,94.165886,56.33984,31.705799,25.879179,10.775449,1.457534,25.869833,46.74115,100.12043,NaN,222.219391,585.734167968949,2.43775914161495,0.117369961128198,1.71228825072981,-4.89634535029666,723.707577060794,2.56454127830776,0.0210622461918556,2.50431500730609,70.2061631939929,677.058425722394,85.9453185817712,0.0185074084023396,2.69866047732268
4,4.073421,26,25.973106,4.53,4.67614,104.11338,NaN,5.88227,NaN,38.971992,400,399.846161,25,32.003025,10.970981,79.967575,50.021793,401.047577,398.446289,400.17572,4383.759277,9.466954,9.684837,72.5056,61.175529,3.709381,94.181419,56.366611,31.697523,25.904503,10.78857,1.450318,25.878569,46.779919,100.104462,NaN,222.401169,585.729436365448,2.43775605245678,0.117378472984063,1.71226644240713,-4.89889751944793,723.944323209448,2.56516299552611,0.0210734320052781,2.50384407895099,70.2082439470213,677.059270752281,85.9471206682288,0.0185065085279314,2.69871677679811
4,4.073421,26,25.973106,4.53,4.689496,104.205856,NaN,5.88227,NaN,38.98793,400,399.862274,25,32.010349,10.95418,79.894775,50.021793,401.047577,398.446289,400.17572,4383.759277,9.466954,9.684837,72.58609,61.174072,3.726171,94.189064,56.382355,31.697523,25.904503,10.78857,1.450318,25.878569,46.779919,100.104462,NaN,222.401169,585.752305575866,2.43783836530443,0.117386025474638,1.71229337058738,-4.89889751944793,724.175845936628,2.56577661022931,0.0210853650678891,2.5033524148465,70.2082439470213,677.088829510585,85.9580739943962,0.0185082335490609,2.69850376130725
4,4.073036,26,25.974709,4.53,4.704947,104.301636,NaN,5.881549,NaN,39.010216,400,399.867188,25,32.022232,10.945362,79.878906,50.021793,400.951782,398.383698,400.092957,4383.963379,9.470796,9.687797,72.535934,61.152435,3.766933,94.179131,56.399895,31.677052,25.916998,10.777738,1.459666,25.872868,46.758904,100.136299,NaN,222.342178,585.780291492505,2.43795535651515,0.117407024129456,1.71230740357959,-4.9018752455778,724.411175868616,2.56639120164588,0.021095933084788,2.50290854657955,70.2114023919688,677.133810072438,85.9770029575631,0.0185094173765488,2.69827453933751
