P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,TC1,TC2,TC3,TC4,TC5,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
4,4.025342,24,23.885689,4.53,4.570184,99.241135,NaN,5.776588,NaN,38.218567,400,399.900482,25,31.054226,11.261225,74.061485,50.022366,401.227753,398.50354,400.332153,4075.847656,9.203308,9.361083,71.105598,57.404976,2.923866,90.551407,52.756165,30.075674,25.560966,10.670489,1.616549,25.615335,42.393547,96.210915,NaN,133.985687,585.738985546941,2.43983493491059,0.118867071640035,1.70991593353622,-5.27239720609106,717.668023922999,2.56065706880181,0.0229289629161019,2.44707528115634,65.9643748870183,673.751761606364,81.7300533020997,0.020344146530363,2.59985623752475
4,4.025911,24,23.882483,4.53,4.560343,99.271156,NaN,5.776633,NaN,38.190487,400,399.917328,25,31.038483,11.286057,74.111343,50.022366,401.068451,398.340363,400.154388,4076.677002,9.205956,9.365613,71.136971,57.416588,2.909192,90.592323,52.762806,30.076965,25.560858,10.695278,1.611422,25.607956,42.35685,96.250107,NaN,134.155396,585.719901329944,2.43974186452713,0.118842914370334,1.70992093279043,-5.26795748939725,717.7503917129,2.56089798892674,0.0229371948848659,2.44682222109017,65.9576461547512,673.712211223481,81.7102436458473,0.0203450739662097,2.59991035681608
4,4.027702,24,23.880569,4.53,4.560343,99.271156,NaN,5.778291,NaN,38.190487,400,399.917328,25,31.038483,11.294135,74.141579,50.022366,401.068451,398.340363,400.154388,4076.677002,9.205956,9.365613,71.153366,57.381718,2.954346,90.62822,52.758163,30.076965,25.560858,10.695278,1.611422,25.607956,42.35685,96.250107,NaN,134.155396,585.712796529754,2.43963965608103,0.118784592035413,1.71000027297502,-5.25398597915336,717.755708304252,2.56092405352341,0.0229396690349375,2.44674947027341,65.9536287411377,673.672048437894,81.6920510440265,0.0203445937119165,2.60004113549565
4,4.035659,24,23.882362,4.53,4.556671,99.277618,NaN,5.787552,NaN,38.181377,400,399.874298,25,31.017076,11.295835,74.24556,50.022366,401.119568,398.425201,400.223328,4078.517578,9.205214,9.355588,71.097801,57.364326,2.973838,90.603386,52.757992,30.056818,25.665257,10.711308,1.645882,25.610786,42.279594,96.302979,NaN,136.176636,585.674941975145,2.43916337354107,0.118524006849243,1.7103455408062,-5.19196991820326,717.766539072723,2.56094209158684,0.0229382312443282,2.4467894510309,65.9573921874722,673.506704583245,81.6310447659706,0.0203323611731864,2.60112847776881
4,4.041346,24,23.885933,4.53,4.566135,99.364197,NaN,5.796642,NaN,38.17466,400,399.889313,25,31.005213,11.304251,74.240898,50.022366,401.141144,398.399933,400.254303,4076.668213,9.207106,9.358666,71.004967,57.365067,2.974381,90.560898,52.758705,30.057785,25.729568,10.739425,1.671863,25.671692,42.286945,96.307922,NaN,137.957108,585.668554493152,2.43889784164492,0.118345263088086,1.71061725776968,-5.14770204070004,717.968455885969,2.56146219741964,0.0229454014159661,2.44654867040617,65.964886964941,673.41976169659,81.6027530504021,0.0203231437148309,2.60185123277995
4,4.044828,24,23.887913,4.53,4.567963,99.48838,NaN,5.801798,NaN,38.177387,400,399.930756,25,30.991512,11.328688,74.249916,50.022366,401.141144,398.399933,400.254303,4076.668213,9.207106,9.358666,70.898254,57.359684,2.975838,90.57428,52.762772,30.057785,25.729568,10.739425,1.671863,25.671692,42.286945,96.307922,NaN,137.957108,585.6578563712,2.43871100927719,0.118233814312323,1.71077561918961,-5.12062098419142,718.26675780345,2.56225064618059,0.0229597332723504,2.44608758152242,65.969042206407,673.357507758667,81.5816734436945,0.0203171550980657,2.60233711187182
4,4.047865,24,23.891504,4.53,4.560045,99.604813,NaN,5.805433,NaN,38.179207,400,399.919739,25,30.98238,11.334702,74.255569,50.021667,401.016937,398.366608,400.142212,4081.328613,9.220759,9.377229,70.866096,57.376278,3.056213,90.575935,52.773621,30.059467,25.792927,10.781497,1.679794,25.683788,42.35738,96.26722,NaN,139.116409,585.632248820459,2.43848955988221,0.118131357185899,1.71089447328943,-5.09701512490307,718.541602097516,2.56296596650083,0.0229709149641049,2.44572447716886,65.9765776449643,673.286249512319,81.5594560952964,0.0203088984474998,2.60296959494205
4,4.048311,24,23.896059,4.53,4.556972,99.686165,NaN,5.808576,NaN,38.177322,400,399.889862,25,30.972961,11.330019,74.361153,50.021667,400.946289,398.251465,400.071808,4077.624023,9.219878,9.357596,70.827919,57.408798,3.08756,90.563087,52.770626,30.068316,25.757385,10.77775,1.711386,25.66395,42.369236,96.276825,NaN,139.523315,585.625219680953,2.43844527806086,0.118115237800353,1.71090805707816,-5.09354959161078,718.727966795767,2.56343780770244,0.0229760766322117,2.44554957754473,65.9861347427118,673.279791755055,81.5635242347728,0.0203036749783857,2.60326738859909
4,4.049459,24,23.899141,4.53,4.556644,99.7724,NaN,5.808008,NaN,38.18335,400,399.84613,25,30.958242,11.321622,74.450737,50.021667,400.946289,398.251465,400.071808,4077.624023,9.219878,9.357596,70.785889,57.444519,3.12609,90.522774,52.761189,30.068316,25.757385,10.77775,1.711386,25.66395,42.369236,96.276825,NaN,139.523315,585.62009826327,2.438378016788,0.118078070680668,1.71095843357043,-5.08463065348917,718.930336229494,2.56396153489047,0.0229837974557186,2.44530013136762,65.9926004832557,673.262190270957,81.5611947552367,0.0202993145579079,2.60354874634297
4,4.050982,24,23.899906,4.53,4.54961,99.842964,NaN,5.808218,NaN,38.193886,400,399.824524,25,30.947243,11.3141,74.471306,50.021667,401.125824,398.378448,400.225525,4079.62207,9.212396,9.352757,70.769089,57.466122,3.148863,90.488075,52.747559,30.088175,25.736088,10.803582,1.71622,25.71493,42.455032,96.242439,NaN,139.768906,585.602012607721,2.43824814822013,0.118025046207082,1.71101189541336,-5.07280121776,719.100766281021,2.56441378851514,0.0229923788411565,2.44503162279452,65.9942052831196,673.21767823497,81.5451992608948,0.0202957225687917,2.60386093717312
