P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is,PI_Set,PI_Process,delta_h,delta_his,delta_s,eta_is,Q_v,lambda,eta_is_alternative,uc_t1,uc_t2,uc_h1,uc_h2,uc_s1,uc_PI,uc_eta_is,uc_eta_is_alternative,M,t_crit,p_crit,rho_crit,T_Evaps,T_Conds
9,9.01647253666667,27,27.340225955,13.7199554633333,13.5484793583333,82.6096575533334,NaN,0.997861849963665,NaN,28.09331923,400,400.007525418333,25,28.1803390483333,9.05199980166667,41.1030424883334,49.9912854066668,401.652510683333,399.644812101667,398.781397763334,5139.00402023166,10.6080710783334,10.1778566833333,47.3708225866668,98.8915095199999,36.00330928,14.0540394433333,98.9832484666666,76.4472865916667,81.0937501166666,0.53903532102704,535.196011891668,434.382291780981,1.91172941830821,0.0308868332262978,1.06599761124791,3.88535920014617,479.674042504957,1.94885997463808,0.0118058018204365,1.21909337233421,45.1225442144017,466.660252981579,72.2130374379036,0.0110130780050115,1.2905509919432,3,3.03225635763254,45.2917507239753,32.2779612005972,0.0371305563298629,0.712678862790205,4478.92146074742,0.910401457603488,0.874677495786851,0.288781095498702,0.292588663368154,1.25395366545478,1.38469968781756,0.00112789615565828,0.00766696332463034,0.0377195752296886,0.00706597168897296,72.585,71.34,49.011,459.08,3.88548084387287,45.1226753984915
10,10.0225982216667,30,30.2414735116667,17.1650338550001,16.84086334,86.0014542550001,NaN,0.998479832810218,NaN,29.1536372283333,400,400.0126711,25,29.289255485,9.08828992333332,46.1762692383334,50.0015319016668,401.633499286667,399.522342291667,398.909417738333,5615.96229819167,11.1610313333333,10.6486394183333,53.7681989550001,109.984413038333,39.8277115016666,17.4713630516667,110.128738656667,85.3518492616667,84.6050668666666,0.846664643907967,528.051561236666,435.386144807897,1.90500682487386,0.0277359228205624,1.09306225374643,7.34791542739376,479.773644944905,1.94008170895104,0.010560163194546,1.25954072192329,49.4471975617397,467.347132887628,76.4068448031376,0.00986892917376517,1.33715934406967,3,3.017395185687,44.3875001370074,31.9609880797311,0.0350748840771806,0.720051619577629,4881.76069314181,0.909142397259495,0.888172242938515,0.288838846258998,0.292914244415881,1.25685153953136,1.38498721529514,0.00112674482851529,0.00686749043175042,0.0386197423875843,0.00710800341066435,72.585,71.34,49.011,459.08,7.34900473668972,49.448047056693
11,11.0621870216667,33,33.1678935583333,20.3600009999997,20.1582905783333,89.2753507,NaN,0.998214313651975,NaN,30.0741011333333,400,400.008030138334,25,30.235632925,9.04644736,49.4872219933333,50.0061831550002,401.58473783,399.507223783334,398.92485448,6102.14977867333,11.7227331133333,11.1764840183333,60.6282705483333,121.387391365,43.74588382,20.7025559483333,121.550097536667,94.5331159133333,87.8714574016667,1.24516011678166,532.79781179,436.45417110558,1.89926819473302,0.0250893587967148,1.11935505307935,10.6618636582622,479.815307215895,1.9320633765959,0.00952621031145059,1.30050224030636,53.4934107011928,468.075397092602,80.5037372399036,0.00892552349594245,1.38261922454224,3,2.99836008901271,43.3611361103151,31.6212259870211,0.0327951818628798,0.729260426955758,5263.40138988811,0.907696850286895,0.9010646057612,0.288909695617906,0.29324059530665,1.25993466588371,1.385107483912,0.00112886935971874,0.00618659055483644,0.0396948703205235,0.00715765120866566,72.585,71.34,49.011,459.08,10.6627217418199,53.4941009120975
12,12.0777814316667,36,36.189829345,23.3439999999997,23.842868355,93.1611749050001,NaN,0.998648326365566,NaN,30.8312962533333,400,400.003174996667,25,31.0630655516667,9.142134795,53.1284751633333,50.0157986466667,401.88397806,399.424818066667,398.77004478,6620.80388511834,12.363316315,11.83113403,66.5948907583334,131.995356646666,47.4994110966667,24.3905754233333,132.087737158333,104.01057719,91.6509201366667,1.75857866333334,533.777620964999,438.118347580189,1.89663960127035,0.023037468497464,1.13893626973397,13.6794680420919,480.668390632613,1.92686811026261,0.0086773292424354,1.33753056671936,57.3835708757442,469.717293046357,85.2016212547775,0.00816100752328413,1.41998969910335,3,2.9964679276838,42.5500430524235,31.598945466168,0.0302285089922515,0.742632097559057,5616.28374941869,0.906244730392286,0.912917101321866,0.289003191535672,0.293643233217848,1.26473872956168,1.38757012361342,0.00112738733523222,0.00566341532693296,0.0407502021143725,0.00718528199920846,72.585,71.34,49.011,459.08,13.6808438400272,57.3847325801356
13,13.0405492466667,39,39.1136644433333,26.1460000000003,26.5991877166667,96.465420605,NaN,0.99875245624932,NaN,31.4681368683333,400,400.004778138333,25,31.949322695,9.12659802166666,56.7904512983333,50.0175933833333,401.9918571,399.449553893333,398.571188715,7128.47784020001,12.9626167566667,12.4723319733333,72.8541176516666,142.1421789,51.334351655,27.178956765,142.234659208333,113.418892593333,94.9622768783333,2.438580115,524.608670236666,438.961900179882,1.89232266355531,0.0212958633966204,1.16212454620857,16.3688998063414,481.042314209089,1.92127949697247,0.0079661577992079,1.37517486007548,60.9044412721203,470.449257652916,88.9817785463695,0.00750133127903527,1.46172174254787,3,2.99949563900611,42.0804140292068,31.4873574730341,0.0289568334171611,0.748268582235272,5981.21387443565,0.902125279839002,0.92148500966511,0.289083407915237,0.293998671579709,1.26717385616422,1.38864954800109,0.0011372449611761,0.00525022310906607,0.0413378513521984,0.00717810943852297,72.585,71.34,49.011,459.08,16.3705624058067,60.905649655619
14,14.07306358,42,42.142901765,28.7909999999998,29.3156727816667,99.7935501216667,NaN,0.998873255838292,NaN,32.157080485,400,400.005469826667,25,32.8064610583334,9.27483182166668,60.3361563533333,50.0055810033334,401.916757666667,399.29536998,398.698592295,7667.47387696333,13.6883091583333,13.09080637,78.2762294150001,152.773722341667,55.463760485,30.0239374416667,152.875319578333,123.155392635,98.3567519083334,3.39654073666667,523.07836933,439.675007189821,1.88767439452711,0.0196730973190715,1.18781772289751,19.0924129557144,481.44643713726,1.91613065501025,0.00733866740442019,1.41318203322576,64.3279296886364,470.937928295371,92.5785905663237,0.0069084951142208,1.50599740036273,3,2.99470581777727,41.7714299474388,31.2629211055496,0.0284562604831363,0.748431618992865,6381.40673100177,0.895714309388997,0.927644713706987,0.289170958523063,0.294368713801375,1.26923241878497,1.38981615040791,0.00115238957352142,0.00485804710120648,0.0416872849649844,0.00715885971007748,72.585,71.34,49.011,459.08,19.0940637258484,64.3289894934053
8,8.06534824833333,28,28.0905531783333,9.97350000000004,9.79224081833333,85.3799995149999,NaN,0.988906911015511,NaN,28.0885511433333,400,400.013221581667,25,28.285970085,8.95238846666666,44.7302511316667,49.9942949166668,401.754692961667,399.37339635,398.897039226667,5113.27062912499,10.6441241266667,10.1364100333333,56.5939040816667,88.2604389100001,33.8578681916667,8.64459358833335,88.3544472983333,79.3301593900001,83.8062561216667,1.30188633333334,526.482699193334,432.874969349491,1.91733183907749,0.0344843158707873,1.04255077551558,0.331509136434628,482.006140033407,1.95293191121346,0.0115923232074746,1.21956397308822,46.2740914616074,469.424098182724,75.3123132599954,0.0108495908926467,1.28522925020367,3.5,3.4829966969595,49.1311706839159,36.5491288332332,0.0356000721359634,0.743923798475924,4336.26175952579,0.907140423686789,0.890552607844713,0.288730530391518,0.292853650835399,1.2496024003969,1.3914318734967,0.00114056971545534,0.00972821530921414,0.0353153186744879,0.00671632410875454,72.585,71.34,49.011,459.08,0.33197725460019,46.2741781269518
9,8.95261890666666,31.5,31.400193645,13.7200024883334,13.98912907,91.5558800816666,NaN,0.990158595343431,NaN,29.5957358116666,400,399.974663915,25,29.7249704966666,8.92531401666667,50.1100068733333,50.0022822783333,401.763568508333,399.330310309999,398.826444923334,5760.85800374,11.3553034533333,10.83532817,62.298985745,96.9738479083334,36.63010831,13.3161232583333,97.0093599649999,88.52176519,90.1427611983333,1.20348111166667,514.709231811666,435.012853686042,1.91462118690638,0.031241630149267,1.05966659215946,3.65523465092881,485.151239317363,1.95158270649762,0.0104080517214124,1.24982102723925,51.0848445444567,471.865133121358,81.2059649624274,0.00970330459419434,1.32377209075078,3.5,3.50743471736445,50.1383856313204,36.8522794353159,0.0369615195912479,0.735021993872153,4862.07891620667,0.902954435815474,0.892666695709537,0.288788135603222,0.293474898750446,1.25577394088292,1.4005109930878,0.00111908019478738,0.008820949990702,0.0346948689734868,0.00661046465756164,72.585,71.34,49.011,459.08,3.65601534951782,51.0854429111169
10,9.95249658000001,35,34.8804830866667,17.165001,17.3330935966667,95.8584504716665,NaN,0.990056464870771,NaN,30.5957289883333,400,399.979262025,25,30.7906487149999,8.93205080833334,54.7682178316666,49.9967981933334,401.883825226667,399.162717978333,398.89638336,6357.276700845,12.09789931,11.4996817616667,65.9724523416667,107.477189108333,39.8895759233333,17.06223139,107.530976858333,99.1298520166667,94.6015491149999,1.23862579,509.956017663332,436.098489361428,1.90813379920924,0.0280655474771779,1.08569745431989,7.11539966170267,485.996105502117,1.9445578353828,0.00929785567628081,1.29033939767065,55.7314453575067,472.739885824972,85.878853942739,0.00865916171955189,1.37328877784332,3.5,3.50475976837178,49.8976161406894,36.6413964635441,0.0364240361735607,0.734356150116102,5362.65822598227,0.899007517135779,0.901492666744045,0.28884862171938,0.293932488536897,1.25890790113005,1.40294991168379,0.00111698598097886,0.00792928903122033,0.0349195891228172,0.00658978133053447,72.585,71.34,49.011,459.08,7.11639600275208,55.7323107352972
11,10.9948241883333,38.5,38.4962571466666,20.3600009999997,20.66199387,100.334884826667,NaN,0.989809493025144,NaN,31.52827037,400,400.01619747,25,31.8294771066666,9.039925385,60.1436243716667,50.0110758050001,401.993668258333,399.384723813333,398.673901731667,7001.25050699168,12.8276894716667,12.3127941983333,69.7054210316667,118.355867926667,43.42057366,20.6835453283333,118.429641878333,110.240115688333,99.044191965,1.332085835,508.703756773334,437.182725544829,1.90232916994414,0.0253677131068613,1.11172968297333,10.4542146520824,487.107668830202,1.93896074245155,0.00837413755318628,1.3297539641133,60.1798961011619,473.609362482343,90.5000916578537,0.00778062896208629,1.42307689969161,3.5,3.5013925879616,49.9249432853727,36.4266369375145,0.0366315725074081,0.72964447497026,5908.76327495708,0.894842013953222,0.907893217253919,0.288921611957032,0.294430065785552,1.26203782139181,1.40615871861724,0.00111925252167531,0.00717126892531901,0.0349152091374289,0.00655261681933577,72.585,71.34,49.011,459.08,10.4552732456793,60.1806811690093
