REPORT START/STOP
Start Time,27/05/2021,11:44:24
End Time,27/05/2021,14:08:27

Program,R454C_pi_5.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
27/05/2021;11:45:35,?,9.203007,?,31.849642,400,399.733276,25,28.098351
27/05/2021;11:45:36,?,9.203007,?,31.382425,400,399.798889,25,28.10001
27/05/2021;11:45:37,?,9.083014,?,30.928013,400,399.913391,25,28.110531
27/05/2021;11:45:38,?,9.062304,?,30.459806,400,399.94519,25,28.129848
27/05/2021;11:45:39,?,9.299764,?,30.030521,400,399.994507,25,28.151194
27/05/2021;11:45:40,?,9.455389,?,29.563799,400,400.032227,25,28.166945
27/05/2021;11:45:41,?,9.684705,?,29.124851,400,400.011383,25,28.17815
27/05/2021;11:45:42,?,9.908623,?,28.652908,400,399.975372,25,28.193001
27/05/2021;11:45:43,?,9.589819,?,28.230705,400,399.965729,25,28.208605
27/05/2021;11:45:44,?,9.076813,?,27.813404,400,399.861206,25,28.228207
27/05/2021;11:45:45,?,8.791389,?,27.400753,400,399.897888,25,28.247396
27/05/2021;11:45:46,?,8.705538,?,26.999199,400,400.063538,25,28.267248
27/05/2021;11:45:47,?,8.318432,?,26.599722,400,400.158203,25,28.29143
27/05/2021;11:45:48,?,7.782588,?,26.215603,400,400.202942,25,28.319315
27/05/2021;11:45:49,?,7.233321,?,26.215603,400,400.202942,25,28.319315
27/05/2021;11:45:50,?,7.035042,?,25.882236,400,400.199982,25,28.331285
27/05/2021;11:45:51,?,6.939026,?,25.598373,400,400.149384,25,28.333878
27/05/2021;11:45:52,?,6.939026,?,25.30151,400,400.182159,25,28.338037
27/05/2021;11:45:53,?,6.896069,?,25.05789,400,400.215973,25,28.355072
27/05/2021;11:45:54,?,6.879176,?,24.804621,400,400.342773,25,28.387465
27/05/2021;11:45:55,?,6.820527,?,24.566492,400,400.385773,25,28.411358
27/05/2021;11:45:56,?,6.757634,?,24.386093,400,400.34967,25,28.422508
27/05/2021;11:45:57,?,6.728239,?,24.180931,400,400.372925,25,28.442064
27/05/2021;11:45:58,?,6.778577,?,24.000271,400,400.39566,25,28.457897
27/05/2021;11:45:59,?,6.728413,?,23.85075,400,400.145081,25,28.468414
27/05/2021;11:46:00,?,6.417403,?,23.735123,400,399.995605,25,28.479813
27/05/2021;11:46:01,?,6.230488,?,23.611319,400,400.015961,25,28.497293
27/05/2021;11:46:02,?,6.085049,?,23.498888,400,400.077454,25,28.508129
