REPORT START/STOP
Start Time,27/05/2021,14:35:52
End Time,27/05/2021,15:38:52

Program,R454C_pi_6.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
27/05/2021;14:35:52,?,19.695818,?,40.474903,400,0,25,26.128828
27/05/2021;14:35:53,?,19.692596,?,40.516239,400,0,25,26.157593
27/05/2021;14:35:54,?,19.688786,?,40.573944,400,239.23381,25,26.187853
27/05/2021;14:35:55,?,19.688786,?,40.638927,400,420.706604,25,26.220879
27/05/2021;14:35:56,?,19.685841,?,40.707157,400,451.204651,25,26.263533
27/05/2021;14:35:57,?,19.682905,?,40.774452,400,413.391449,25,26.30739
27/05/2021;14:35:58,?,19.679531,?,40.818588,400,368.855469,25,26.337427
27/05/2021;14:35:59,?,19.675194,?,40.873505,400,315.933746,25,26.359413
27/05/2021;14:36:00,?,19.672022,?,40.873505,400,315.933746,25,26.359413
27/05/2021;14:36:01,?,19.668846,?,40.941345,400,310.716827,25,26.387974
27/05/2021;14:36:02,?,19.665871,?,41.008865,400,336.872437,25,26.437895
27/05/2021;14:36:03,?,19.661451,?,41.048813,400,353.401917,25,26.475506
27/05/2021;14:36:04,?,19.658524,?,41.094955,400,356.864868,25,26.510334
27/05/2021;14:36:05,?,19.65575,?,41.160812,400,355.744995,25,26.555168
27/05/2021;14:36:06,?,19.65575,?,41.212334,400,356.633606,25,26.59742
27/05/2021;14:36:07,?,19.652018,?,41.253662,400,361.245239,25,26.635498
27/05/2021;14:36:08,?,19.648144,?,41.298729,400,366.4758,25,26.682924
27/05/2021;14:36:09,?,19.643089,?,41.347534,400,370.071045,25,26.725786
27/05/2021;14:36:10,?,19.639946,?,41.36937,400,372.191589,25,26.764757
27/05/2021;14:36:11,?,19.637337,?,41.361225,400,374.542664,25,26.804005
27/05/2021;14:36:12,?,19.633999,?,41.345779,400,376.864868,25,26.83276
27/05/2021;14:36:13,?,19.631144,?,41.34214,400,379.389771,25,26.858067
27/05/2021;14:36:14,?,19.626478,?,41.34214,400,379.389771,25,26.858067
27/05/2021;14:36:15,?,19.624784,?,41.371952,400,381.581268,25,26.878408
27/05/2021;14:36:16,?,19.62174,?,41.398159,400,383.360321,25,26.901564
27/05/2021;14:36:17,?,19.62174,?,41.418118,400,384.798218,25,26.926502
27/05/2021;14:36:18,?,19.618689,?,41.439251,400,386.242554,25,26.949795
27/05/2021;14:36:19,?,19.616013,?,41.460991,400,387.569641,25,26.974428
27/05/2021;14:36:20,?,19.612589,?,41.487988,400,388.693878,25,27.000845
