REPORT START/STOP
Start Time,27/05/2021,08:52:47
End Time,27/05/2021,11:07:53

Program,R454C_pi_5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
27/05/2021;08:53:59,?,5.471874,?,17.320288,400,400.031921,25,19.813753
27/05/2021;08:54:00,?,5.267293,?,17.05303,400,400.028107,25,19.81032
27/05/2021;08:54:01,?,5.117949,?,16.746269,400,400.020966,25,19.816669
27/05/2021;08:54:02,?,5.007998,?,16.461052,400,400.042694,25,19.817753
27/05/2021;08:54:03,?,4.920599,?,16.184015,400,400.082886,25,19.814919
27/05/2021;08:54:04,?,4.837796,?,15.955558,400,400.087036,25,19.816923
27/05/2021;08:54:05,?,4.76047,?,15.716747,400,400.127228,25,19.819017
27/05/2021;08:54:06,?,4.682333,?,15.716747,400,400.127228,25,19.819017
27/05/2021;08:54:07,?,4.617356,?,15.472319,400,400.197998,25,19.824467
27/05/2021;08:54:08,?,4.554226,?,15.274117,400,400.222168,25,19.830069
27/05/2021;08:54:09,?,4.479406,?,15.042569,400,400.212616,25,19.835732
27/05/2021;08:54:10,?,4.412341,?,14.849191,400,400.179596,25,19.846272
27/05/2021;08:54:11,?,4.412341,?,14.673773,400,400.12854,25,19.852781
27/05/2021;08:54:12,?,4.345415,?,14.516524,400,399.979309,25,19.863562
27/05/2021;08:54:13,?,4.275065,?,14.37141,400,400.090332,25,19.877731
27/05/2021;08:54:14,?,4.202773,?,14.206253,400,400.202576,25,19.893623
27/05/2021;08:54:15,?,4.127574,?,14.027387,400,400.232147,25,19.899376
27/05/2021;08:54:16,?,4.057151,?,13.869926,400,400.149231,25,19.901871
27/05/2021;08:54:17,?,3.989653,?,13.869926,400,400.149231,25,19.901871
27/05/2021;08:54:18,?,3.918832,?,13.700035,400,400.120178,25,19.90062
27/05/2021;08:54:19,?,3.847098,?,13.55945,400,400.116486,25,19.904934
27/05/2021;08:54:20,?,3.788325,?,13.439717,400,400.11908,25,19.91608
27/05/2021;08:54:21,?,3.723587,?,13.321301,400,400.10553,25,19.933744
27/05/2021;08:54:22,?,3.660505,?,13.215374,400,400.160675,25,19.941067
27/05/2021;08:54:23,?,3.602379,?,13.107709,400,400.155304,25,19.942265
27/05/2021;08:54:24,?,3.544256,?,13.015619,400,400.127625,25,19.942785
27/05/2021;08:54:25,?,3.491876,?,12.922523,400,400.041321,25,19.946892
27/05/2021;08:54:26,?,3.442638,?,12.8421,400,400.016266,25,19.9506
27/05/2021;08:54:27,?,3.442638,?,12.754074,400,400.154266,25,19.954758
27/05/2021;08:54:28,?,3.387633,?,12.666152,400,400.139771,25,19.962877
27/05/2021;08:54:29,?,3.335139,?,12.600764,400,400.113312,25,19.962627
27/05/2021;08:54:30,?,3.29095,?,12.550266,400,400.124084,25,19.963087
27/05/2021;08:54:31,?,3.245697,?,12.494123,400,400.143677,25,19.97065
27/05/2021;08:54:32,?,3.206057,?,12.494123,400,400.143677,25,19.97065
27/05/2021;08:54:33,?,3.163067,?,12.434153,400,400.158112,25,19.983021
27/05/2021;08:54:34,?,3.125056,?,12.400164,400,400.137115,25,19.994064
27/05/2021;08:54:35,?,3.08407,?,12.37905,400,399.564056,25,20.004852
27/05/2021;08:54:36,?,3.052804,?,12.344431,400,399.124664,25,20.012966
27/05/2021;08:54:37,?,3.01799,?,12.288303,400,399.049561,25,20.022184
27/05/2021;08:54:38,?,3.01799,?,12.250824,400,399.044678,25,20.035063
27/05/2021;08:54:39,?,2.984453,?,12.237762,400,399.033478,25,20.041903
27/05/2021;08:54:40,?,2.949296,?,12.216816,400,399.063416,25,20.047724
27/05/2021;08:54:41,?,2.918781,?,12.188726,400,399.105988,25,20.055895
27/05/2021;08:54:42,?,2.886656,?,12.17058,400,399.052917,25,20.066395
27/05/2021;08:54:43,?,2.857975,?,12.154695,400,398.973389,25,20.082363
27/05/2021;08:54:44,?,2.831624,?,12.118564,400,399.026062,25,20.097237
27/05/2021;08:54:45,?,2.807284,?,12.103273,400,399.119873,25,20.111383
27/05/2021;08:54:46,?,2.784613,?,12.103273,400,399.119873,25,20.111383
27/05/2021;08:54:47,?,2.763556,?,12.076149,400,399.163544,25,20.12879
27/05/2021;08:54:48,?,2.743267,?,12.066381,400,399.226685,25,20.14769
27/05/2021;08:54:49,?,2.725721,?,12.060868,400,399.231293,25,20.151733
27/05/2021;08:54:50,?,2.710425,?,12.053607,400,399.234222,25,20.156502
27/05/2021;08:54:51,?,2.697928,?,12.030659,400,399.214386,25,20.164829
27/05/2021;08:54:52,?,2.685245,?,11.997522,400,399.202515,25,20.186146
27/05/2021;08:54:53,?,2.685245,?,11.986299,400,399.537903,25,20.21677
27/05/2021;08:54:54,?,2.673713,?,11.982368,400,399.720367,25,20.227398
27/05/2021;08:54:55,?,2.661674,?,11.986367,400,399.768982,25,20.226084
27/05/2021;08:54:56,?,2.649191,?,11.996188,400,399.822754,25,20.225914
27/05/2021;08:54:57,?,2.638968,?,11.984893,400,399.889893,25,20.238291
27/05/2021;08:54:58,?,2.626014,?,11.974311,400,399.981079,25,20.244087
27/05/2021;08:54:59,?,2.613893,?,11.965072,400,400.011292,25,20.256254
27/05/2021;08:55:00,?,2.607688,?,11.965072,400,400.011292,25,20.256254
27/05/2021;08:55:01,?,2.599313,?,11.973913,400,400.037354,25,20.272223
27/05/2021;08:55:02,?,2.585729,?,11.988113,400,400.036346,25,20.282516
27/05/2021;08:55:03,?,2.574644,?,11.97962,400,400.000031,25,20.290749
27/05/2021;08:55:04,?,2.562075,?,11.974479,400,399.986298,25,20.301229
27/05/2021;08:55:05,?,2.562075,?,11.972897,400,399.978485,25,20.310541
27/05/2021;08:55:06,?,2.554133,?,11.980955,400,399.948029,25,20.330126
27/05/2021;08:55:07,?,2.548285,?,11.986253,400,399.970612,25,20.341492
27/05/2021;08:55:08,?,2.538918,?,11.997135,400,400.013977,25,20.347275
27/05/2021;08:55:09,?,2.530452,?,12.006668,400,400.080475,25,20.352295
27/05/2021;08:55:10,?,2.52254,?,12.020738,400,400.05127,25,20.36701
27/05/2021;08:55:11,?,2.515262,?,12.01803,400,400.016113,25,20.38595
27/05/2021;08:55:12,?,2.510597,?,12.017389,400,400.030853,25,20.40835
27/05/2021;08:55:13,?,2.507689,?,12.017389,400,400.030853,25,20.40835
27/05/2021;08:55:14,?,2.50518,?,12.028695,400,400.086365,25,20.422281
27/05/2021;08:55:15,?,2.500347,?,12.042913,400,400.136871,25,20.429163
27/05/2021;08:55:16,?,2.497976,?,12.059643,400,400.117493,25,20.438995
27/05/2021;08:55:17,?,2.503637,?,12.089723,400,400.049957,25,20.459185
27/05/2021;08:55:18,?,2.503637,?,12.108057,400,400.046387,25,20.477785
27/05/2021;08:55:19,?,2.500514,?,12.114544,400,400.02832,25,20.487904
27/05/2021;08:55:20,?,2.49801,?,12.146303,400,400.077637,25,20.49794
27/05/2021;08:55:21,?,2.494316,?,12.166075,400,400.166626,25,20.515598
27/05/2021;08:55:22,?,2.496555,?,12.185194,400,400.193176,25,20.535398
