REPORT START/STOP
Start Time,25/05/2021,12:37:33
End Time,25/05/2021,14:55:51

Program,R454C_pi_4.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
25/05/2021;12:37:33,?,19.945839,?,44.44521,400,0,25,30.214994
25/05/2021;12:37:34,?,19.941525,?,44.44521,400,0,25,30.214994
25/05/2021;12:37:35,?,19.937693,?,44.441479,400,8.754082,25,30.215488
25/05/2021;12:37:36,?,19.934937,?,44.456196,400,231.584366,25,30.209024
25/05/2021;12:37:37,?,19.932364,?,44.440933,400,407.29303,25,30.206589
25/05/2021;12:37:38,?,19.927292,?,44.412457,400,455.298553,25,30.200409
25/05/2021;12:37:39,?,19.923988,?,44.401653,400,425.352051,25,30.19643
25/05/2021;12:37:40,?,19.920301,?,44.394268,400,384.787842,25,30.198292
25/05/2021;12:37:41,?,19.91588,?,44.377369,400,331.463928,25,30.203733
25/05/2021;12:37:42,?,19.912622,?,44.358128,400,315.381165,25,30.201477
25/05/2021;12:37:43,?,19.909409,?,44.361557,400,332.869629,25,30.195797
25/05/2021;12:37:44,?,19.909409,?,44.366161,400,352.161591,25,30.18948
25/05/2021;12:37:45,?,19.904654,?,44.356915,400,360.058746,25,30.189501
25/05/2021;12:37:46,?,19.901829,?,44.350418,400,359.990662,25,30.195908
25/05/2021;12:37:47,?,19.898792,?,44.352421,400,359.671021,25,30.19865
25/05/2021;12:37:48,?,19.894712,?,44.355091,400,362.540558,25,30.196264
25/05/2021;12:37:49,?,19.891525,?,44.355091,400,362.540558,25,30.196264
25/05/2021;12:37:50,?,19.888454,?,44.366226,400,367.619415,25,30.193693
25/05/2021;12:37:51,?,19.883759,?,44.362617,400,371.544342,25,30.205257
25/05/2021;12:37:52,?,19.880484,?,44.366089,400,373.848236,25,30.218634
25/05/2021;12:37:53,?,19.877007,?,44.376942,400,376.15451,25,30.230843
25/05/2021;12:37:54,?,19.872236,?,44.369228,400,378.374817,25,30.237581
25/05/2021;12:37:55,?,19.868843,?,44.367435,400,380.490997,25,30.243458
25/05/2021;12:37:56,?,19.865644,?,44.375896,400,382.450165,25,30.243673
25/05/2021;12:37:57,?,19.865644,?,44.391144,400,384.000854,25,30.245148
25/05/2021;12:37:58,?,19.861423,?,44.392841,400,385.2883,25,30.255117
25/05/2021;12:37:59,?,19.857656,?,44.418255,400,386.739685,25,30.266413
25/05/2021;12:38:00,?,19.854282,?,44.422386,400,388.143005,25,30.263765
25/05/2021;12:38:01,?,19.85088,?,44.422386,400,388.143005,25,30.263765
25/05/2021;12:38:02,?,19.847273,?,44.431637,400,389.348083,25,30.267855
25/05/2021;12:38:03,?,19.843054,?,44.429611,400,389.98703,25,30.266069
25/05/2021;12:38:04,?,19.839607,?,44.412045,400,391.063934,25,30.259411
25/05/2021;12:38:05,?,19.836044,?,44.404591,400,391.901917,25,30.256424
25/05/2021;12:38:06,?,19.83345,?,44.419147,400,392.5112,25,30.259663
25/05/2021;12:38:07,?,19.828272,?,44.425289,400,393.243561,25,30.265139
25/05/2021;12:38:08,?,19.825085,?,44.444683,400,393.948395,25,30.267071
25/05/2021;12:38:09,?,19.822016,?,44.434341,400,394.455566,25,30.264132
25/05/2021;12:38:10,?,19.822016,?,44.453266,400,395.449554,25,30.258181
