REPORT START/STOP
Start Time,25/05/2021,15:14:05
End Time,25/05/2021,16:59:35

Program,R454C_pi_6
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
25/05/2021;15:14:05,?,23.011292,?,51.552128,?,0,?,31.966988
25/05/2021;15:14:06,?,23.007416,?,51.542732,400,0,25,31.973009
25/05/2021;15:14:07,?,23.001692,?,51.542622,400,0,25,31.97769
25/05/2021;15:14:08,?,22.996077,?,51.54435,400,15.828469,25,31.980854
25/05/2021;15:14:09,?,22.991747,?,51.541412,400,298.059265,25,31.9949
25/05/2021;15:14:10,?,22.987392,?,51.546608,400,461.362396,25,32.014072
25/05/2021;15:14:11,?,22.982359,?,51.53669,400,481.289032,25,32.030262
25/05/2021;15:14:12,?,22.982359,?,51.523716,400,448.040619,25,32.032646
25/05/2021;15:14:13,?,22.976822,?,51.525688,400,398.511536,25,32.043308
25/05/2021;15:14:14,?,22.971977,?,51.521442,400,343.42392,25,32.06012
25/05/2021;15:14:15,?,22.965939,?,51.515068,400,316.206848,25,32.077721
25/05/2021;15:14:16,?,22.960569,?,51.511673,400,328.984497,25,32.093304
25/05/2021;15:14:17,?,22.95533,?,51.512665,400,351.890167,25,32.101036
25/05/2021;15:14:18,?,22.950817,?,51.491138,400,362.295441,25,32.101475
25/05/2021;15:14:19,?,22.945593,?,51.483978,400,361.98645,25,32.100124
25/05/2021;15:14:20,?,22.939089,?,51.483978,400,361.98645,25,32.100124
25/05/2021;15:14:21,?,22.935511,?,51.479294,400,360.920837,25,32.099663
25/05/2021;15:14:22,?,22.930443,?,51.460342,400,363.035339,25,32.094608
25/05/2021;15:14:23,?,22.926041,?,51.446957,400,367.48645,25,32.097374
25/05/2021;15:14:24,?,22.919632,?,51.446301,400,371.393921,25,32.101315
25/05/2021;15:14:25,?,22.915321,?,51.444618,400,374.108215,25,32.099491
25/05/2021;15:14:26,?,22.9102,?,51.423054,400,376.153656,25,32.094849
25/05/2021;15:14:27,?,22.9102,?,51.383289,400,378.242126,25,32.094742
25/05/2021;15:14:28,?,22.904228,?,51.352951,400,380.21051,25,32.095093
25/05/2021;15:14:29,?,22.900528,?,51.327145,400,382.305237,25,32.090763
25/05/2021;15:14:30,?,22.895475,?,51.29018,400,384.020538,25,32.092545
25/05/2021;15:14:31,?,22.89209,?,51.273037,400,385.279907,25,32.106186
25/05/2021;15:14:32,?,22.886768,?,51.23859,400,386.766113,25,32.123684
25/05/2021;15:14:33,?,22.881834,?,51.207798,400,387.953979,25,32.129002
25/05/2021;15:14:34,?,22.876476,?,51.190018,400,389.150909,25,32.135487
25/05/2021;15:14:35,?,22.871626,?,51.17881,400,389.951447,25,32.139572
25/05/2021;15:14:36,?,22.866873,?,51.169987,400,391.134552,25,32.146404
25/05/2021;15:14:37,?,22.861008,?,51.169987,400,391.134552,25,32.146404
25/05/2021;15:14:38,?,22.855957,?,51.17004,400,391.931122,25,32.151031
25/05/2021;15:14:39,?,22.851767,?,51.139538,400,392.348572,25,32.151653
25/05/2021;15:14:40,?,22.846273,?,51.118572,400,393.227112,25,32.148903
25/05/2021;15:14:41,?,22.846273,?,51.127071,400,394.017761,25,32.151882
25/05/2021;15:14:42,?,22.841387,?,51.125038,400,394.460938,25,32.148426
25/05/2021;15:14:43,?,22.835228,?,51.105511,400,394.915375,25,32.147282
25/05/2021;15:14:44,?,22.829823,?,51.084908,400,395.833191,25,32.143547
25/05/2021;15:14:45,?,22.822159,?,51.0905,400,396.338013,25,32.142342
25/05/2021;15:14:46,?,22.815411,?,51.082062,400,396.443665,25,32.149857
25/05/2021;15:14:47,?,23.476048,?,51.075977,400,395.83255,25,32.164646
25/05/2021;15:14:48,?,25.258869,?,51.075977,400,395.83255,25,32.164646
