REPORT START/STOP
Start Time,07/01/2021,15:31:46
End Time,07/01/2021,16:38:12

Program,Inbetriebnahme
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
07/01/2021;15:32:47,13.130611,6.154422,16.063663,31.413799,15.194584,-6.724307,69.610847
07/01/2021;15:32:48,13.10379,6.136868,16.08526,31.529022,15.16242,-6.783194,68.9058
07/01/2021;15:32:49,13.077097,6.117483,16.106754,31.636168,15.119804,-6.855962,68.188721
07/01/2021;15:32:50,13.050404,6.100158,16.128246,31.790346,15.071865,-6.936848,67.568932
07/01/2021;15:32:51,13.021656,6.081863,16.151394,31.929691,15.025972,-7.024395,66.921669
07/01/2021;15:32:52,12.994835,6.057045,16.172989,32.004417,14.98848,-7.101473,66.359756
07/01/2021;15:32:53,12.968142,6.036342,16.194485,32.071377,14.94054,-7.185259,65.929642
07/01/2021;15:32:54,12.941448,6.013142,16.215977,32.173214,14.892599,-7.272185,65.754089
07/01/2021;15:32:55,12.914627,5.996044,16.237574,32.23011,14.855106,-7.369941,65.762123
07/01/2021;15:32:56,12.884596,5.976712,16.261753,32.298264,14.812492,-7.452987,65.980103
07/01/2021;15:32:57,12.86124,5.963122,16.28056,32.352699,14.764551,-7.543886,66.397491
07/01/2021;15:32:58,12.831081,5.949886,16.304844,32.431557,14.72706,-7.636909,66.982628
07/01/2021;15:32:59,12.804388,5.930871,16.326336,32.501835,14.684446,-7.719151,67.543884
07/01/2021;15:33:00,12.777567,5.912413,16.347933,32.545441,14.636505,-7.811394,68.153717
07/01/2021;15:33:01,12.750874,5.894824,16.369427,32.598175,14.593687,-7.907088,68.75721
07/01/2021;15:33:02,12.720842,5.887757,16.393606,32.654797,14.551071,-8.017944,69.422371
07/01/2021;15:33:03,12.720842,5.887757,16.393606,32.654797,14.503132,-8.097914,70.006905
07/01/2021;15:33:04,12.693765,5.871607,16.415409,32.709316,14.465639,-8.173568,70.633759
07/01/2021;15:33:05,12.667328,5.85962,16.436697,32.756165,14.465639,-8.173568,70.633759
07/01/2021;15:33:06,12.640635,5.84331,16.458191,32.795994,14.417698,-8.246732,71.244644
07/01/2021;15:33:07,12.613556,5.826641,16.479994,32.836269,14.375084,-8.325861,71.879425
07/01/2021;15:33:08,12.58712,5.813522,16.50128,32.882011,14.332266,-8.40873,72.434151
07/01/2021;15:33:09,12.557089,5.7983,16.525459,32.926384,14.289652,-8.492435,73.039963
07/01/2021;15:33:10,12.53014,5.771457,16.547161,33.006546,14.247038,-8.577931,73.595032
07/01/2021;15:33:11,12.503447,5.737874,16.568653,33.088615,14.204218,-8.647951,74.146713
07/01/2021;15:33:12,12.476881,5.704203,16.590044,33.159031,14.161604,-8.711234,74.669914
07/01/2021;15:33:13,12.449932,5.673509,16.611744,33.213703,14.11899,-8.783889,75.161819
07/01/2021;15:33:14,12.423238,5.643153,16.633236,33.277359,14.070845,-8.877345,75.692451
07/01/2021;15:33:15,12.393336,5.618623,16.657314,33.348755,14.028231,-8.973656,76.123741
07/01/2021;15:33:16,12.369595,5.588309,16.67643,33.400017,13.985003,-9.092712,76.578888
07/01/2021;15:33:17,12.339693,5.560565,16.700506,33.438278,13.942799,-9.211115,77.009071
07/01/2021;15:33:18,12.313128,5.538698,16.721897,33.491211,13.900185,-9.309859,77.326416
07/01/2021;15:33:19,12.286179,5.521281,16.743597,33.537647,13.856956,-9.426708,77.663689
07/01/2021;15:33:20,12.259485,5.508269,16.765091,33.589424,13.809219,-9.562025,78.037003
07/01/2021;15:33:21,12.259485,5.508269,16.765091,33.589424,13.766809,-9.688067,78.349251
07/01/2021;15:33:22,12.23292,5.494199,16.78648,33.622185,13.766809,-9.688067,78.349251
07/01/2021;15:33:23,12.202633,5.476643,16.810867,33.663967,13.723581,-9.813827,78.667175
07/01/2021;15:33:24,12.179276,5.466402,16.829674,33.698177,13.681173,-9.909216,78.967529
07/01/2021;15:33:25,12.149374,5.453239,16.85375,33.722725,13.638763,-10.004573,79.255997
07/01/2021;15:33:26,12.122425,5.444775,16.87545,33.769928,13.595739,-10.102525,79.557831
07/01/2021;15:33:27,12.09586,5.431478,16.896839,33.820263,13.553125,-10.185722,79.751816
07/01/2021;15:33:28,12.069166,5.416978,16.918333,33.861061,13.510717,-10.262042,79.791512
07/01/2021;15:33:29,12.042216,5.40186,16.940033,33.926197,13.467693,-10.344543,79.596771
07/01/2021;15:33:30,12.015523,5.391202,16.961527,34.012993,13.419752,-10.427185,79.102562
07/01/2021;15:33:31,11.988958,5.390289,16.982918,34.061787,13.377343,-10.508614,78.360725
07/01/2021;15:33:32,11.958799,5.379762,17.0072,34.101593,13.334319,-10.601223,77.558289
07/01/2021;15:33:33,11.932106,5.367944,17.028694,34.115971,13.291705,-10.695929,76.886429
07/01/2021;15:33:34,11.905413,5.356277,17.050186,34.158218,13.249296,-10.785145,76.376282
07/01/2021;15:33:35,11.878592,5.346985,17.071783,34.167316,13.200945,-10.870454,75.980225
07/01/2021;15:33:36,11.851898,5.330247,17.093277,34.189678,13.158537,-10.946303,75.825569
07/01/2021;15:33:37,11.825205,5.324432,17.114771,34.211369,13.110596,-11.029221,75.818909
07/01/2021;15:33:38,11.825205,5.324432,17.114771,34.211369,13.072899,-11.105326,75.910591
07/01/2021;15:33:39,11.795047,5.321609,17.139053,34.228855,13.030285,-11.182046,76.056366
07/01/2021;15:33:40,11.768353,5.319898,17.160547,34.245178,13.030285,-11.182046,76.056366
07/01/2021;15:33:41,11.744996,5.316103,17.179354,34.243851,12.987875,-11.253735,76.258675
07/01/2021;15:33:42,11.714838,5.314044,17.203636,34.271999,12.944852,-11.31807,76.478989
07/01/2021;15:33:43,11.688145,5.312211,17.22513,34.274609,12.902443,-11.376347,76.678726
07/01/2021;15:33:44,11.661451,5.310019,17.246624,34.276222,12.849175,-11.425349,76.97834
07/01/2021;15:33:45,11.631293,5.307575,17.270906,34.284554,12.811684,-11.460999,77.302658
07/01/2021;15:33:46,11.604599,5.301152,17.2924,34.284492,12.76907,-11.497119,77.708672
07/01/2021;15:33:47,11.577907,5.29601,17.313892,34.288803,12.721128,-11.526856,78.162468
07/01/2021;15:33:48,11.551085,5.294271,17.335489,34.295166,12.683636,-11.554267,78.579498
07/01/2021;15:33:49,11.524391,5.294509,17.356983,34.307877,12.635695,-11.584605,78.986511
07/01/2021;15:33:50,11.495388,5.293458,17.380337,34.31258,12.594721,-11.604457,79.295403
07/01/2021;15:33:51,11.468695,5.292832,17.401831,34.312004,12.541452,-11.631767,79.57766
07/01/2021;15:33:52,11.438536,5.295041,17.426113,34.323666,12.498634,-11.651464,79.848892
07/01/2021;15:33:53,11.438536,5.295041,17.426113,34.323666,12.45602,-11.669097,80.115662
07/01/2021;15:33:54,11.411843,5.296313,17.447607,34.343117,12.45602,-11.669097,80.115662
07/01/2021;15:33:55,11.384766,5.296577,17.46941,34.329449,12.413406,-11.686841,80.345169
07/01/2021;15:33:56,11.354863,5.302249,17.493486,34.322014,12.36526,-11.697251,80.619644
07/01/2021;15:33:57,11.328299,5.302988,17.514877,34.321033,12.322647,-11.702745,80.956917
07/01/2021;15:33:58,11.298012,5.306177,17.539263,34.325294,12.279418,-11.693952,81.235985
07/01/2021;15:33:59,11.271318,5.310743,17.560757,34.326988,12.237213,-11.666047,81.470116
07/01/2021;15:34:00,11.244753,5.308591,17.582146,34.328957,12.194599,-11.645273,81.659744
07/01/2021;15:34:01,11.217803,5.30789,17.603848,34.328873,12.151371,-11.639075,81.840622
07/01/2021;15:34:02,11.19111,5.304483,17.62534,34.3218,12.109166,-11.642551,81.993088
07/01/2021;15:34:03,11.164545,5.306805,17.64673,34.32394,12.066553,-11.647798,82.180328
07/01/2021;15:34:04,11.137594,5.313856,17.66843,34.317703,12.018202,-11.651742,82.352463
07/01/2021;15:34:05,11.107693,5.319499,17.692507,34.312489,11.975588,-11.641125,82.466934
07/01/2021;15:34:06,11.080999,5.323533,17.714001,34.301559,11.933179,-11.618125,82.605331
07/01/2021;15:34:07,11.080999,5.323533,17.714001,34.301559,11.88995,-11.601949,82.81591
07/01/2021;15:34:08,11.054049,5.32758,17.735701,34.288258,11.847542,-11.592438,83.040298
07/01/2021;15:34:09,11.027357,5.33336,17.757193,34.273243,11.847542,-11.592438,83.040298
07/01/2021;15:34:10,10.997455,5.337044,17.781271,34.259304,11.799806,-11.582539,83.322189
07/01/2021;15:34:11,10.970633,5.340014,17.802866,34.245213,11.756782,-11.571659,83.611099
07/01/2021;15:34:12,10.940603,5.342223,17.827047,34.22953,11.714167,-11.558813,83.946976
07/01/2021;15:34:13,10.91391,5.346839,17.848539,34.216187,11.666431,-11.543779,84.31881
07/01/2021;15:34:14,10.887089,5.353251,17.870136,34.200005,11.623407,-11.532103,84.707687
07/01/2021;15:34:15,10.860394,5.357215,17.89163,34.18589,11.580794,-11.522902,85.117569
07/01/2021;15:34:16,10.833702,5.362441,17.913124,34.175987,11.533058,-11.504423,85.553581
07/01/2021;15:34:17,10.803543,5.362768,17.937407,34.156403,11.490239,-11.484682,86.015816
07/01/2021;15:34:18,10.77685,5.363482,17.9589,34.140629,11.447625,-11.462045,86.44519
07/01/2021;15:34:19,10.750156,5.369108,17.980392,34.123974,11.394358,-11.43258,86.836411
07/01/2021;15:34:20,10.719998,5.373177,18.004677,34.103889,11.356866,-11.41053,87.166985
07/01/2021;15:34:21,10.696641,5.379908,18.023483,34.088184,11.314251,-11.396274,87.461441
07/01/2021;15:34:22,10.696641,5.379908,18.023483,34.088184,11.266311,-11.381923,87.772369
07/01/2021;15:34:23,10.669949,5.391541,18.044977,34.075249,11.266311,-11.381923,87.772369
07/01/2021;15:34:24,10.63979,5.399301,18.06926,34.062134,11.223492,-11.355763,88.126099
07/01/2021;15:34:25,10.60976,5.398826,18.093441,34.041801,11.186205,-11.331182,88.446121
07/01/2021;15:34:26,10.582682,5.401628,18.115244,34.022865,11.132936,-11.291984,88.857941
07/01/2021;15:34:27,10.556245,5.405484,18.13653,34.006191,11.095446,-11.260687,89.209999
07/01/2021;15:34:28,10.529552,5.407334,18.158024,33.985764,11.047504,-11.234817,89.566498
07/01/2021;15:34:29,10.499265,5.41038,18.182409,33.966633,11.00489,-11.211232,89.867882
07/01/2021;15:34:30,10.472571,5.412559,18.203903,33.945656,10.956744,-11.1824,90.168503
07/01/2021;15:34:31,10.446007,5.418568,18.225294,33.927296,10.914131,-11.167333,90.421783
07/01/2021;15:34:32,10.41572,5.425911,18.24968,33.909985,10.870902,-11.167751,90.639397
07/01/2021;15:34:33,10.392363,5.433755,18.268486,33.896702,10.828697,-11.162849,90.8256
07/01/2021;15:34:34,10.362461,5.439453,18.292562,33.879803,10.780757,-11.150899,91.015167
07/01/2021;15:34:35,10.362461,5.439453,18.292562,33.879803,10.737734,-11.130597,91.171791
07/01/2021;15:34:36,10.332174,5.443568,18.31695,33.859222,10.737734,-11.130597,91.171791
07/01/2021;15:34:37,10.30561,5.44676,18.338341,33.836971,10.69512,-11.114977,91.299576
07/01/2021;15:34:38,10.278916,5.450324,18.359833,33.818321,10.65271,-11.106292,91.424789
07/01/2021;15:34:39,10.251966,5.453347,18.381533,33.802895,10.609482,-11.090725,91.573662
07/01/2021;15:34:40,10.225401,5.459214,18.402924,33.784191,10.561746,-11.06807,91.768143
07/01/2021;15:34:41,10.195372,5.464511,18.427103,33.770134,10.519337,-11.03539,91.96521
07/01/2021;15:34:42,10.16855,5.47121,18.4487,33.752953,10.470985,-11.00162,92.1091
07/01/2021;15:34:43,10.138519,5.475164,18.472879,33.735054,10.428577,-10.972322,92.240105
07/01/2021;15:34:44,10.111826,5.478886,18.494373,33.715096,10.375309,-10.957363,92.410995
07/01/2021;15:34:45,10.085005,5.485572,18.51597,33.695419,10.337817,-10.943945,92.582283
07/01/2021;15:34:46,10.054975,5.493102,18.54015,33.672691,10.295203,-10.932371,92.733131
07/01/2021;15:34:47,10.054975,5.493102,18.54015,33.672691,10.247263,-10.918162,92.840691
07/01/2021;15:34:48,10.024945,5.498226,18.564329,33.65316,10.204443,-10.885987,92.978668
07/01/2021;15:34:49,9.998123,5.50628,18.585926,33.635181,10.204443,-10.885987,92.978668
07/01/2021;15:34:50,9.97143,5.512525,18.60742,33.617279,10.156503,-10.861826,93.128204
07/01/2021;15:34:51,9.945891,5.516397,18.627983,33.600452,10.115732,-10.839008,93.33773
07/01/2021;15:34:52,9.915861,5.521951,18.652163,33.584671,10.062466,-10.80424,93.546326
07/01/2021;15:34:53,9.885703,5.522318,18.676447,33.562874,10.024973,-10.776721,93.687706
07/01/2021;15:34:54,9.85901,5.522922,18.697941,33.543072,9.982359,-10.763853,93.761902
07/01/2021;15:34:55,9.828723,5.530372,18.722326,33.52467,9.934418,-10.741282,93.767677
07/01/2021;15:34:56,9.80203,5.539769,18.74382,33.506123,9.8916,-10.70707,93.746986
07/01/2021;15:34:57,9.772128,5.547489,18.767897,33.489655,9.843658,-10.673442,93.855408
07/01/2021;15:34:58,9.745178,5.555928,18.789597,33.476971,9.80043,-10.638891,94.002266
07/01/2021;15:34:59,9.745178,5.555928,18.789597,33.476971,9.752694,-10.594919,94.106377
07/01/2021;15:35:00,9.718485,5.561285,18.81109,33.463669,9.752694,-10.594919,94.106377
07/01/2021;15:35:01,9.688583,5.570659,18.835167,33.450966,9.710285,-10.562447,94.226898
07/01/2021;15:35:02,9.661633,5.57848,18.856867,33.439415,9.667057,-10.529516,94.395531
07/01/2021;15:35:03,9.631731,5.58375,18.880943,33.431549,9.61932,-10.489585,94.561363
07/01/2021;15:35:04,9.605038,5.591256,18.902437,33.425449,9.576912,-10.461136,94.724091
07/01/2021;15:35:05,9.578217,5.597769,18.924034,33.417099,9.533888,-10.438834,94.87664
07/01/2021;15:35:06,9.548186,5.603478,18.948214,33.409958,9.486152,-10.413467,94.938881
07/01/2021;15:35:07,9.52483,5.606805,18.96702,33.403446,9.443538,-10.374867,94.861557
07/01/2021;15:35:08,9.501217,5.613026,18.986034,33.394173,9.395391,-10.340441,94.741806
07/01/2021;15:35:09,9.471315,5.618585,19.010109,33.385464,9.352778,-10.314172,94.638634
07/01/2021;15:35:10,9.444622,5.625389,19.031603,33.381783,9.304837,-10.289294,94.577774
07/01/2021;15:35:11,9.414463,5.632759,19.055887,33.381165,9.262018,-10.267065,94.544579
07/01/2021;15:35:12,9.38777,5.636106,19.077379,33.383171,9.262018,-10.267065,94.544579
07/01/2021;15:35:13,9.361076,5.639828,19.098873,33.379486,9.219404,-10.243692,94.546211
07/01/2021;15:35:14,9.337591,5.643798,19.117783,33.382355,9.166137,-10.215427,94.601807
07/01/2021;15:35:15,9.307562,5.651368,19.141964,33.385433,9.128645,-10.187778,94.704674
07/01/2021;15:35:16,9.307562,5.651368,19.141964,33.385433,9.080704,-10.163425,94.771019
07/01/2021;15:35:17,9.280869,5.661634,19.163456,33.394032,9.032148,-10.118762,94.753624
07/01/2021;15:35:18,9.254046,5.665948,19.185053,33.400597,8.989944,-10.066805,94.758881
07/01/2021;15:35:19,9.224016,5.671333,19.209232,33.410828,8.94733,-10.01679,94.728447
07/01/2021;15:35:20,9.197323,5.674755,19.230726,33.416122,8.898775,-9.969479,94.654846
07/01/2021;15:35:21,9.170502,5.680337,19.252323,33.417244,8.856366,-9.939368,94.616615
07/01/2021;15:35:22,9.140471,5.689171,19.276503,33.421795,8.813957,-9.918545,94.512268
07/01/2021;15:35:23,9.113778,5.699388,19.297997,33.428429,8.813957,-9.918545,94.512268
07/01/2021;15:35:24,9.086956,5.705029,19.319593,33.435646,8.765606,-9.909802,94.343567
07/01/2021;15:35:25,9.056927,5.71145,19.343773,33.437885,8.717871,-9.887691,94.215637
07/01/2021;15:35:26,9.029848,5.71771,19.365578,33.447277,8.66993,-9.851104,94.165581
07/01/2021;15:35:27,9.003411,5.725623,19.386864,33.454163,8.632233,-9.813787,94.183929
07/01/2021;15:35:28,9.003411,5.725623,19.386864,33.454163,8.589824,-9.781597,94.204887
07/01/2021;15:35:29,8.973382,5.734765,19.411043,33.462433,8.541883,-9.75209,94.21788
07/01/2021;15:35:30,8.946431,5.742513,19.432743,33.473347,8.499063,-9.723681,94.197998
07/01/2021;15:35:31,8.916402,5.752159,19.456923,33.488823,8.45645,-9.692952,94.100372
07/01/2021;15:35:32,8.889836,5.758876,19.478313,33.498787,8.403183,-9.659589,93.876122
07/01/2021;15:35:33,8.85955,5.764543,19.502701,33.505917,8.36569,-9.630738,93.641068
07/01/2021;15:35:34,8.832985,5.770027,19.52409,33.514252,8.323076,-9.60124,93.466003
07/01/2021;15:35:35,8.802955,5.777146,19.548269,33.523315,8.323076,-9.60124,93.466003
07/01/2021;15:35:36,8.776134,5.781858,19.569866,33.541458,8.269809,-9.56391,93.259628
07/01/2021;15:35:37,8.746103,5.78522,19.594048,33.55545,8.22699,-9.526845,93.05352
07/01/2021;15:35:38,8.71941,5.790485,19.61554,33.570976,8.184376,-9.486313,92.884819
07/01/2021;15:35:39,8.692588,5.795591,19.637136,33.585312,8.141762,-9.442926,92.736641
07/01/2021;15:35:40,8.692588,5.795591,19.637136,33.585312,8.093616,-9.420813,92.531342
07/01/2021;15:35:41,8.665895,5.801922,19.65863,33.599716,8.051003,-9.406363,92.234344
07/01/2021;15:35:42,8.635865,5.808792,19.68281,33.615383,8.002651,-9.383568,91.775902
07/01/2021;15:35:43,8.609043,5.81482,19.704407,33.635338,7.965569,-9.353648,91.336243
07/01/2021;15:35:44,8.578885,5.819137,19.728689,33.656685,7.917628,-9.307343,90.75975
07/01/2021;15:35:45,8.55232,5.822931,19.75008,33.680088,7.8744,-9.260442,90.218193
07/01/2021;15:35:46,8.525498,5.82626,19.771677,33.691238,7.826664,-9.231444,89.724312
07/01/2021;15:35:47,8.495468,5.83031,19.795856,33.705364,7.826664,-9.231444,89.724312
07/01/2021;15:35:48,8.46839,5.834893,19.817659,33.728745,7.784255,-9.212271,89.257477
07/01/2021;15:35:49,8.441954,5.839093,19.838947,33.747749,7.741231,-9.190456,88.768135
07/01/2021;15:35:50,8.413206,5.843275,19.862093,33.761093,7.693291,-9.162688,88.286667
07/01/2021;15:35:51,8.386513,5.847385,19.883587,33.776009,7.647398,-9.136703,87.825737
07/01/2021;15:35:52,8.386513,5.847385,19.883587,33.776009,7.604989,-9.10821,87.429207
07/01/2021;15:35:53,8.359819,5.850801,19.905081,33.793495,7.561966,-9.074095,87.143883
07/01/2021;15:35:54,8.329661,5.854994,19.929363,33.798943,7.519351,-9.044953,86.921143
07/01/2021;15:35:55,8.302968,5.858117,19.950857,33.825184,7.476943,-9.020154,86.677826
07/01/2021;15:35:56,8.27589,5.86138,19.97266,33.833317,7.428592,-8.9955,86.36882
07/01/2021;15:35:57,8.245988,5.863861,19.996737,33.843712,7.380856,-8.976853,85.995911
07/01/2021;15:35:58,8.219423,5.866921,20.018127,33.845554,7.380856,-8.976853,85.995911
07/01/2021;15:35:59,8.1858,5.870046,20.0452,33.896515,7.332915,-8.964739,85.511955
07/01/2021;15:36:00,8.159106,5.87311,20.066694,33.945835,7.295423,-8.961639,84.958069
07/01/2021;15:36:01,8.132542,5.874976,20.088083,33.981667,7.247482,-8.947272,84.107407
