REPORT START/STOP
Start Time,14/01/2021,13:56:18
End Time,14/01/2021,15:09:47

Program,R32 pi 4
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
14/01/2021;13:57:18,12.945499,7.254295,16.655334,37.608067,14.31674,-2.117417,65.94899
14/01/2021;13:57:19,12.915485,7.227399,16.687073,37.649521,14.251024,-2.222168,66.390388
14/01/2021;13:57:20,12.88141,7.204392,16.723106,37.676601,14.199631,-2.342435,66.992683
14/01/2021;13:57:21,12.855021,7.175783,16.751013,37.723244,14.133914,-2.437846,67.720718
14/01/2021;13:57:22,12.82486,7.14437,16.782907,37.748508,14.068198,-2.532378,68.601677
14/01/2021;13:57:23,12.79064,7.110577,16.819094,37.793465,14.016806,-2.632005,69.424683
14/01/2021;13:57:24,12.760479,7.08057,16.850986,37.822601,13.95839,-2.734599,70.218346
14/01/2021;13:57:25,12.730465,7.060984,16.882727,37.847225,13.892394,-2.84983,70.971169
14/01/2021;13:57:26,12.730465,7.060984,16.882727,37.847225,13.892394,-2.84983,70.971169
14/01/2021;13:57:27,12.700159,7.034989,16.914774,37.89455,13.83398,-2.99074,71.605072
14/01/2021;13:57:28,12.666229,7.001919,16.950653,37.932213,13.775565,-3.102046,72.015388
14/01/2021;13:57:29,12.63578,6.979152,16.982853,37.962116,13.709849,-3.219367,72.286522
14/01/2021;13:57:30,12.605764,6.946447,17.014593,37.997143,13.658455,-3.327064,72.450691
14/01/2021;13:57:31,12.571835,6.916915,17.050472,38.040257,13.600041,-3.444602,72.530029
14/01/2021;13:57:32,12.541385,6.896801,17.082674,38.056587,13.534326,-3.560293,72.572685
14/01/2021;13:57:33,12.511225,6.862669,17.114567,38.07436,13.475629,-3.681249,72.627136
