REPORT START/STOP
Start Time,12/01/2021,14:55:29
End Time,12/01/2021,15:54:18

Program,R32_pi_4.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
12/01/2021;14:56:31,12.705357,7.692006,16.383377,27.629044,13.141052,10.749664,51.405052
12/01/2021;14:56:32,12.671406,7.6043,16.410328,27.597967,13.073858,9.432904,53.300755
12/01/2021;14:56:33,12.63778,7.519698,16.437019,27.564835,12.997484,7.902367,55.187881
12/01/2021;14:56:34,12.604315,7.435453,16.463585,27.505054,12.911564,6.344733,57.041367
12/01/2021;14:56:35,12.570365,7.348423,16.490536,27.48101,12.84437,5.114535,58.587673
12/01/2021;14:56:36,12.5369,7.257417,16.517101,27.526384,12.767994,4.044402,60.045685
12/01/2021;14:56:37,12.503273,7.149827,16.543793,27.605827,12.672527,3.06453,61.44104
12/01/2021;14:56:38,12.469323,7.039998,16.570744,27.689495,12.61488,2.268092,62.60218
12/01/2021;14:56:39,12.431655,6.924548,16.600645,27.772596,12.61488,2.268092,62.60218
12/01/2021;14:56:40,12.393826,6.784997,16.630676,27.864351,12.528959,1.48739,63.800804
12/01/2021;14:56:41,12.355833,6.674087,16.660833,27.931511,12.443037,0.7069093585014343,65.035927
12/01/2021;14:56:42,12.355833,6.674087,16.660833,27.931511,12.366297,0.05050257593393326,66.111755
12/01/2021;14:56:43,12.322206,6.580432,16.687527,27.986393,12.289923,-0.5312702655792236,67.088051
12/01/2021;14:56:44,12.28858,6.493421,16.71422,28.031818,12.203266,-1.12925,68.088638
12/01/2021;14:56:45,12.254791,6.40904,16.741043,28.067179,12.12726,-1.651286,69.005096
12/01/2021;14:56:46,12.221165,6.332271,16.767735,28.090353,12.050886,-2.186839,69.954391
12/01/2021;14:56:47,12.187538,6.256976,16.79443,28.104546,11.97341,-2.684469,70.830811
12/01/2021;14:56:48,12.149547,6.180722,16.824587,28.112934,11.89777,-3.082028,71.648796
12/01/2021;14:56:49,12.11592,6.118747,16.85128,28.115112,11.81185,-3.475054,72.519058
12/01/2021;14:56:50,12.082293,6.062337,16.877974,28.107372,11.734741,-3.826667,73.365173
12/01/2021;14:56:51,12.048505,6.009142,16.904797,28.092093,11.658365,-4.0776,74.132141
12/01/2021;14:56:52,12.010675,5.955207,16.934826,28.069252,11.582359,-4.280382,74.931618
12/01/2021;14:56:53,11.976563,5.908911,16.961903,28.039621,11.582359,-4.280382,74.931618
12/01/2021;14:56:54,11.947463,5.871805,16.985004,28.003864,11.438791,-4.536552,76.40345
12/01/2021;14:56:55,11.90543,5.829287,17.01837,27.959536,11.438791,-4.536552,76.40345
12/01/2021;14:56:56,11.87148,5.799456,17.045321,27.915354,11.352871,-4.606206,77.206802
12/01/2021;14:56:57,11.837852,5.774793,17.072014,27.879208,11.275761,-4.632709,77.877487
12/01/2021;14:56:58,11.837852,5.774793,17.072014,27.879208,11.199387,-4.639248,78.534164
12/01/2021;14:56:59,11.804388,5.748864,17.098579,27.843319,11.123381,-4.638369,79.202141
12/01/2021;14:57:00,11.770277,5.728111,17.125656,27.813105,11.045904,-4.619674,79.777649
12/01/2021;14:57:01,11.736812,5.710236,17.152222,27.788864,10.960352,-4.579631,80.382339
12/01/2021;14:57:02,11.703346,5.69306,17.178787,27.769684,10.884344,-4.531184,80.921638
12/01/2021;14:57:03,11.665194,5.677955,17.209074,27.75255,10.807236,-4.478025,81.473289
12/01/2021;14:57:04,11.631567,5.665943,17.235767,27.742527,10.730862,-4.430753,82.004425
12/01/2021;14:57:05,11.593899,5.657534,17.265669,27.729301,10.635759,-4.388834,82.537979
12/01/2021;14:57:06,11.564152,5.650027,17.289282,27.717817,10.568199,-4.362751,83.00145
12/01/2021;14:57:07,11.526484,5.645357,17.319183,27.700554,10.482645,-4.341156,83.481926
12/01/2021;14:57:08,11.492857,5.641284,17.345877,27.685068,10.396725,-4.31917,83.948906
12/01/2021;14:57:09,11.454865,5.63368,17.376036,27.667265,10.329529,-4.300542,84.353661
12/01/2021;14:57:10,11.421238,5.629522,17.402729,27.649481,10.329529,-4.300542,84.353661
12/01/2021;14:57:11,11.387611,5.628293,17.429422,27.63266,10.253157,-4.277463,84.76976
12/01/2021;14:57:12,11.387611,5.628293,17.429422,27.63266,10.167234,-4.271671,85.220177
12/01/2021;14:57:13,11.353823,5.625509,17.456244,27.610403,10.10004,-4.306329,85.646828
12/01/2021;14:57:14,11.320196,5.624627,17.482937,27.591002,10.014118,-4.336891,86.076469
12/01/2021;14:57:15,11.28657,5.624394,17.50963,27.570368,9.928198,-4.358142,86.44825
12/01/2021;14:57:16,11.248579,5.621874,17.539787,27.547935,9.861004,-4.388741,86.786484
12/01/2021;14:57:17,11.214952,5.618491,17.566483,27.523289,9.78463,-4.432304,87.129784
12/01/2021;14:57:18,11.181164,5.616779,17.593304,27.500057,9.698341,-4.480228,87.429459
12/01/2021;14:57:19,11.144789,5.613982,17.622179,27.476366,9.615725,-4.537227,87.755356
12/01/2021;14:57:20,11.111,5.611647,17.649,27.453152,9.548531,-4.582773,88.04245
12/01/2021;14:57:21,11.073008,5.608392,17.679159,27.422235,9.471422,-4.6162,88.30143
12/01/2021;14:57:22,11.043423,5.607137,17.702644,27.393797,9.385134,-4.655452,88.528656
12/01/2021;14:57:23,11.005593,5.606433,17.732674,27.366623,9.309128,-4.696662,88.70359
12/01/2021;14:57:24,10.971967,5.603248,17.759367,27.338232,9.309128,-4.696662,88.70359
12/01/2021;14:57:25,10.937855,5.601662,17.786446,27.307526,9.223207,-4.728167,88.914482
12/01/2021;14:57:26,10.904552,5.596083,17.812881,27.278187,9.155277,-4.752091,89.125679
12/01/2021;14:57:27,10.904552,5.596083,17.812881,27.278187,9.069723,-4.774641,89.341187
12/01/2021;14:57:28,10.866722,5.591488,17.842911,27.248394,8.993717,-4.783352,89.52964
12/01/2021;14:57:29,10.832771,5.591768,17.869862,27.218435,8.916609,-4.790942,89.713364
12/01/2021;14:57:30,10.799145,5.589329,17.896555,27.185173,8.840233,-4.801235,89.929169
12/01/2021;14:57:31,10.757273,5.586369,17.929794,27.147924,8.754681,-4.80744,90.140526
12/01/2021;14:57:32,10.719282,5.581998,17.959951,27.113277,8.677572,-4.802764,90.301537
12/01/2021;14:57:33,10.685656,5.57906,17.986645,27.07732,8.601198,-4.784036,90.420883
12/01/2021;14:57:34,10.652028,5.576633,18.013338,27.047672,8.52519,-4.751558,90.54776
12/01/2021;14:57:35,10.614037,5.573188,18.043497,27.016212,8.438536,-4.705872,90.698242
12/01/2021;14:57:36,10.58041,5.572551,18.07019,26.990564,8.352982,-4.667015,90.859299
12/01/2021;14:57:37,10.58041,5.572551,18.07019,26.990564,8.286154,-4.629438,91.012489
12/01/2021;14:57:38,10.546783,5.570353,18.096884,26.963938,8.199865,-4.580944,91.197845
12/01/2021;14:57:39,10.512995,5.571296,18.123705,26.934935,8.199865,-4.580944,91.197845
12/01/2021;14:57:40,10.475165,5.57227,18.153736,26.903679,8.123493,-4.536346,91.385658
12/01/2021;14:57:41,10.441538,5.570515,18.180428,26.873398,8.037571,-4.486187,91.557388
12/01/2021;14:57:42,10.40775,5.569343,18.207251,26.848629,7.970376,-4.436647,91.709534
12/01/2021;14:57:43,10.374124,5.569442,18.233944,26.824184,7.884455,-4.389238,91.854614
12/01/2021;14:57:44,10.340496,5.570204,18.260637,26.793764,7.808082,-4.35587,91.944328
12/01/2021;14:57:45,10.302505,5.570112,18.290794,26.761536,7.731341,-4.314363,92.083946
12/01/2021;14:57:46,10.268879,5.570833,18.31749,26.730385,7.654966,-4.283871,92.233154
12/01/2021;14:57:47,10.235251,5.569643,18.344181,26.706884,7.569046,-4.242602,92.426514
12/01/2021;14:57:48,10.201464,5.569467,18.371004,26.686012,7.501852,-4.197111,92.597572
12/01/2021;14:57:49,10.15943,5.568997,18.404369,26.657637,7.41593,-4.146084,92.78717
12/01/2021;14:57:50,10.15943,5.568997,18.404369,26.657637,7.330008,-4.07682,93.007103
12/01/2021;14:57:51,10.121277,5.567737,18.434658,26.640621,7.330008,-4.07682,93.007103
12/01/2021;14:57:52,10.083609,5.565953,18.464558,26.63879,7.243721,-4.013276,93.229431
12/01/2021;14:57:53,10.049982,5.564433,18.491253,26.640936,7.1578,-3.953,93.437668
12/01/2021;14:57:54,10.016031,5.562706,18.518202,26.64509,7.080692,-3.896458,93.589424
12/01/2021;14:57:55,9.978363,5.553058,18.548103,26.65597,7.004317,-3.830179,93.72908
12/01/2021;14:57:56,9.944736,5.52396,18.574797,26.658573,6.928311,-3.767347,93.859093
12/01/2021;14:57:57,9.910948,5.501244,18.60162,26.654539,6.841655,-3.708416,93.992271
12/01/2021;14:57:58,9.877321,5.48316,18.628311,26.645916,6.765281,-3.666581,94.09346
