REPORT START/STOP
Start Time,11/01/2021,14:32:59
End Time,11/01/2021,15:43:11

Program,R32 pi 4
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
11/01/2021;14:34:00,12.91534,5.135159,16.687227,32.742733,14.243442,-10.310653,58.216469
11/01/2021;14:34:01,12.885035,5.127192,16.719273,32.657364,14.184746,-10.445452,59.46883
11/01/2021;14:34:02,12.851105,5.115519,16.755154,32.572552,14.11903,-10.556074,60.815659
11/01/2021;14:34:03,12.820655,5.103038,16.787354,32.51812,14.052752,-10.663523,62.278549
11/01/2021;14:34:04,12.79064,5.092363,16.819094,32.4692,13.994338,-10.744693,63.560978
11/01/2021;14:34:05,12.75671,5.079814,16.854973,32.420296,13.994338,-10.744693,63.560978
11/01/2021;14:34:06,12.727855,5.068338,16.885487,32.375782,13.936205,-10.839005,65.017349
11/01/2021;14:34:07,12.727855,5.068338,16.885487,32.375782,13.873016,-10.931104,66.366341
11/01/2021;14:34:08,12.693635,5.058751,16.921673,32.328602,13.806738,-11.024704,67.752663
11/01/2021;14:34:09,12.663475,5.046134,16.953568,32.280582,13.741302,-11.117602,69.034393
11/01/2021;14:34:10,12.62969,5.036644,16.989294,32.235409,13.682888,-11.217447,70.191772
11/01/2021;14:34:11,12.599094,5.024661,17.021646,32.18317,13.623912,-11.313088,71.283936
11/01/2021;14:34:12,12.56908,5.016563,17.053387,32.132748,13.565497,-11.40252,72.433716
11/01/2021;14:34:13,12.535295,5.006704,17.089113,32.078861,13.500063,-11.469424,73.332199
11/01/2021;14:34:14,12.504845,4.998874,17.121313,32.026482,13.448388,-11.529467,74.270393
11/01/2021;14:34:15,12.474831,4.990883,17.153053,31.975435,13.382953,-11.588786,75.262138
11/01/2021;14:34:16,12.44467,4.982426,17.184948,31.932001,13.317237,-11.64115,76.140488
11/01/2021;14:34:17,12.414219,4.975466,17.217148,31.878372,13.265843,-11.697929,77.038177
11/01/2021;14:34:18,12.380435,4.967188,17.252872,31.828337,13.265843,-11.697929,77.038177
11/01/2021;14:34:19,12.350275,4.958268,17.284767,31.777321,13.207429,-11.750776,77.851913
11/01/2021;14:34:20,12.319969,4.952141,17.316814,31.728428,13.134411,-11.802739,78.696968
11/01/2021;14:34:21,12.319969,4.952141,17.316814,31.728428,13.083017,-11.843411,79.457848
11/01/2021;14:34:22,12.28981,4.947317,17.348707,31.672905,13.009999,-11.888888,80.317993
11/01/2021;14:34:23,12.25588,4.940613,17.384586,31.61939,12.951586,-11.934694,81.074699
11/01/2021;14:34:24,12.221805,4.936506,17.42062,31.563559,12.885589,-11.97947,81.741112
11/01/2021;14:34:25,12.191645,4.931979,17.452513,31.516083,12.827173,-12.01201,82.364204
11/01/2021;14:34:26,12.161485,4.927972,17.484407,31.467329,12.768198,-12.033998,82.943558
11/01/2021;14:34:27,12.127409,4.923507,17.520439,31.41531,12.710065,-12.056193,83.492699
11/01/2021;14:34:28,12.09725,4.921384,17.552334,31.370428,12.710065,-12.056193,83.492699
11/01/2021;14:34:29,12.066509,4.921461,17.584839,31.32486,12.644348,-12.08406,84.07534
11/01/2021;14:34:30,12.032724,4.921192,17.620567,31.284039,12.585091,-12.118665,84.534729
