REPORT START/STOP
Start Time,14/01/2021,12:01:10
End Time,14/01/2021,13:07:49

Program,R32_pi_5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
14/01/2021;12:02:12,12.504895,8.077822,15.86678,30.729389,11.915464,3.648729,62.304447
14/01/2021;12:02:13,12.467801,8.003502,15.884808,30.860752,11.818127,3.183416,62.640736
14/01/2021;12:02:14,12.426071,7.929883,15.905087,30.983418,11.70722,2.718059,62.939621
14/01/2021;12:02:15,12.393436,7.869799,15.920947,31.086672,11.61035,2.323228,63.195217
14/01/2021;12:02:16,12.34707,7.800167,15.94348,31.191771,11.501314,1.936444,63.464035
14/01/2021;12:02:17,12.314613,7.746388,15.959253,31.286674,11.403042,1.581949,63.733662
14/01/2021;12:02:18,12.272705,7.68319,15.97962,31.382902,11.305704,1.233283,64.075256
14/01/2021;12:02:19,12.235612,7.629305,15.997646,31.468239,11.305704,1.233283,64.075256
14/01/2021;12:02:20,12.197984,7.579811,16.015934,31.546867,11.1845,0.9134957790374756,64.423973
14/01/2021;12:02:21,12.161247,7.540442,16.033787,31.61083,11.110094,0.6253576278686523,64.759705
14/01/2021;12:02:22,12.119516,7.494009,16.054068,31.683586,11.001059,0.3474143743515015,65.144753
14/01/2021;12:02:23,12.082067,7.456211,16.072268,31.749708,10.892021,0.07407843321561813,65.587288
14/01/2021;12:02:24,12.041942,7.411427,16.091766,31.803587,10.805916,-0.1724791526794434,66.047539
14/01/2021;12:02:25,12.005205,7.377261,16.109619,31.861107,10.701092,-0.4083209931850433,66.57457
14/01/2021;12:02:26,12.005205,7.377261,16.109619,31.861107,10.603754,-0.6165242195129395,67.10379
14/01/2021;12:02:27,11.967934,7.334577,16.127733,31.915646,10.506886,-0.8357257843017578,67.640839
14/01/2021;12:02:28,11.930484,7.29697,16.145933,31.968334,10.408611,-1.048195,68.146645
14/01/2021;12:02:29,11.888931,7.262705,16.166126,32.014229,10.299109,-1.266158,68.69072
14/01/2021;12:02:30,11.852016,7.227759,16.184067,32.055836,10.177904,-1.45056,69.208458
14/01/2021;12:02:31,11.814568,7.19629,16.202267,32.096283,10.103966,-1.608537,69.686241
14/01/2021;12:02:32,11.777473,7.162355,16.220293,32.127506,10.007095,-1.775949,70.177559
14/01/2021;12:02:33,11.735922,7.130695,16.240486,32.159409,9.885426,-1.9597,70.669579
14/01/2021;12:02:34,11.698471,7.098549,16.258686,32.187016,9.885426,-1.9597,70.669579
14/01/2021;12:02:35,11.656742,7.0692,16.278967,32.210602,9.799788,-2.137961,71.1474
14/01/2021;12:02:36,11.619827,7.034178,16.296907,32.227806,9.690283,-2.286071,71.629745
14/01/2021;12:02:37,11.582376,7.007024,16.315107,32.249443,9.568611,-2.459527,72.203964
14/01/2021;12:02:38,11.582376,7.007024,16.315107,32.249443,9.482973,-2.606567,72.639465
14/01/2021;12:02:39,11.540825,6.975395,16.3353,32.271515,9.37347,-2.760283,73.085091
14/01/2021;12:02:40,11.503732,6.947826,16.353327,32.284122,9.276133,-2.918253,73.498329
14/01/2021;12:02:41,11.461823,6.914641,16.373693,32.295204,9.178328,-3.064932,73.895119
14/01/2021;12:02:42,11.42473,6.886469,16.39172,32.302776,9.08099,-3.199888,74.355949
14/01/2021;12:02:43,11.387636,6.863505,16.409746,32.304657,8.983652,-3.332367,74.851105
14/01/2021;12:02:44,11.345728,6.840533,16.430113,32.306358,8.873682,-3.468166,75.328865
14/01/2021;12:02:45,11.313272,6.819429,16.445887,32.305809,8.873682,-3.468166,75.328865
14/01/2021;12:02:46,11.271542,6.793934,16.466167,32.299423,8.764175,-3.616764,75.804192
14/01/2021;12:02:47,11.229633,6.772074,16.486534,32.293503,8.665905,-3.750661,76.256195
14/01/2021;12:02:48,11.19254,6.748576,16.50456,32.282207,8.556398,-3.874264,76.728622
14/01/2021;12:02:49,11.155447,6.725688,16.522587,32.27182,8.47123,-3.982447,77.121788
14/01/2021;12:02:50,11.155447,6.725688,16.522587,32.27182,8.360788,-4.101816,77.587395
14/01/2021;12:02:51,11.113539,6.710536,16.542953,32.258415,8.26392,-4.200449,78.058189
14/01/2021;12:02:52,11.076266,6.688398,16.561068,32.243797,8.167051,-4.300053,78.514229
14/01/2021;12:02:53,11.034359,6.664658,16.581432,32.225601,8.05661,-4.421177,78.968903
14/01/2021;12:02:54,10.997265,6.644619,16.599461,32.209557,7.959274,-4.539136,79.384537
14/01/2021;12:02:55,10.96035,6.623944,16.617401,32.189548,7.850237,-4.639833,79.731209
14/01/2021;12:02:56,10.918263,6.604448,16.637854,32.163963,7.752432,-4.744799,80.082108
14/01/2021;12:02:57,10.88117,6.58707,16.65588,32.141644,7.655096,-4.840993,80.398468
14/01/2021;12:02:58,10.844255,6.571266,16.67382,32.114246,7.655096,-4.840993,80.398468
14/01/2021;12:02:59,10.806805,6.557323,16.69202,32.087723,7.533424,-4.945668,80.786255
14/01/2021;12:03:00,10.765076,6.541905,16.712299,32.054298,7.447786,-5.044706,81.203934
14/01/2021;12:03:01,10.72816,6.529098,16.73024,32.031544,7.350449,-5.128143,81.578491
14/01/2021;12:03:02,10.69071,6.517243,16.74844,32.007076,7.228777,-5.213294,81.966492
14/01/2021;12:03:03,10.69071,6.517243,16.74844,32.007076,7.143141,-5.295404,82.32412
14/01/2021;12:03:04,10.649158,6.502004,16.768633,31.982203,7.033636,-5.376866,82.675545
14/01/2021;12:03:05,10.612064,6.486812,16.786659,31.959103,6.936298,-5.452819,82.999268
14/01/2021;12:03:06,10.569979,6.474638,16.807114,31.937082,6.838493,-5.519626,83.334663
14/01/2021;12:03:07,10.533064,6.464215,16.825054,31.91407,6.741158,-5.59608,83.657555
14/01/2021;12:03:08,10.49597,6.448719,16.843081,31.889393,6.630249,-5.662165,83.968651
14/01/2021;12:03:09,10.454062,6.435706,16.863447,31.863714,6.533848,-5.705852,84.269897
14/01/2021;12:03:10,10.416968,6.424037,16.881474,31.838408,6.533848,-5.705852,84.269897
14/01/2021;12:03:11,10.375238,6.411612,16.901754,31.809994,6.424343,-5.760273,84.530197
14/01/2021;12:03:12,10.337789,6.400974,16.919952,31.783119,6.326071,-5.819036,84.743134
14/01/2021;12:03:13,10.300873,6.389403,16.937893,31.753981,6.228733,-5.868473,84.969688
14/01/2021;12:03:14,10.300873,6.389403,16.937893,31.753981,6.131397,-5.919484,85.196297
14/01/2021;12:03:15,10.258609,6.376206,16.958433,31.727913,6.021425,-5.979969,85.47084
14/01/2021;12:03:16,10.221872,6.366811,16.976286,31.704208,5.911921,-6.025335,85.711273
14/01/2021;12:03:17,10.180141,6.357262,16.996567,31.675947,5.802883,-6.071623,85.932747
14/01/2021;12:03:18,10.142693,6.345578,17.014767,31.655161,5.716778,-6.133051,86.130562
14/01/2021;12:03:19,10.105598,6.334874,17.032793,31.628387,5.619441,-6.182786,86.259102
14/01/2021;12:03:20,10.068684,6.325462,17.050734,31.600536,5.498238,-6.233807,86.414398
14/01/2021;12:03:21,10.031055,6.319654,17.069019,31.576342,5.4126,-6.282442,86.578712
14/01/2021;12:03:22,9.989503,6.311139,17.089214,31.546537,5.4126,-6.282442,86.578712
14/01/2021;12:03:23,9.947952,6.302554,17.109407,31.519072,5.303095,-6.338462,86.74221
14/01/2021;12:03:24,9.907827,6.289015,17.128906,31.501619,5.193591,-6.398669,86.90657
14/01/2021;12:03:25,9.870377,6.272901,17.147106,31.484346,5.088299,-6.458252,87.093369
14/01/2021;12:03:26,9.833283,6.25835,17.165134,31.465429,5.002662,-6.499823,87.263893
