P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,TC1,TC2,TC3,TC4,TC5,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
4,3.94286,26,25.892899,6.31,5.969773,101.719437,NaN,5.623169,NaN,37.686375,400,399.930939,25,31.973703,10.598388,75.233131,49.992599,401.566742,398.117126,399.638519,4193.591309,9.321365,9.583259,72.911926,58.680134,4.878779,94.095779,54.196888,29.453768,53.822731,20.491434,6.320199,53.976849,99.926636,99.289673,0.172882482409477,68.616318,403.831276116115,1.81704115959647,0.0588981374610751,0.944286184035758,-4.10325841703059,472.822220469241,1.88297289599845,0.010317391332625,1.26898798662167,63.8882988316018,448.724166746092,83.3802804832287,0.00905451333149256,1.37697693428161
4,3.94286,26,25.892899,6.31,5.968863,101.721313,NaN,5.623169,NaN,37.684368,400,399.959412,25,31.973097,10.595177,75.194466,49.992599,401.790894,398.325195,399.852936,4195.064453,9.348781,9.603462,72.913727,58.655861,4.870739,94.08371,54.197708,29.452839,53.831768,20.516428,6.326925,53.975388,99.851166,99.333488,0.182614281773567,68.733086,403.830416815511,1.8170380809826,0.0588978677196982,0.944286573525962,-4.10325841703059,472.824601084586,1.88297924650119,0.0103175099887879,1.26898146437181,63.8882988316018,448.72306912818,83.3794833639398,0.00905445269232062,1.3769845539102
4,3.94431,26,25.889683,6.31,5.971187,101.713585,NaN,5.624156,NaN,37.677124,400,399.988739,25,31.978519,10.595691,74.956627,49.992599,401.790894,398.325195,399.852936,4195.064453,9.348781,9.603462,72.923767,58.627556,4.890254,94.057358,54.192917,29.452839,53.831768,20.516428,6.326925,53.975388,99.851166,99.333488,0.182614281773567,68.733086,403.82915473134,1.81700296855074,0.0588745308141537,0.94433534852581,-4.09268346769687,472.819101710484,1.88297342826425,0.0103187242794418,1.26895016088821,63.8828436297617,448.707638785643,83.3640574075561,0.00905496862244686,1.37701466503687
4,3.944329,26,25.88928,6.31,5.971187,101.713585,NaN,5.623513,NaN,37.677124,400,399.988739,25,31.978519,10.573274,74.618599,49.992599,401.870728,398.448792,399.967896,4191.89209,9.357246,9.613265,72.877464,58.60548,4.84041,94.045502,54.178444,29.417324,53.895161,20.492462,6.368077,53.983772,99.861801,99.312599,0.175487250089645,68.823372,403.829109435964,1.81700240550969,0.0588742161096762,0.944336000760198,-4.09254491918284,472.819641456878,1.88297597744566,0.0103189377241843,1.26894287174248,63.8821599926019,448.707073135732,83.3631177451503,0.00905510887097917,1.37700893930173
4,3.9426,26,25.887356,6.31,5.977597,101.721848,NaN,5.623075,NaN,37.666561,400,400.048889,25,31.991148,10.580699,74.570999,49.992599,401.94986,398.510071,399.997559,4192.228516,9.350562,9.583322,72.830994,58.592789,4.787219,94.040085,54.164524,29.404524,53.908482,20.468084,6.403101,53.963848,99.80471,99.338707,0.172477468848229,68.837822,403.839283915204,1.81707533525893,0.0589047666142653,0.944273917041624,-4.10515493005101,472.832703117173,1.88301611739789,0.0103204795103127,1.26887936807865,63.8788960516579,448.731331689145,83.3782112498768,0.00905726817556194,1.37679449846224
4,3.942493,26,25.887039,6.31,5.982276,101.745827,NaN,5.624271,NaN,37.666977,400,400.058136,25,31.994976,10.606321,74.90741,49.992599,401.94986,398.510071,399.997559,4192.228516,9.350562,9.583322,72.801018,58.598656,4.755965,94.022438,54.151512,29.404524,53.908482,20.468084,6.403101,53.963848,99.80471,99.338707,0.172477468848229,68.837822,403.843957185708,1.81709433561583,0.0589079274909001,0.944268249134126,-4.10593544597481,472.863552937252,1.88309928184214,0.0103221640356972,1.26879040276857,63.8783582619547,448.737818770391,83.3825071527671,0.009057761546374,1.37674191996038
4,3.94446,26,25.8864,6.31,5.988018,101.793159,NaN,5.623638,NaN,37.647186,400,400.103058,25,31.991554,10.617018,75.202377,49.992599,401.972443,398.490967,399.968567,4193.458008,9.342149,9.589945,72.73748,58.577499,4.76598,94.000458,54.133663,29.441603,53.738651,20.467491,6.433833,53.984116,99.816223,99.323639,0.168644905090332,68.786049,403.844691269055,1.81705546531515,0.0588770337387624,0.944333281441836,-4.09158967756287,472.924458300449,1.88326349057826,0.0103254953719815,1.26861487315352,63.8772741830252,448.723381689593,83.3711826405892,0.00905723585848717,1.3768267614068
4,3.943821,26,25.885139,6.31,6.008554,101.797722,NaN,5.62442,NaN,37.639359,400,400.120361,25,31.982758,10.608855,75.294907,49.992599,401.972443,398.490967,399.968567,4193.458008,9.342149,9.589945,72.723457,58.574181,4.856424,93.995422,54.121014,29.441603,53.738651,20.467491,6.433833,53.984116,99.816223,99.323639,0.168644905090332,68.786049,403.86560652721,1.81714387006086,0.0588937047410986,0.944302599158279,-4.09624944508721,472.931933791683,1.88328690090831,0.0103264519638663,1.26857634042944,63.8751347992673,448.753758500973,83.3915930588384,0.00905945115409911,1.37658596691196
4,3.944103,26,25.884426,6.31,6.026301,101.785675,NaN,5.625998,NaN,37.650639,400,400.053009,25,31.972942,10.611567,75.046211,49.992599,401.835236,398.338287,399.863678,4193.394043,9.334816,9.577068,72.667709,58.563828,4.910427,94.002464,54.108921,29.412588,53.863747,20.434765,6.483528,53.997322,99.821815,99.314156,0.163863286376,68.761978,403.881693266765,1.81719554488894,0.058894290752611,0.944304723824883,-4.09419295049895,472.917604915807,1.88325064830267,0.0103260681457943,1.26860515931188,63.873925100525,448.771537052387,83.403573434201,0.00906073700893452,1.37644578128727
4,3.942961,26,25.882568,6.31,6.044507,101.760712,NaN,5.62685,NaN,37.657761,400,399.967133,25,31.965862,10.604383,74.913239,50.001514,401.734222,398.324066,399.766144,4194.974609,9.326277,9.590179,72.660988,58.537079,4.925764,93.992744,54.08786,29.425688,53.884872,20.444969,6.491009,53.972462,99.80558,99.310471,0.175322741270065,68.829391,403.901604703551,1.81729096016868,0.0589186120829613,0.944257900355119,-4.10252172050298,472.888422213786,1.88317792894518,0.0103254743030654,1.26865805729795,63.8707726247197,448.803874993423,83.4246329551718,0.00906331482773845,1.37617765969359
