P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Current3,TC1,TC2,TC3,TC4,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
6,5.869864,21,22.746141,18.59,18.878885,83.282639,NaN,8.135961,NaN,38.675312,400,399.80954,25,28.650692,9.808866,62.483315,50.023022,400.955048,398.66095,399.708252,3956.333496,9.00285,9.339395,9.026064,57.883587,50.201557,13.815764,-30.613848,24.230261,82.107498,29.563929,20.327026,82.925682,91.305679,80.743118,NaN,88.877403,411.963146246848,1.81288209391302,0.0401821764261364,0.998027686678587,7.89313103010431,453.977970103067,1.84055523345925,0.0109016050052545,1.27996140083941,58.2567275869243,444.219005408174,75.7939627472606,0.0103081193150873,1.33006234138304
6,5.85654,21,22.74367,18.59,18.881432,83.280083,NaN,8.115665,NaN,38.683849,400,399.783203,25,28.660988,9.815084,62.536621,50.023022,400.955048,398.66095,399.708252,3956.333496,9.00285,9.339395,9.026064,57.875053,50.202816,13.753106,-30.627953,24.230261,82.107498,29.563929,20.327026,82.925682,91.305679,80.743118,NaN,88.877403,411.995001521268,1.81317474964624,0.040287769688017,0.997602352634046,7.82136694601093,453.978711252374,1.84056487097902,0.0109030488578924,1.27990963420064,58.2520584808121,444.318588245876,75.8654065623796,0.0103156633117855,1.32937927558451
6,5.849078,21,22.74132,18.59,18.882879,83.287209,NaN,8.104403,NaN,38.700165,400,399.764954,25,28.663605,9.812358,62.649517,50.023022,400.9599,398.644775,399.762421,3956.38623,8.979226,9.315515,9.007349,57.858826,50.203823,13.719419,-30.674469,24.244638,81.928284,29.456907,20.343082,82.528122,91.317993,80.744232,NaN,88.791931,412.012852464728,1.81333889530453,0.0403471169225636,0.997364524720195,7.78112165936676,453.991647273758,1.8406083530827,0.0109051500396351,1.27980941615384,58.2476176267292,444.373455996718,75.9034109935752,0.010320360149996,1.32897982001211
6,5.847037,21,22.738855,18.59,18.891558,83.336014,NaN,8.099053,NaN,38.702278,400,399.770081,25,28.659981,9.779215,63.023888,50.023022,400.9599,398.644775,399.762421,3956.38623,8.979226,9.315515,9.007349,57.834846,50.202934,13.681174,-30.666676,24.244638,81.928284,29.456907,20.343082,82.528122,91.317993,80.744232,NaN,88.791931,412.025994618998,1.81341210118004,0.0403651437147186,0.997290830443604,7.77010698599588,454.058100782308,1.84080232148098,0.0109105006044838,1.27948435030348,58.242959050957,444.396464954391,75.9172916175387,0.0103231396495428,1.3287761365439
6,5.846215,21,22.735355,18.59,18.903372,83.38382,NaN,8.097194,NaN,38.715256,400,399.897308,25,28.657276,9.768041,63.176964,50.023022,401.253815,398.765961,400.125183,3956.385986,9.019881,9.308259,8.996269,57.829586,50.187702,13.660126,-30.661909,24.217026,81.943459,29.378578,20.380171,82.39846,91.326927,80.735954,NaN,89.127792,412.039582833012,1.81346999108618,0.0403741831422138,0.99725245384921,7.76567006718477,454.124934547326,1.84100050245779,0.0109164606834267,1.27913827163031,58.2363437307987,444.413059033052,75.9249058487101,0.0103260875652602,1.32858695493845
6,5.846215,21,22.735355,18.59,18.903372,83.38382,NaN,8.097194,NaN,38.715256,400,399.897308,25,28.657276,9.783456,63.03611,50.023022,401.134796,398.515381,399.957642,3953.483887,9.049934,9.312536,8.98969,57.834263,50.182354,13.634882,-30.676485,24.216877,81.872398,29.341934,20.406881,82.410126,91.310028,80.748711,NaN,89.039917,412.039582833012,1.81346999108618,0.0403741831422138,0.99725245384921,7.76567006718477,454.124934547326,1.84100050245779,0.0109164606834267,1.27913827163031,58.2363437307987,444.413059033052,75.9249058487101,0.0103260875652602,1.32858695493845
6,5.846704,21,22.732868,18.59,18.902666,83.414101,NaN,8.097586,NaN,38.697552,400,399.8815,25,28.664165,9.786318,62.987934,50.023022,401.134796,398.515381,399.957642,3953.483887,9.049934,9.312536,8.98969,57.84156,50.192787,13.614714,-30.686115,24.216877,81.872398,29.341934,20.406881,82.410126,91.310028,80.748711,NaN,89.039917,412.037804224185,1.81345714133751,0.0403701550138558,0.997268654121973,7.76830960538354,454.167694280711,1.84112804496658,0.0109204146820466,1.27891249295325,58.2316425671712,444.406005351606,75.9161328004331,0.0103270111946296,1.32856943837857
6,5.846255,21,22.733385,18.59,18.912445,83.44236,NaN,8.097693,NaN,38.688282,400,399.906586,25,28.664043,9.791515,62.950165,50.023022,401.145111,398.545288,399.992493,3956.971191,9.04423,9.319277,8.997967,57.86414,50.191364,13.576468,-30.715296,24.225569,81.877968,29.360268,20.37311,82.404739,91.338753,80.739624,NaN,89.189186,412.048542977222,1.8135001174549,0.0403758028145616,0.997244222166573,7.76588598665063,454.20299590412,1.84122546255509,0.0109222204328932,1.27877676363134,58.2326198842993,444.421541049893,75.9285467643192,0.0103276938143869,1.32848585855498
6,5.846906,21,22.731377,18.59,18.930368,83.506493,NaN,8.097055,NaN,38.690533,400,399.879486,25,28.639185,9.793489,62.919704,50.023022,401.145111,398.545288,399.992493,3956.971191,9.04423,9.319277,8.997967,57.874611,50.18573,13.639224,-30.735308,24.225569,81.877968,29.360268,20.37311,82.404739,91.338753,80.739624,NaN,89.189186,412.064986444739,1.8135474176902,0.0403744665232165,0.997246054662002,7.76939991765079,454.288244466516,1.84147065711192,0.010928428205845,1.27838608459612,58.2288239356947,444.435978736981,75.936618913173,0.0103296913569517,1.32834698482315
6,5.845369,21,22.732773,18.59,18.934254,83.527946,NaN,8.098251,NaN,38.688301,400,399.878296,25,28.628139,9.80109,62.830811,50.023022,401.11795,398.56488,400.087799,3957.55957,9.039941,9.310398,8.985712,57.862564,50.183147,13.685256,-30.729874,24.215338,81.976593,29.321703,20.36659,82.350838,91.348953,80.745766,NaN,89.420311,412.0722376098,1.81359349278785,0.0403874856553926,0.997193446773941,7.76110310669537,454.313411473339,1.84153694116573,0.0109291314035548,1.27830988964118,58.2314629808055,444.453505333721,75.9517572329958,0.010330015981852,1.32827283883663
6,5.84448,21,22.72961,18.59,18.933802,83.558456,NaN,8.094799,NaN,38.695404,400,399.926453,25,28.640396,9.835703,62.637787,50.01239,401.130524,398.714233,400.050385,3953.635742,9.027903,9.312458,8.985868,57.80505,50.192497,13.732407,-30.743263,24.16543,81.978256,29.287331,20.361584,82.320549,91.372131,80.745361,NaN,89.609314,412.073739371608,1.81361092790245,0.0403944425665361,0.997165842783274,7.75630347640441,454.357521416362,1.84167029813999,0.0109335489998976,1.27806695490653,58.2254833497296,444.456324257138,75.9494761183378,0.0103319243318565,1.32817758503346
6,5.846042,21,22.72937,18.59,18.93877,83.610397,NaN,8.095684,NaN,38.702168,400,399.949066,25,28.651089,9.846045,62.635994,50.01239,401.130524,398.714233,400.050385,3953.635742,9.027903,9.312458,8.985868,57.7812,50.198654,13.745029,-30.783232,24.16543,81.978256,29.287331,20.361584,82.320549,91.372131,80.745361,NaN,89.609314,412.075262873377,1.81359454498636,0.0403831113538218,0.997209990671188,7.7647362025412,454.424285901439,1.84185818844385,0.0109376522973873,1.27778877906986,58.2250296035057,444.45035706582,75.9446492753063,0.0103316849183845,1.32820859750162
6,5.843866,21,22.727531,18.59,18.939402,83.637993,NaN,8.09446,NaN,38.700974,400,399.955444,25,28.666794,9.844191,62.693424,50.01239,401.031769,398.548889,399.900543,3953.571289,9.030862,9.314278,8.9813,57.770409,50.211063,13.746835,-30.810055,24.164206,81.893036,29.25861,20.350197,82.278542,91.295273,80.798973,NaN,89.840439,412.080671838779,1.81364315420854,0.040400510927058,0.997140622381137,7.75298822121857,454.46251337433,1.8419709746618,0.0109409682246447,1.2775966819537,58.2215526430539,444.46542632332,75.9534352541897,0.0103336295988434,1.32807016399928
6,5.843866,21,22.727531,18.59,18.939402,83.637993,NaN,8.09446,NaN,38.700974,400,399.955444,25,28.666794,9.825299,62.733147,50.01239,401.091705,398.737823,400.01828,3952.245117,9.024867,9.315478,8.982236,57.785473,50.195557,13.747923,-30.822239,24.162176,81.864868,29.224245,20.346563,82.354462,91.26458,80.815041,NaN,89.781448,412.080671838779,1.81364315420854,0.040400510927058,0.997140622381137,7.75298822121857,454.46251337433,1.8419709746618,0.0109409682246447,1.2775966819537,58.2215526430539,444.46542632332,75.9534352541897,0.0103336295988434,1.32807016399928
