P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,TC1,TC2,TC3,TC4,TC5,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
4,3.951512,20,20.384834,6.31,6.205061,84.824989,NaN,5.568881,NaN,33.117661,400,400.151886,25,27.533817,9.751149,59.724819,49.994591,401.864807,398.573181,399.923462,3498.840332,8.757542,8.942191,59.999012,46.416542,2.814155,77.738617,43.161205,23.899853,55.032932,21.158842,6.234207,55.119221,79.368568,82.355644,NaN,473.860565,404.032883400495,1.81758077364566,0.0588246367147406,0.944482969040052,-4.04020290971357,459.563569209009,1.86399146281627,0.0127548891047807,1.2186473929766,53.5944607026142,443.257949914786,71.7265002620285,0.0116876499242541,1.2782899898324
4,3.949374,20,20.386667,6.31,6.191669,84.811661,NaN,5.569053,NaN,33.113365,400,400.270538,25,27.522186,9.770209,59.726891,49.997189,402.098145,398.763794,400.056641,3499.344727,8.771899,8.945914,59.996674,46.401043,2.960962,77.774437,43.12571,23.880758,55.022141,21.15801,6.232252,55.102116,79.361488,82.35746,NaN,463.430939,404.025317436844,1.81759872290603,0.0588560065891244,0.944415563900347,-4.05577473355623,459.544607831142,1.86393196280919,0.0127523667810898,1.21872639701682,53.598244916392,443.266282558518,71.7356313018597,0.011686965337188,1.27829114937317
4,3.950943,20,20.386122,6.31,6.189013,84.817261,NaN,5.570138,NaN,33.126568,400,400.194244,25,27.515106,9.792892,59.757332,49.997189,401.840698,398.551147,399.833008,3497.320801,8.783334,8.968825,60.013161,46.392033,3.011985,77.781128,43.102009,23.861645,55.031227,21.172382,6.235192,55.134937,79.405533,82.324699,NaN,448.212646,404.019079060033,1.81754333961253,0.0588292904859715,0.944470234258388,-4.04434651069857,459.552241023751,1.86395522830445,0.0127532428822207,1.21869780911149,53.5971197967201,443.246545191783,71.7194146011354,0.0116859980127981,1.27837836212133
4,3.950557,20,20.386677,6.31,6.192356,84.856339,NaN,5.569829,NaN,33.12812,400,400.101501,25,27.514715,9.784079,59.730789,49.997189,401.840698,398.551147,399.833008,3497.320801,8.783334,8.968825,59.956306,46.392281,2.989202,77.758675,43.243603,23.861645,55.031227,21.172382,6.235192,55.134937,79.405533,82.324699,NaN,448.212646,404.023154052677,1.81756605719636,0.0588366565443126,0.944455661486159,-4.0471577201572,459.599040162295,1.86408397959542,0.0127558011437612,1.21858778922544,53.5982655605668,443.255028454525,71.726841729263,0.011686195109344,1.27834846712641
4,3.950943,20,20.386673,6.31,6.192356,84.856339,NaN,5.569278,NaN,33.12812,400,400.101501,25,27.514715,9.769292,59.633801,49.997189,401.728882,398.43924,399.742462,3497.86792,8.777576,8.949637,59.913731,46.398285,2.95472,77.67141,43.189392,23.837765,54.888203,21.155745,6.249124,55.121521,79.442856,82.300034,NaN,428.871307,404.022236421695,1.81755464251912,0.0588302790398351,0.944468839765369,-4.04434651069857,459.599046092154,1.86408401041102,0.012755804406603,1.21858770733495,53.5982573029027,443.25108713981,71.7237529216588,0.0116859304721892,1.27836836936714
4,3.950416,20,20.384865,6.31,6.193295,84.870598,NaN,5.568499,NaN,33.125568,400,400.05658,25,27.512341,9.75017,59.559437,49.997189,401.869354,398.532562,399.74295,3496.530273,8.752857,8.943927,59.933235,46.396534,2.934679,77.667625,43.161404,23.820137,55.022049,21.169676,6.224847,55.05846,79.431427,82.311028,NaN,419.031494,404.024376083547,1.81757340174193,0.0588392641533942,0.944450456853866,-4.04818466524887,459.61910132356,1.86414647094799,0.0127583778075006,1.21850647937661,53.5945247041311,443.255443756857,71.7245839021778,0.0116874587681923,1.27830343497487
4,3.950416,20,20.384865,6.31,6.200973,84.922447,NaN,5.568499,NaN,33.123524,400,399.985962,25,27.517342,9.758588,59.66856,49.997189,401.869354,398.532562,399.74295,3496.530273,8.752857,8.943927,59.945972,46.377151,2.82083,77.691208,43.140694,23.820137,55.022049,21.169676,6.224847,55.05846,79.431427,82.311028,NaN,419.031494,404.031627561888,1.81759936040575,0.0588415347629804,0.944447262408137,-4.04818466524887,459.682275503305,1.86432291220907,0.0127623711238844,1.21834598322779,53.5945247041311,443.264396331328,71.7315875080651,0.0116880660990742,1.27825803532368
4,3.951396,20,20.384916,6.31,6.238216,84.962181,NaN,5.56886,NaN,33.121254,400,400.06604,25,27.524206,9.770016,59.923805,49.997189,401.995728,398.720703,400.043457,3498.285156,8.801951,8.966392,59.995155,46.391712,2.801615,77.694626,43.110603,23.791832,54.904919,21.170738,6.218113,55.050701,79.423447,82.317093,NaN,398.603088,404.064473099394,1.81769629049937,0.0588363548248263,0.9444652523276,-4.0410476137414,459.730607332338,1.86445770072994,0.0127653887120758,1.21822432976208,53.5946299967766,443.297886624771,71.7578618559147,0.011690303030488,1.2780895657951
4,3.950482,20,20.381685,6.31,6.279756,84.977325,NaN,5.567865,NaN,33.128494,400,400.179901,25,27.517147,9.780956,60.186802,49.997189,401.995728,398.720703,400.043457,3498.285156,8.801951,8.966392,60.04805,46.399101,2.785535,77.687782,43.060936,23.791832,54.904919,21.170738,6.218113,55.050701,79.423447,82.317093,NaN,398.603088,404.10587596616,1.81786372162502,0.0588637381151807,0.944417023449207,-4.0477039640416,459.753837200869,1.86453408573717,0.0127691912999793,1.21811175120973,53.5879589814853,443.351860003331,71.795495310685,0.0116961677411268,1.27774027676352
4,3.950636,20,20.383993,6.31,6.311434,84.986557,NaN,5.568142,NaN,33.141266,400,400.219086,25,27.504286,9.78214,60.245323,49.997189,401.931824,398.57785,399.840851,3499.189453,8.797163,8.981972,59.966301,46.405357,2.796457,77.668175,43.048901,23.800915,54.920036,21.144489,6.245377,55.070213,79.460411,82.288582,NaN,378.82959,404.135427531347,1.81796622820112,0.0588705566782213,0.944409347210372,-4.04658235186565,459.761667632365,1.8645477215986,0.0127680182243228,1.21813037018444,53.5927243737189,443.389920472581,71.8285700943252,0.0116971737686922,1.2776027606944
