P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,TC1,TC2,TC3,TC4,TC5,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
4,3.922313,22,22.34763,6.31,5.713487,92.249207,NaN,5.573418,NaN,35.702019,400,400.108154,25,30.286072,10.146302,64.924797,49.988853,401.517914,398.577118,400.016693,3748.737549,8.922822,9.133041,66.147171,51.349091,4.019065,85.281166,47.346714,26.373653,53.833729,20.531427,5.893853,54.135483,85.860535,90.100655,0,46.834862,403.638386637031,1.81678452612917,0.0591641836745622,0.943689369882817,-4.2534305399671,465.834660538052,1.87466651167171,0.0118289123758153,1.23436843390503,57.4983051549858,445.164681618319,75.9551409281864,0.0105894550096176,1.31467988668605
4,3.922042,22,22.344303,6.31,5.681676,92.290154,NaN,5.572345,NaN,35.727074,400,400.071167,25,30.282648,10.151088,64.878532,49.988853,401.517914,398.577118,400.016693,3748.737549,8.922822,9.133041,66.175354,51.341587,4.0927,85.296997,47.333885,26.373653,53.833729,20.531427,5.893853,54.135483,85.860535,90.100655,0,46.834862,403.609014637857,1.81668494227541,0.0591592425550442,0.943693718135053,-4.25541522704657,465.889880544327,1.87482839772934,0.0118341175919493,1.23417972076635,57.4919271355762,445.126395032467,75.9214112752259,0.0105889453239476,1.31482143744304
4,3.92165,22,22.340195,6.31,5.660299,92.30471,NaN,5.571289,NaN,35.724068,400,400.149475,25,30.287764,10.177473,64.743759,49.988853,401.776886,398.968658,400.315857,3748.927734,8.943373,9.13634,66.165962,51.319183,4.054562,85.291168,47.346806,26.377527,54.007248,20.511814,5.91308,54.066383,85.844971,90.096436,0,46.80838,403.589778683598,1.81662426926669,0.0591594338282883,0.943689435811228,-4.25828625203604,465.913620555707,1.87490666415167,0.0118379938803211,1.23405742764305,57.4840508342612,445.100866489385,75.8963029740332,0.0105896807228749,1.31487069467495
4,3.92169,22,22.338257,6.31,5.647764,92.276169,NaN,5.571515,NaN,35.712158,400,400.290924,25,30.289471,10.201688,64.633194,49.988853,401.85083,398.931122,400.336456,3747.924072,8.930179,9.135996,66.160347,51.325729,3.996286,85.292969,47.344162,26.430676,54.01952,20.503899,5.92909,54.148701,85.76136,90.130081,0,46.607342,403.577853824391,1.81658064906482,0.0591550293658806,0.943696252945416,-4.25799328022845,465.881123647046,1.8748240165623,0.0118373135800345,1.23410819805736,57.4803346818147,445.083589080997,75.8804770246933,0.0105896991058931,1.31492423282317
4,3.921557,22,22.336128,6.31,5.641202,92.293793,NaN,5.571405,NaN,35.706673,400,400.386414,25,30.279438,10.192994,64.687325,49.988853,401.85083,398.931122,400.336456,3747.924072,8.930179,9.135996,66.150986,51.31501,4.011754,85.285332,47.324356,26.430676,54.01952,20.503899,5.92909,54.148701,85.76136,90.130081,0,46.607342,403.571979439089,1.81656240041959,0.0591552998705476,0.943694511489693,-4.25896742036252,465.905866432966,1.87489862146162,0.0118400376276718,1.23401395066018,57.4762519804888,445.074965215308,75.8709672080604,0.0105903696202504,1.31492313941556
4,3.92136,22,22.333168,6.31,5.652302,92.316368,NaN,5.569668,NaN,35.682774,400,400.32962,25,30.262157,10.161066,64.885521,49.988853,401.665009,398.796906,400.178162,3748.027588,8.958872,9.146303,66.12809,51.311924,3.998107,85.271164,47.315372,26.432524,53.895844,20.491423,5.93859,54.110336,85.753426,90.130325,0,46.473721,403.582925599233,1.81660584276432,0.0591619047949652,0.943682891121189,-4.26041036620222,465.937883718579,1.87499582212734,0.0118436886120891,1.2338889701626,57.4705751757945,445.086992504152,75.876011124659,0.0105928104332188,1.31478266146639
4,3.921151,22,22.331482,6.31,5.687639,92.311256,NaN,5.570454,NaN,35.686092,400,400.330414,25,30.259426,10.130713,65.077118,49.988853,401.801147,398.955139,400.298553,3749.105957,8.925698,9.134246,66.053711,51.316689,3.958572,85.238388,47.310875,26.391459,54.002254,20.520565,5.921797,54.106556,85.719696,90.134331,0,46.695217,403.616771869805,1.81673166912091,0.0591759329150237,0.943660419201794,-4.26194126800135,465.933945699864,1.87499051078109,0.0118444949273912,1.23387273964905,57.4673414246129,445.129124795965,75.9057230144768,0.010596416490622,1.31449890804051
4,3.920324,22,22.32933,6.31,5.725796,92.333717,NaN,5.569933,NaN,35.682198,400,400.346649,25,30.264626,10.115218,65.18959,49.988853,401.801147,398.955139,400.298553,3749.105957,8.925698,9.134246,66.004318,51.314972,3.980006,85.236458,47.316982,26.391459,54.002254,20.520565,5.921797,54.106556,85.719696,90.134331,0,46.695217,403.654754619301,1.81688543139117,0.0592011514834036,0.943615583688034,-4.26799956482148,465.964682517946,1.87508158763756,0.011847578392217,1.2337635277073,57.463213595682,445.180518349108,75.9418445387618,0.0106008694740744,1.31415121299952
4,3.920382,22,22.325581,6.31,5.760659,92.376549,NaN,5.569911,NaN,35.677402,400,400.266693,25,30.271408,10.107924,65.197617,49.988853,401.647308,398.838318,400.207184,3750.514404,8.9569,9.156103,65.992561,51.308834,4.096685,85.237991,47.303192,26.379719,53.946247,20.514742,5.923709,54.082985,85.652542,90.15731,0,46.805969,403.6875131342,1.81700165910044,0.0592105665980413,0.94360277819223,-4.26757464628037,466.022788256508,1.87525271642991,0.0118532126597305,1.23356234189265,57.4560217294895,445.217118716799,75.9645075093659,0.0106053043355154,1.31385117909054
4,3.920382,22,22.325581,6.31,5.785003,92.385338,NaN,5.569911,NaN,35.676342,400,400.17334,25,30.280077,10.120001,65.104645,49.991619,401.654236,398.792206,400.168335,3744.829834,8.924397,9.121833,66.005493,51.297871,4.229318,85.236984,47.291893,26.378851,54.014011,20.444532,5.993385,54.080162,85.745483,90.088501,0,46.771057,403.710484075071,1.81708401500083,0.0592178184756663,0.943592504090977,-4.26757464628037,466.033629918466,1.87528237646869,0.0118538352455879,1.2335356138902,57.4560217294895,445.245871259784,75.9863930552052,0.0106071092089046,1.31368606436631
