REPORT START/STOP
Start Time,19/05/2021,12:59:50
End Time,19/05/2021,14:54:29

Program,R454C_pi_4.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
19/05/2021;13:00:51,10.542833,4.404947,14.18575,19.685022,19.307133,26.386009,59.041763
19/05/2021;13:00:52,10.51845,4.465499,14.222324,19.729095,19.24555,26.332554,59.954815
19/05/2021;13:00:53,10.4943,4.517994,14.25855,19.760685,19.168201,26.271749,60.78244
19/05/2021;13:00:54,10.466883,4.563546,14.299675,19.807213,19.113758,26.216478,61.49559
19/05/2021;13:00:55,10.445534,4.587143,14.331699,19.866495,19.044144,26.170189,62.164459
19/05/2021;13:00:56,10.41835,4.595755,14.372475,19.948101,18.974527,26.120541,62.797726
19/05/2021;13:00:57,10.41835,4.595755,14.372475,19.948101,18.974527,26.120541,62.797726
19/05/2021;13:00:58,10.390933,4.59581,14.4136,20.039349,18.91235,26.03735,63.444038
19/05/2021;13:00:59,10.363633,4.595928,14.45455,20.116129,18.85047,25.909695,64.021156
19/05/2021;13:01:00,10.339134,4.596851,14.4913,20.189682,18.780855,25.729166,64.512108
19/05/2021;13:01:01,10.314867,4.595595,14.5277,20.263594,18.718678,25.497046,64.966835
19/05/2021;13:01:02,10.287683,4.589938,14.568475,20.343021,18.656797,25.207325,65.409897
19/05/2021;13:01:03,10.263184,4.585861,14.605225,20.416445,18.594917,24.840363,65.815842
19/05/2021;13:01:04,10.238916,4.583038,14.641625,20.48885,18.525005,24.385893,66.221199
19/05/2021;13:01:05,10.211733,4.582864,14.6824,20.565718,18.455391,23.868853,66.549362
19/05/2021;13:01:06,10.187233,4.581934,14.719151,20.632864,18.392916,23.27845,66.879112
19/05/2021;13:01:07,10.187233,4.581934,14.719151,20.632864,18.331036,22.623829,67.19149
19/05/2021;13:01:08,10.160049,4.578401,14.759925,20.702681,18.269453,21.931789,67.47467
19/05/2021;13:01:09,10.135783,4.575457,14.796326,20.763298,18.199244,21.138391,67.760773
19/05/2021;13:01:10,10.10825,4.559618,14.837626,20.829937,18.199244,21.138391,67.760773
19/05/2021;13:01:11,10.0841,4.537419,14.87385,20.88168,18.137363,20.290243,68.026756
19/05/2021;13:01:12,10.059834,4.52136,14.91025,20.925606,18.052576,19.168259,68.267166
19/05/2021;13:01:13,10.03545,4.519753,14.946825,20.976679,17.998133,18.269896,68.453873
19/05/2021;13:01:14,10.00815,4.512736,14.987776,21.02968,17.936253,17.343781,68.667908
19/05/2021;13:01:15,9.983883,4.490724,15.024175,21.074238,17.866638,16.43989,68.828377
19/05/2021;13:01:16,9.9595,4.457316,15.06075,21.111629,17.804461,15.474874,68.984207
19/05/2021;13:01:17,9.932199,4.418873,15.1017,21.143339,17.74258,14.562136,69.154594
19/05/2021;13:01:18,9.907933,4.378105,15.1381,21.170517,17.672966,13.700403,69.293701
19/05/2021;13:01:19,9.907933,4.378105,15.1381,21.170517,17.610788,12.920694,69.46846
19/05/2021;13:01:20,9.880516,4.343043,15.179225,21.197493,17.610788,12.920694,69.46846
19/05/2021;13:01:21,9.85625,4.315963,15.215625,21.216679,17.548611,12.310827,69.634949
19/05/2021;13:01:22,9.8286,4.281129,15.2571,21.232079,17.479292,11.740374,69.809937
19/05/2021;13:01:23,9.80445,4.248393,15.293325,21.243767,17.417116,11.262872,70.025146
19/05/2021;13:01:24,9.777267,4.218224,15.3341,21.254702,17.3475,10.834787,70.255653
19/05/2021;13:01:25,9.752767,4.191888,15.37085,21.262386,17.285025,10.490328,70.47731
19/05/2021;13:01:26,9.731533,4.169185,15.4027,21.266302,17.223442,10.149338,70.724686
19/05/2021;13:01:27,9.70225,4.148727,15.446625,21.269424,17.156506,9.891931,70.938637
19/05/2021;13:01:28,9.678101,4.13003,15.482849,21.270872,17.094625,9.614931,71.197113
19/05/2021;13:01:29,9.653601,4.112072,15.5196,21.271309,17.03215,9.377043,71.424522
19/05/2021;13:01:30,9.626417,4.098968,15.560375,21.272379,16.962536,9.161351,71.666718
19/05/2021;13:01:31,9.626417,4.098968,15.560375,21.272379,16.893219,8.951644,71.924126
19/05/2021;13:01:32,9.60215,4.090531,15.596775,21.272083,16.893219,8.951644,71.924126
19/05/2021;13:01:33,9.574734,4.07998,15.637899,21.268734,16.830444,8.775245,72.14164
19/05/2021;13:01:34,9.550467,4.067147,15.674299,21.265217,16.761127,8.611578,72.338112
19/05/2021;13:01:35,9.523167,4.057664,15.71525,21.261826,16.707281,8.470128,72.510803
19/05/2021;13:01:36,9.49575,4.052513,15.756374,21.260435,16.63707,8.309488,72.705132
19/05/2021;13:01:37,9.474517,4.045626,15.788225,21.25614,16.575191,8.14851,72.872925
19/05/2021;13:01:38,9.447216,4.037162,15.829175,21.252028,16.498138,7.958446,73.053726
19/05/2021;13:01:39,9.4198,4.028565,15.8703,21.245075,16.435961,7.761132,73.221252
19/05/2021;13:01:40,9.395534,4.022047,15.9067,21.240021,16.366344,7.572517,73.385712
19/05/2021;13:01:41,9.368,4.016674,15.948,21.234081,16.296432,7.365094,73.579346
19/05/2021;13:01:42,9.368,4.016674,15.948,21.234081,16.242289,7.161846,73.733437
19/05/2021;13:01:43,9.343849,4.011598,15.984225,21.227144,16.188143,6.980407,73.877365
19/05/2021;13:01:44,9.313517,4.005188,16.029724,21.219307,16.188143,6.980407,73.877365
19/05/2021;13:01:45,9.285983,3.999518,16.071026,21.209835,16.110792,6.72164,73.98381
19/05/2021;13:01:46,9.261833,3.991231,16.10725,21.202831,16.048615,6.44786,74.066826
19/05/2021;13:01:47,9.234533,3.984045,16.148201,21.196594,15.979,6.1862,74.130249
19/05/2021;13:01:48,9.21015,3.980303,16.184774,21.186319,15.916525,5.91774,74.199791
19/05/2021;13:01:49,9.18285,3.972924,16.225725,21.178116,15.839174,5.574118,74.324547
19/05/2021;13:01:50,9.161617,3.966338,16.257576,21.166752,15.777594,5.277085,74.420845
19/05/2021;13:01:51,9.161617,3.966338,16.257576,21.166752,15.707382,4.952861,74.499725
19/05/2021;13:01:52,9.134199,3.956357,16.2987,21.156271,15.707382,4.952861,74.499725
19/05/2021;13:01:53,9.106899,3.94498,16.339649,21.142136,15.638065,4.656408,74.55043
19/05/2021;13:01:54,9.082634,3.938477,16.376049,21.129841,15.568451,4.353658,74.600655
19/05/2021;13:01:55,9.058016,3.929048,16.412975,21.117643,15.513412,4.09794,74.643997
19/05/2021;13:01:56,9.030716,3.920509,16.453926,21.10186,15.443798,3.869592,74.688034
19/05/2021;13:01:57,9.006217,3.911469,16.490675,21.091358,15.373589,3.682046,74.742516
19/05/2021;13:01:58,8.976,3.897412,16.535999,21.077473,15.312004,3.531908,74.826218
19/05/2021;13:01:59,8.951734,3.889364,16.572399,21.066177,15.24239,3.418476,74.940514
19/05/2021;13:02:00,8.927233,3.879419,16.60915,21.052547,15.179916,3.341337,75.037727
19/05/2021;13:02:01,8.927233,3.879419,16.60915,21.052547,15.118034,3.307069,75.126587
19/05/2021;13:02:02,8.90005,3.868026,16.649925,21.038868,15.048717,3.307708,75.2061
19/05/2021;13:02:03,8.875783,3.857348,16.686325,21.022432,15.048717,3.307708,75.2061
19/05/2021;13:02:04,8.848367,3.846742,16.727451,21.005386,14.978508,3.328639,75.330574
19/05/2021;13:02:05,8.8241,3.838762,16.763851,20.991175,14.916925,3.357429,75.409653
19/05/2021;13:02:06,8.796801,3.829486,16.8048,20.975563,14.855045,3.41063,75.479301
19/05/2021;13:02:07,8.7723,3.823224,16.841549,20.963161,14.784836,3.489474,75.545174
19/05/2021;13:02:08,8.741966,3.819602,16.887051,20.94725,14.722956,3.559574,75.590546
19/05/2021;13:02:09,8.71735,3.816684,16.923975,20.937954,14.645605,3.634852,75.636566
19/05/2021;13:02:10,8.6932,3.815019,16.960199,20.926928,14.591164,3.702008,75.688728
19/05/2021;13:02:11,8.6932,3.815019,16.960199,20.926928,14.529282,3.766354,75.774757
19/05/2021;13:02:12,8.666017,3.815243,17.000975,20.919294,14.459667,3.840166,75.896782
19/05/2021;13:02:13,8.64455,3.817046,17.033175,20.912228,14.405226,3.913967,76.007782
19/05/2021;13:02:14,8.614217,3.81868,17.078674,20.902767,14.335611,3.979383,76.092491
19/05/2021;13:02:15,8.590067,3.821336,17.114901,20.894579,14.335611,3.979383,76.092491
19/05/2021;13:02:16,8.56265,3.82615,17.156025,20.886122,14.273729,4.030068,76.186638
19/05/2021;13:02:17,8.538383,3.831486,17.192425,20.876081,14.203817,4.084053,76.294258
19/05/2021;13:02:18,8.514116,3.835654,17.228825,20.871006,14.141937,4.140455,76.344749
19/05/2021;13:02:19,8.4867,3.841396,17.269951,20.863075,14.071728,4.184887,76.364189
19/05/2021;13:02:20,8.462433,3.845245,17.306351,20.854258,14.009848,4.215629,76.396858
19/05/2021;13:02:21,8.438167,3.847645,17.342751,20.845371,13.948265,4.244791,76.42823
19/05/2021;13:02:22,8.438167,3.847645,17.342751,20.845371,13.878056,4.274395,76.479103
19/05/2021;13:02:23,8.41075,3.852732,17.383875,20.836727,13.808737,4.297827,76.539963
19/05/2021;13:02:24,8.383333,3.857091,17.424999,20.828209,13.739122,4.318117,76.578438
19/05/2021;13:02:25,8.359183,3.861335,17.461226,20.820749,13.684383,4.33509,76.59481
19/05/2021;13:02:26,8.3348,3.864625,17.497799,20.811924,13.684383,4.33509,76.59481
19/05/2021;13:02:27,8.302366,3.871855,17.54645,20.801306,13.617445,4.342329,76.603928
19/05/2021;13:02:28,8.278216,3.877219,17.582676,20.792923,13.548128,4.354587,76.605614
