REPORT START/STOP
Start Time,20/05/2021,12:23:27
End Time,20/05/2021,13:52:20

Program,R454C_pi_5.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
20/05/2021;12:24:39,?,6.945333,?,26.446314,400,399.593445,25,28.952032
20/05/2021;12:24:40,?,6.920516,?,26.372459,400,399.584564,25,28.939995
20/05/2021;12:24:41,?,6.902434,?,26.372459,400,399.584564,25,28.939995
20/05/2021;12:24:42,?,6.886797,?,26.317974,400,399.517822,25,28.93235
20/05/2021;12:24:43,?,6.866415,?,26.239077,400,399.428802,25,28.938393
20/05/2021;12:24:44,?,6.849748,?,26.1453,400,399.575623,25,28.937857
20/05/2021;12:24:45,?,6.828424,?,26.091522,400,400.138306,25,28.929451
20/05/2021;12:24:46,?,6.802629,?,26.034637,400,400.415009,25,28.920156
20/05/2021;12:24:47,?,6.7705,?,25.973412,400,400.485229,25,28.913607
20/05/2021;12:24:48,?,6.733627,?,25.92057,400,400.516785,25,28.910278
20/05/2021;12:24:49,?,6.692852,?,25.882307,400,400.525299,25,28.902941
20/05/2021;12:24:50,?,6.64918,?,25.831841,400,400.529022,25,28.898415
20/05/2021;12:24:51,?,6.596976,?,25.831841,400,400.529022,25,28.898415
20/05/2021;12:24:52,?,6.546036,?,25.795082,400,400.641327,25,28.887974
20/05/2021;12:24:53,?,6.491016,?,25.764025,400,400.650879,25,28.877676
20/05/2021;12:24:54,?,6.437637,?,25.725189,400,400.344757,25,28.86627
20/05/2021;12:24:55,?,6.437637,?,25.68877,400,400.120239,25,28.866182
20/05/2021;12:24:56,?,6.381841,?,25.648411,400,399.966003,25,28.870087
20/05/2021;12:24:57,?,6.331694,?,25.634457,400,400.008179,25,28.866961
20/05/2021;12:24:58,?,6.28274,?,25.616091,400,400.095581,25,28.867264
20/05/2021;12:24:59,?,6.236983,?,25.595909,400,400.089661,25,28.863432
20/05/2021;12:25:00,?,6.193865,?,25.587587,400,400.050171,25,28.850164
20/05/2021;12:25:01,?,6.155158,?,25.575531,400,400.08017,25,28.834988
20/05/2021;12:25:02,?,6.115883,?,25.562515,400,400.082672,25,28.828806
20/05/2021;12:25:03,?,6.081573,?,25.532648,400,400.131134,25,28.831768
20/05/2021;12:25:04,?,6.048368,?,25.501524,400,400.157593,25,28.827946
20/05/2021;12:25:05,?,6.015615,?,25.501524,400,400.157593,25,28.827946
20/05/2021;12:25:06,?,5.989507,?,25.495052,400,400.129089,25,28.818981
20/05/2021;12:25:07,?,5.965327,?,25.491634,400,400.077423,25,28.811251
20/05/2021;12:25:08,?,5.965327,?,25.483168,400,400.050049,25,28.81197
20/05/2021;12:25:09,?,5.938307,?,25.465099,400,400.03595,25,28.810543
20/05/2021;12:25:10,?,5.919738,?,25.461994,400,400.051086,25,28.810902
20/05/2021;12:25:11,?,5.904634,?,25.450428,400,400.087952,25,28.811859
20/05/2021;12:25:12,?,5.891114,?,25.437796,400,400.119537,25,28.815893
20/05/2021;12:25:13,?,5.882545,?,25.432674,400,400.171021,25,28.810001
20/05/2021;12:25:14,?,5.879919,?,25.420591,400,400.162964,25,28.812096
20/05/2021;12:25:15,?,5.876815,?,25.41276,400,400.172028,25,28.824476
20/05/2021;12:25:16,?,5.874362,?,25.41366,400,400.175049,25,28.835279
20/05/2021;12:25:17,?,5.875348,?,25.398363,400,400.155579,25,28.840693
20/05/2021;12:25:18,?,5.873693,?,25.3937,400,400.148834,25,28.830568
20/05/2021;12:25:19,?,5.871961,?,25.387627,400,400.110565,25,28.817249
