REPORT START/STOP
Start Time,19/05/2021,15:06:45
End Time,19/05/2021,17:31:48

Program,R454C_pi_5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
19/05/2021;15:07:47,7.162,5.732059,15.257,25.836529,19.252691,31.657877,81.956604
19/05/2021;15:07:48,7.148133,5.756065,15.2778,25.876265,19.183075,31.968248,82.642334
19/05/2021;15:07:49,7.132467,5.785987,15.3013,25.918888,19.120897,32.262993,83.315338
19/05/2021;15:07:50,7.1186,5.816484,15.3221,25.959461,19.066753,32.47197,83.820549
19/05/2021;15:07:51,7.104733,5.844864,15.3429,26.00304,18.996841,32.676525,84.355484
19/05/2021;15:07:52,7.0908,5.871802,15.3638,26.051023,18.934959,32.844223,84.886444
19/05/2021;15:07:53,7.0752,5.907652,15.387199,26.10397,18.873081,32.938034,85.323944
19/05/2021;15:07:54,7.061334,5.937284,15.408,26.156857,18.803465,32.968861,85.728561
19/05/2021;15:07:55,7.045667,5.968944,15.431499,26.214849,18.749022,32.923386,86.102654
19/05/2021;15:07:56,7.0318,5.998477,15.4523,26.270372,18.686846,32.787312,86.419205
19/05/2021;15:07:57,7.0318,5.998477,15.4523,26.270372,18.617529,32.573555,86.656876
19/05/2021;15:07:58,7.016,6.030039,15.476,26.342604,18.617529,32.573555,86.656876
19/05/2021;15:07:59,7.002267,6.048991,15.4966,26.4063,18.563086,32.191315,86.913467
19/05/2021;15:08:00,6.986667,6.063335,15.52,26.474323,18.493469,31.714779,87.111282
19/05/2021;15:08:01,6.972667,6.073152,15.541,26.54048,18.422962,30.969124,87.330467
19/05/2021;15:08:02,6.9588,6.075271,15.5618,26.601719,18.361677,30.214941,87.468224
19/05/2021;15:08:03,6.945,6.079513,15.5825,26.661278,18.299799,29.365145,87.57399
19/05/2021;15:08:04,6.929267,6.074987,15.6061,26.730011,18.237024,28.304585,87.649689
19/05/2021;15:08:05,6.9154,6.064192,15.6269,26.789255,18.175741,27.242168,87.68248
19/05/2021;15:08:06,6.899867,6.045924,15.6502,26.845947,18.106125,25.843435,87.716965
19/05/2021;15:08:07,6.885867,6.018342,15.6712,26.897053,18.04365,24.038471,87.691734
19/05/2021;15:08:08,6.872,5.973391,15.692,26.94907,17.981771,22.404964,87.656029
19/05/2021;15:08:09,6.872,5.973391,15.692,26.94907,17.920187,20.883911,87.614716
19/05/2021;15:08:10,6.8582,5.920474,15.7127,26.991077,17.849977,19.435575,87.566872
19/05/2021;15:08:11,6.842533,5.858063,15.7362,27.033188,17.849977,19.435575,87.566872
19/05/2021;15:08:12,6.828667,5.773195,15.757,27.07156,17.780363,18.208292,87.568336
19/05/2021;15:08:13,6.8148,5.669312,15.7778,27.091599,17.711046,17.273872,87.575897
19/05/2021;15:08:14,6.799133,5.533703,15.8013,27.100433,17.656305,16.471027,87.593063
19/05/2021;15:08:15,6.787,5.398149,15.8195,27.089893,17.594425,15.819101,87.677132
19/05/2021;15:08:16,6.7714,5.19328,15.8429,27.053635,17.532843,15.279377,87.842491
19/05/2021;15:08:17,6.755733,5.003414,15.8664,26.992279,17.455194,14.769296,88.129662
19/05/2021;15:08:18,6.741867,4.873767,15.887199,26.929754,17.38558,14.516889,88.424164
19/05/2021;15:08:19,6.728,4.775699,15.908,26.863764,17.315966,14.36433,88.793564
19/05/2021;15:08:20,6.712334,4.699143,15.931499,26.797722,17.253788,14.305473,89.180298
19/05/2021;15:08:21,6.6984,4.648931,15.9524,26.743031,17.19161,14.312987,89.614441
19/05/2021;15:08:22,6.6984,4.648931,15.9524,26.743031,17.19161,14.312987,89.614441
