REPORT START/STOP
Start Time,20/05/2021,14:51:10
End Time,20/05/2021,16:32:52

Program,R454C_pi_5.5_5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
20/05/2021;14:52:22,?,9.419642,?,34.102566,400,399.342529,25,32.984379
20/05/2021;14:52:23,?,9.287396,?,33.725422,400,399.33609,25,32.996586
20/05/2021;14:52:24,?,9.112453,?,33.346027,400,399.694763,25,33.001133
20/05/2021;14:52:25,?,8.90372,?,32.975388,400,399.99826,25,32.980209
20/05/2021;14:52:26,?,8.685991,?,32.630478,400,400.140411,25,32.973507
20/05/2021;14:52:27,?,8.465343,?,32.303558,400,400.15451,25,32.974892
20/05/2021;14:52:28,?,8.250641,?,31.988695,400,400.096405,25,32.952927
20/05/2021;14:52:29,?,8.039566,?,31.706367,400,400.164856,25,32.953583
20/05/2021;14:52:30,?,8.039566,?,31.426414,400,400.254547,25,32.976345
20/05/2021;14:52:31,?,7.810455,?,31.208649,400,400.33844,25,32.999889
20/05/2021;14:52:32,?,7.577105,?,31.01396,400,400.421631,25,33.006367
20/05/2021;14:52:33,?,7.349628,?,30.816467,400,400.528931,25,33.009911
20/05/2021;14:52:34,?,7.223456,?,30.633875,400,400.581421,25,33.003315
20/05/2021;14:52:35,?,7.158756,?,30.465113,400,400.391724,25,32.987041
20/05/2021;14:52:36,?,6.933311,?,30.465113,400,400.391724,25,32.987041
20/05/2021;14:52:37,?,6.592669,?,30.323675,400,400.168182,25,32.985649
20/05/2021;14:52:38,?,6.352994,?,30.207981,400,400.179016,25,32.99234
20/05/2021;14:52:39,?,6.143394,?,30.090622,400,400.331482,25,32.995224
20/05/2021;14:52:40,?,5.96736,?,29.99794,400,400.444611,25,32.995972
20/05/2021;14:52:41,?,5.785514,?,29.924095,400,400.488892,25,32.992401
20/05/2021;14:52:42,?,5.67009,?,29.85659,400,400.581055,25,32.997379
20/05/2021;14:52:43,?,5.73898,?,29.802355,400,400.701721,25,33.00029
20/05/2021;14:52:44,?,5.857621,?,29.750372,400,400.702271,25,33.001823
20/05/2021;14:52:45,?,5.91891,?,29.720528,400,400.460907,25,33.002159
20/05/2021;14:52:46,?,5.921324,?,29.69663,400,400.167603,25,33.004539
20/05/2021;14:52:47,?,5.892665,?,29.681526,400,400.105011,25,33.007965
20/05/2021;14:52:48,?,5.867021,?,29.700962,400,400.127747,25,33.013542
20/05/2021;14:52:49,?,5.867021,?,29.709806,400,400.154816,25,33.023613
20/05/2021;14:52:50,?,5.847715,?,29.727158,400,400.152832,25,33.036266
