REPORT START/STOP
Start Time,21/05/2021,09:54:49
End Time,21/05/2021,11:17:04

Program,R454C_pi_3
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
21/05/2021;09:56:01,?,4.932456,?,20.208651,400,399.731903,25,21.640099
21/05/2021;09:56:02,?,4.869263,?,20.129555,400,399.742004,25,21.649195
21/05/2021;09:56:03,?,4.80837,?,20.063528,400,399.736298,25,21.660896
21/05/2021;09:56:04,?,4.754665,?,19.981356,400,399.779846,25,21.670864
21/05/2021;09:56:05,?,4.716788,?,19.927828,400,399.822083,25,21.682228
21/05/2021;09:56:06,?,4.68745,?,19.889887,400,399.817505,25,21.690878
21/05/2021;09:56:07,?,4.645902,?,19.889887,400,399.817505,25,21.690878
21/05/2021;09:56:08,?,4.611689,?,19.817511,400,399.883911,25,21.700342
21/05/2021;09:56:09,?,4.611689,?,19.737865,400,399.460968,25,21.706814
21/05/2021;09:56:10,?,4.571429,?,19.678829,400,399.5755,25,21.710421
21/05/2021;09:56:11,?,4.530158,?,19.645109,400,399.649933,25,21.715504
21/05/2021;09:56:12,?,4.481615,?,19.622217,400,399.668427,25,21.717258
21/05/2021;09:56:13,?,4.43566,?,19.55838,400,399.615936,25,21.723368
21/05/2021;09:56:14,?,4.389767,?,19.488022,400,399.627197,25,21.743395
21/05/2021;09:56:15,?,4.347042,?,19.440134,400,399.624237,25,21.759756
21/05/2021;09:56:16,?,4.30309,?,19.409792,400,399.610504,25,21.766338
21/05/2021;09:56:17,?,4.257304,?,19.364779,400,399.589081,25,21.768932
21/05/2021;09:56:18,?,4.213686,?,19.329092,400,399.478821,25,21.771269
21/05/2021;09:56:19,?,4.170756,?,19.329092,400,399.478821,25,21.771269
21/05/2021;09:56:20,?,4.121797,?,19.274166,400,399.553131,25,21.783537
21/05/2021;09:56:21,?,4.075054,?,19.219252,400,400.095154,25,21.811407
21/05/2021;09:56:22,?,4.023086,?,19.181992,400,400.388824,25,21.836939
21/05/2021;09:56:23,?,3.971438,?,19.139292,400,400.566437,25,21.850706
21/05/2021;09:56:24,?,3.922633,?,19.102106,400,400.648956,25,21.853586
21/05/2021;09:56:25,?,3.873055,?,19.039343,400,400.727722,25,21.860233
21/05/2021;09:56:26,?,3.873055,?,18.988716,400,400.74057,25,21.876728
21/05/2021;09:56:27,?,3.821533,?,18.960079,400,400.438751,25,21.896555
21/05/2021;09:56:28,?,3.773403,?,18.920568,400,400.313843,25,21.910423
21/05/2021;09:56:29,?,3.7168,?,18.869549,400,400.363831,25,21.917814
21/05/2021;09:56:30,?,3.651747,?,18.817089,400,400.35022,25,21.933149
21/05/2021;09:56:31,?,3.576166,?,18.783428,400,400.327209,25,21.951857
21/05/2021;09:56:32,?,3.507269,?,18.748753,400,400.366699,25,21.962984
21/05/2021;09:56:33,?,3.441133,?,18.717777,400,400.400085,25,21.971107
21/05/2021;09:56:34,?,3.382786,?,18.690384,400,400.434357,25,21.982761
21/05/2021;09:56:35,?,3.337979,?,18.658083,400,400.360596,25,21.990728
21/05/2021;09:56:36,?,3.297351,?,18.603546,400,400.418213,25,21.997545
21/05/2021;09:56:37,?,3.259192,?,18.558485,400,400.431335,25,22.015043
21/05/2021;09:56:38,?,3.23136,?,18.520393,400,400.393066,25,22.030958
21/05/2021;09:56:39,?,3.205442,?,18.504238,400,400.362946,25,22.043745
21/05/2021;09:56:40,?,3.187693,?,18.477293,400,400.389771,25,22.058805
21/05/2021;09:56:41,?,3.174093,?,18.432264,400,400.362671,25,22.078653
21/05/2021;09:56:42,?,3.160601,?,18.432264,400,400.362671,25,22.078653
21/05/2021;09:56:43,?,3.148786,?,18.406555,400,400.53653,25,22.108
21/05/2021;09:56:44,?,3.148786,?,18.370153,400,400.463226,25,22.1299
21/05/2021;09:56:45,?,3.142572,?,18.343359,400,399.916077,25,22.145916
21/05/2021;09:56:46,?,3.136755,?,18.308647,400,399.635193,25,22.155872
21/05/2021;09:56:47,?,3.13426,?,18.270512,400,399.480164,25,22.172436
21/05/2021;09:56:48,?,3.131621,?,18.265083,400,399.561249,25,22.185646
21/05/2021;09:56:49,?,3.130902,?,18.254654,400,399.697357,25,22.190603
21/05/2021;09:56:50,?,3.13193,?,18.220707,400,399.848785,25,22.200932
21/05/2021;09:56:51,?,3.136318,?,18.181658,400,400.013977,25,22.216038
21/05/2021;09:56:52,?,3.139236,?,18.15634,400,400.183502,25,22.226557
21/05/2021;09:56:53,?,3.143787,?,18.131458,400,400.089111,25,22.243338
21/05/2021;09:56:54,?,3.14931,?,18.098017,400,400.12085,25,22.253407
21/05/2021;09:56:55,?,3.153689,?,18.082134,400,400.083649,25,22.258522
21/05/2021;09:56:56,?,3.160783,?,18.06776,400,400.110382,25,22.260487
21/05/2021;09:56:57,?,3.166975,?,18.044247,400,400.158569,25,22.264175
21/05/2021;09:56:58,?,3.176912,?,18.040539,400,400.104553,25,22.273788
21/05/2021;09:56:59,?,3.187087,?,18.018782,400,400.1008,25,22.283728
21/05/2021;09:57:00,?,3.187087,?,17.994461,400,400.100677,25,22.293222
21/05/2021;09:57:01,?,3.19752,?,17.981005,400,400.127533,25,22.311525
21/05/2021;09:57:02,?,3.207438,?,17.974209,400,400.082947,25,22.323238
21/05/2021;09:57:03,?,3.21633,?,17.974209,400,400.082947,25,22.323238
21/05/2021;09:57:04,?,3.226277,?,17.967285,400,400.10022,25,22.328911
21/05/2021;09:57:05,?,3.233704,?,17.952597,400,400.006927,25,22.329401
21/05/2021;09:57:06,?,3.24331,?,17.918751,400,399.97348,25,22.341253
21/05/2021;09:57:07,?,3.252995,?,17.90382,400,400.027832,25,22.36927
21/05/2021;09:57:08,?,3.261272,?,17.899956,400,399.920319,25,22.393772
21/05/2021;09:57:09,?,3.272507,?,17.911268,400,399.940247,25,22.419638
21/05/2021;09:57:10,?,3.283103,?,17.897923,400,399.963867,25,22.44672
21/05/2021;09:57:11,?,3.293263,?,17.888689,400,399.889984,25,22.474081
21/05/2021;09:57:12,?,3.303737,?,17.877024,400,399.761719,25,22.491524
21/05/2021;09:57:13,?,3.313029,?,17.876703,400,399.905212,25,22.499941
