P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Current3,THD1,THD2,THD3,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
4,4.066371,26,25.949068,-10.044,-10.241303,114.383331,NaN,0.987873136997223,NaN,29.585007,400,400.673615,25,30.496449,9.461969,46.909092,50.028278,403.321228,400.822845,399.922424,4677.698242,10.194232,9.822964,9.618279,1.754117,1.735542,1.715505,28.146093,41.34996,18.93276,-13.702604,41.713394,67.370193,109.697479,0.128380388021469,670.344238,424.320508696442,1.95537305400083,0.0672951986897897,0.925117955672189,-19.5148422912474,518.017708581321,2.05714421166203,0.0147866239774584,1.116956867029,42.9216800234047,480.294672205838,81.5042885438295,0.012546317001073,1.19702472291478
4,4.066371,26,25.949068,-10.044,-10.256969,114.35498,NaN,0.987873136997223,NaN,29.593731,400,400.811127,25,30.497591,9.443734,46.94104,50.028278,402.436279,399.746857,398.894806,4674.464844,10.156294,9.747135,9.520324,1.733829,1.726873,1.708827,28.155828,41.527218,18.936697,-13.7036,41.704014,67.409576,109.668144,0.084960900247097,666.954346,424.306015281566,1.95531792517902,0.0672893877592075,0.925183971103117,-19.5148422912474,517.986041331476,2.0570624937665,0.0147848348639501,1.11698549476992,42.9216800234047,480.275120979892,81.4879558813263,0.0125450947707645,1.19710128323604
4,4.066782,26,25.94788,-10.044,-10.254933,114.235596,NaN,0.987854361534119,NaN,29.59206,400,400.932343,25,30.500973,9.454494,46.918167,50.028278,403.496796,400.77359,399.927216,4680.28418,10.235401,9.829453,9.575208,1.738397,1.716608,1.706331,28.133682,41.517395,18.926071,-13.682807,41.720821,67.316902,109.733307,0,665.728882,424.306656550778,1.9553098451753,0.0672825883787748,0.925200995448124,-19.5121452327182,517.853834024283,2.0567257977867,0.0147780885876357,1.11709576685984,42.9197621301351,480.27076514452,81.4829283074716,0.0125454561209316,1.19710178353184
4,4.065556,26,25.944443,-10.044,-10.254933,114.235596,NaN,0.98825204372406,NaN,29.59206,400,400.932343,25,30.500973,9.461301,46.79052,50.028278,403.496796,400.77359,399.927216,4680.28418,10.235401,9.829453,9.575208,1.738397,1.716608,1.706331,28.133682,41.517395,18.926071,-13.682807,41.720821,67.316902,109.733307,0,665.728882,424.310362463986,1.95535532392933,0.0673051280315767,0.925124612724732,-19.5201910908877,517.857161329759,2.0567474994897,0.0147803734075,1.11706462978142,42.9142130983751,480.282581227083,81.4887810137004,0.0125480285055447,1.19700759165141
4,4.065431,26,25.942745,-10.044,-10.24989,114.129913,NaN,0.986814439296722,NaN,29.605474,400,401.171356,25,30.511707,9.463215,46.719604,50.014652,403.285675,400.678223,399.742828,4680.060547,10.209297,9.833115,9.593953,1.740386,1.706581,1.703478,28.128479,41.449959,18.905876,-13.662004,41.701584,67.271049,109.752022,0,662.229431,424.315405600834,1.95537770708257,0.0673092977842791,0.925095584138408,-19.5210115316121,517.74074630101,2.05645342213185,0.014774827585516,1.11715693793012,42.9114714716657,480.288388430877,81.4916474747561,0.0125492976942361,1.19696119050729
4,4.065763,26,25.939466,-10.044,-10.256659,114.031517,NaN,0.987034559249878,NaN,29.5931,400,401.11853,25,30.517185,9.456638,46.612755,50.014652,403.285675,400.678223,399.742828,4680.060547,10.209297,9.833115,9.593953,1.740386,1.706581,1.703478,28.128479,41.449959,18.905876,-13.662004,41.701584,67.271049,109.752022,0,662.229431,424.308139982067,1.95534157067046,0.0673006811446089,0.925144781799236,-19.5188324835677,517.633997859074,2.0561902600568,0.0147707902643271,1.11722794492981,42.9061767394402,480.271458247498,81.4736696637284,0.0125499890590377,1.19698175680585
4,4.065198,26,25.937757,-10.044,-10.263147,113.925507,NaN,0.986880958080292,NaN,29.573042,400,400.896484,25,30.52482,9.448737,46.196529,50.014652,402.031677,399.568085,398.700195,4680.834961,10.14161,9.755381,9.596252,1.743136,1.714938,1.708497,28.09495,41.513126,18.907118,-13.649197,41.647003,67.346901,109.71299,0.357878595590591,674.309509,424.303845616123,1.95533970048996,0.0673086647214576,0.925136925857818,-19.5225408847079,517.517213909828,2.05589511233693,0.0147652251324799,1.11732154320697,42.9034169454367,480.268650184376,81.4693254138964,0.0125507257035639,1.19696892375371
4,4.064578,26,25.937643,-10.044,-10.25943,113.845718,NaN,0.987444162368774,NaN,29.565306,400,400.679504,25,30.533159,9.441847,45.855682,50.014652,402.925751,400.48642,399.566345,4677.504883,10.172866,9.766482,9.599851,1.764774,1.736072,1.718433,28.063768,41.420326,18.897963,-13.634338,41.687962,67.33886,109.709412,NaN,707.605347,424.309158425286,1.95537578550337,0.0673214492748421,0.925082636326689,-19.5266107352054,517.428171407945,2.05566548435388,0.0147602553429811,1.11740305860072,42.9032328465515,480.281303734662,81.4797636743366,0.0125515779193639,1.19691780069015
4,4.063324,26,25.939186,-10.044,-10.263289,113.769005,NaN,0.98700624704361,NaN,29.578751,400,400.806274,25,30.536898,9.433306,45.776695,50.014652,402.925751,400.48642,399.566345,4677.504883,10.172866,9.766482,9.599851,1.764774,1.736072,1.718433,28.063768,41.420326,18.897963,-13.634338,41.687962,67.33886,109.709412,NaN,707.605347,424.309379054416,1.95540874278887,0.0673430959875615,0.925020778148018,-19.534843790432,517.340948804811,2.05543419360612,0.0147543776104054,1.11749686281894,42.9057245884781,480.294928299495,81.4929507844822,0.0125516062308167,1.19688599537814
4,4.060839,26,25.936123,-10.044,-10.263363,113.791473,NaN,0.987370491027832,NaN,29.572235,400,400.51001,25,30.533669,9.435126,45.905376,50.014652,401.508545,399.049438,398.02713,4666.202148,10.109659,9.767895,9.561753,1.739943,1.707975,1.689237,28.089903,41.508709,18.875248,-13.623328,41.680408,67.373199,109.693512,0,669.77002,424.316821115498,1.95550073110888,0.0673888441223882,0.924866365067717,-19.5511646500704,517.369033866114,2.05551845907126,0.0147578343781774,1.1174455060193,42.900778135448,480.323707170797,81.5134167914067,0.0125550412986309,1.19673079582849
