P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Current3,THD1,THD2,THD3,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
4,4.071774,22,22.07233,-10.044,-10.691607,96.307083,NaN,1.008879,NaN,27.158319,400,400.119537,25,27.207888,9.12867,35.4986,49.999996,401.418182,399.246307,398.832855,4113.840332,9.618425,9.108099,9.090714,1.607254,1.572428,1.531327,27.710649,42.787788,19.182747,-14.549772,43.013794,59.653755,92.214294,0,256.007538,423.887007441778,1.95358463148279,0.067028886264547,0.927395942192199,-19.4794034631022,502.006043175917,2.0308251599639,0.0165054931708591,1.09897961537878,36.2712087653796,474.435133050055,71.7987759406446,0.0145578355361796,1.16292010575452
4,4.070647,22,22.071533,-10.044,-10.707463,96.316971,NaN,1.008972,NaN,27.152859,400,400.18158,25,27.206804,9.135298,35.460106,49.999996,401.418182,399.246307,398.832855,4113.840332,9.618425,9.108099,9.090714,1.607254,1.572428,1.531327,27.710649,42.787788,19.182747,-14.549772,43.013794,59.653755,92.214294,0,256.007538,423.875742264486,1.95357049475409,0.0670436308590987,0.927393763262066,-19.4867925953932,502.01779563104,2.0308605303114,0.0165069324484922,1.09895695979394,36.2697531993716,474.429096382429,71.7925646277902,0.0145579693913699,1.16293063182594
4,4.068995,22,22.069702,-10.044,-10.728045,96.282143,NaN,1.008962,NaN,27.161449,400,400.21582,25,27.202467,9.127965,35.466351,49.999996,401.989655,399.817963,399.455048,4112.684082,9.663155,9.128408,9.120955,1.598266,1.581467,1.528342,27.703058,42.783798,19.171291,-14.524344,43.093601,59.690643,92.197479,NaN,250.744537,423.861698058196,1.95355919000592,0.0670662488674854,0.927378863067605,-19.4976267037781,501.981556057773,2.03077062021549,0.0165059368753838,1.09898379931244,36.2664090817811,474.422531298022,71.7845749768569,0.0145588131072296,1.16292730604469
4,4.068872,22,22.067709,-10.044,-10.753479,96.194405,NaN,1.009382,NaN,27.161549,400,400.33374,25,27.203199,9.138736,35.434509,49.999996,401.775482,399.551361,399.143036,4116.88916,9.619354,9.105949,9.087713,1.586906,1.5686,1.504863,27.728195,42.766411,19.158587,-14.494514,43.043224,59.636551,92.244919,NaN,247.741074,423.838485431005,1.95347387381488,0.0670590433148141,0.927483049023847,-19.498433494353,501.887345924795,2.0305244808924,0.0165011257380816,1.09908165268646,36.2627688500423,474.39020261267,71.7542244028913,0.0145578825971925,1.16301861383005
4,4.068292,22,22.064724,-10.044,-10.768638,96.124474,NaN,1.010634,NaN,27.154907,400,400.360168,25,27.220684,9.133899,35.465446,49.999996,401.775482,399.551361,399.143036,4116.88916,9.619354,9.105949,9.087713,1.586906,1.5686,1.504863,27.728195,42.766411,19.158587,-14.494514,43.043224,59.636551,92.244919,NaN,247.741074,423.826197556578,1.95344186673003,0.0670640366239925,0.927512837960162,-19.5022381246045,501.813806658252,2.03033869070427,0.0164985158510652,1.09914397164303,36.2573162552592,474.374817826308,71.7371726080414,0.0145589145088143,1.16303087120504
4,4.066761,22,22.062204,-10.044,-10.771523,96.108269,NaN,1.009731,NaN,27.156286,400,400.320587,25,27.230097,9.128402,35.534702,49.999996,401.937805,399.767822,399.336487,4108.251953,9.630396,9.101916,9.100031,1.576217,1.555576,1.4942,27.718611,42.752239,19.154839,-14.490751,42.994972,59.624477,92.254356,0,247.676056,423.828199942942,1.95348863843999,0.0670910435360404,0.927427639965549,-19.5122830335628,501.798801408419,2.03030931489724,0.0164995172197603,1.09913748615273,36.2527126240954,474.387279771705,71.7446600091791,0.0145616551167159,1.16294522632503
4,4.065907,22,22.061499,-10.044,-10.767566,96.128349,NaN,1.009733,NaN,27.170368,400,400.294067,25,27.229885,9.132025,35.543934,49.999996,401.975159,399.773987,399.308258,4113.787598,9.622847,9.111088,9.094722,1.575444,1.550891,1.503829,27.68334,42.744984,19.138176,-14.459822,42.984615,59.611767,92.263512,0,247.600235,423.834478846427,1.95353440865801,0.0671081887706964,0.927355592729301,-19.517887396698,501.821656802356,2.03037435888866,0.0165016395437038,1.09910165441127,36.2514246320772,474.402039291277,71.7564488784465,0.0145632498881248,1.16287878681957
4,4.064779,22,22.059486,-10.044,-10.765481,96.126289,NaN,1.009697,NaN,27.193459,400,400.20636,25,27.233662,9.123488,35.388519,49.999996,401.975159,399.773987,399.308258,4113.787598,9.622847,9.111088,9.094722,1.575444,1.550891,1.503829,27.68334,42.744984,19.138176,-14.459822,42.984615,59.611767,92.263512,0,247.600235,423.839858173459,1.95358376520541,0.0671296759919686,0.927274316212979,-19.5252912638201,501.821634065442,2.030383293111,0.0165032545481269,1.09908143001972,36.2477468319589,474.416131084098,71.7659892957445,0.0145657435532585,1.16279485217651
4,4.063941,22,22.057377,-10.044,-10.759877,96.139557,NaN,1.009341,NaN,27.209249,400,400.209991,25,27.237755,9.129439,35.385502,50.00037,401.72406,399.541992,399.174133,4115.526855,9.644322,9.114508,9.103166,1.567643,1.554044,1.491582,27.683771,42.704102,19.121515,-14.433673,42.970261,59.562057,92.290703,NaN,247.576157,423.847613962412,1.9536347661003,0.0671471562589178,0.927196129349157,-19.5307926738558,501.838564489485,2.03043856580129,0.016506101483818,1.09903895319482,36.2438933644372,474.430650167849,71.7757754202887,0.0145683385901879,1.16270788209531
4,4.063112,22,22.054972,-10.044,-10.743216,96.209244,NaN,1.009448,NaN,27.216803,400,400.154236,25,27.246691,9.127458,35.496082,50.00037,401.72406,399.541992,399.174133,4115.526855,9.644322,9.114508,9.103166,1.567643,1.554044,1.491582,27.683771,42.704102,19.121515,-14.433673,42.970261,59.562057,92.290703,NaN,247.576157,423.865592243733,1.95372449860004,0.0671685946454687,0.927070036958167,-19.5362358550263,501.917825352252,2.03066392719593,0.016513431258243,1.09891548579267,36.2394987183137,474.458098001443,71.7963043995592,0.0145720983369234,1.16256782146326
