P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Current3,THD1,THD2,THD3,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
4,4.066899,24,23.927467,-10.044,-10.282924,107.111382,NaN,0.998835742473602,NaN,29.580254,400,400.059418,25,30.916086,9.51131,39.989109,50.021969,401.256866,399.471313,398.565033,4401.494141,9.825429,9.422521,9.397784,1.852469,1.841818,1.792178,34.125099,41.697628,19.968418,-15.050167,41.97924,62.322403,103.638901,0,78.440506,424.280403709886,1.95520698507298,0.0672700550616156,0.925326485712275,-19.5113774951207,511.941616596344,2.04935193703646,0.0157537679802452,1.10548668770832,39.5561022986241,477.602336786081,76.8229398346657,0.0135359388053857,1.1786283246519
4,4.067637,24,23.92733,-10.044,-10.261133,107.085907,NaN,0.999464213848114,NaN,29.573723,400,399.963898,25,30.914196,9.51828,39.974167,50.021969,401.256866,399.471313,398.565033,4401.494141,9.825429,9.422521,9.397784,1.852469,1.841818,1.792178,34.125099,41.697628,19.968418,-15.050167,41.97924,62.322403,103.638901,0,78.440506,424.298335219098,1.95525631283214,0.0672645780028897,0.925280448987023,-19.5065352326535,511.91359341542,2.04927880760945,0.0157521359892496,1.10551248602585,39.5558669856023,477.619415067636,76.8372629585894,0.0135371802675389,1.17856142574899
4,4.067713,24,23.92753,-10.044,-10.244237,107.09169,NaN,0.999602913856506,NaN,29.556959,400,399.996918,25,30.912382,9.502498,39.947151,50.021969,401.459747,399.760345,398.955475,4407.387695,9.829004,9.411997,9.443493,1.8668,1.843585,1.77259,34.095596,41.974525,19.97234,-15.042317,41.936581,62.349987,103.634552,0,78.507919,424.313738448776,1.95531295852436,0.0672694477439734,0.925213896457417,-19.5060366097242,511.919783028357,2.04929425728958,0.0157523768055324,1.10550828023587,39.5562105079114,477.639511582163,76.8545593456008,0.0135384162203396,1.17848800937074
4,4.067558,24,23.925457,-10.044,-10.244237,107.09169,NaN,1.000122,NaN,29.556959,400,399.996918,25,30.912382,9.498577,39.904388,50.021969,401.459747,399.760345,398.955475,4407.387695,9.829004,9.411997,9.443493,1.8668,1.843585,1.77259,34.095596,41.974525,19.97234,-15.042317,41.936581,62.349987,103.634552,0,78.507919,424.314206927527,1.9553187065051,0.0672722954453732,0.925204241113592,-19.5070535456756,511.921892784381,2.04930839405797,0.0157539684705192,1.1054879826825,39.5526497929493,477.638716750916,76.8513547374637,0.0135396529578374,1.17846088307433
4,4.068226,24,23.924187,-10.044,-10.225813,107.146805,NaN,0.998222053050995,NaN,29.548971,400,400.270325,25,30.907701,9.506584,39.973019,50.021969,402.18808,400.384308,399.52478,4401.591797,9.821691,9.400583,9.425331,1.867495,1.845746,1.784604,34.13213,41.950817,19.98609,-15.035381,41.887665,62.316311,103.665535,0,78.463379,424.329233909401,1.95535877030992,0.067266855543605,0.925168206196756,-19.5026710916163,511.984111951084,2.04947727498083,0.0157587021077288,1.10541693100521,39.5504682450664,477.651019674842,76.8602448312583,0.0135412766253491,1.17839572621671
4,4.067005,24,23.923985,-10.044,-10.212918,107.189758,NaN,0.999189138412476,NaN,29.556255,400,400.181915,25,30.91011,9.507422,40.023613,50.013062,400.616669,398.867462,398.073944,4394.778809,9.749685,9.359962,9.379108,1.872754,1.848107,1.799037,34.1343,41.825344,20.013186,-15.039838,41.944313,62.281303,103.666756,0,78.48143,424.344851621088,1.95544941268094,0.0672940713586766,0.925037992540817,-19.5106819526014,512.031797328917,2.04960349487918,0.0157617857682016,1.10536939716868,39.550121250573,477.682473072086,76.8866914318416,0.0135435317180054,1.17827352056969
4,4.068197,24,23.922869,-10.044,-10.201571,107.17588,NaN,0.999398291110992,NaN,29.561541,400,399.919769,25,30.913454,9.519546,39.918293,50.013062,400.616669,398.867462,398.073944,4394.778809,9.749685,9.359962,9.379108,1.872754,1.848107,1.799037,34.1343,41.825344,20.013186,-15.039838,41.944313,62.281303,103.666756,0,78.48143,424.351748178261,1.95544513858957,0.0672763754812728,0.925064421631724,-19.5028613364084,512.017591746378,2.04957076940405,0.0157616968822847,1.10537319642662,39.5482041516645,477.67946550655,76.8827772459143,0.0135440231819688,1.1782687024447
4,4.067945,24,23.922812,-10.044,-10.193892,107.130043,NaN,0.999808788299561,NaN,29.564779,400,399.844543,25,30.92952,9.516131,39.907982,50.013062,401.926147,400.126068,399.38208,4401.621094,9.812004,9.39257,9.423116,1.856583,1.842594,1.787788,34.143093,41.895737,20.025885,-15.050796,41.896912,62.292915,103.673172,0,78.448929,424.359612516064,1.95548149422445,0.0672838516400479,0.925016502438553,-19.5045145417664,511.966981627977,2.04943792719479,0.0157586152509359,1.10542128723406,39.5481062334933,477.692114159494,76.8934428709815,0.0135449149528105,1.17821994831768
4,4.067667,24,23.92202,-10.044,-10.196327,107.106018,NaN,1.000283,NaN,29.571779,400,399.818878,25,30.935114,9.506558,39.968159,50.013062,401.926147,400.126068,399.38208,4401.621094,9.812004,9.39257,9.423116,1.856583,1.842594,1.787788,34.143093,41.895737,20.025885,-15.050796,41.896912,62.292915,103.673172,0,78.448929,424.358199510079,1.95548323423218,0.0672880568598433,0.925009450717987,-19.5063384069738,511.941229475833,2.04937348814483,0.0157575852075485,1.10543908268196,39.5467456678698,477.691650461207,76.8920830506768,0.0135453768972443,1.17821019866991
4,4.06702,24,23.922607,-10.044,-10.195715,107.100555,NaN,0.999621450901031,NaN,29.580849,400,399.894409,25,30.934763,9.502831,39.97057,50.013062,401.158875,399.385223,398.603455,4390.413574,9.776391,9.340161,9.380613,1.887356,1.867267,1.800424,34.113148,42.015121,20.074821,-15.092753,41.91993,62.307976,103.671646,0,78.680061,424.360719138896,1.95550937400804,0.0673001742004568,0.924966678120239,-19.5105835278913,511.934593112468,2.04935360321624,0.0157567617646878,1.10545064157316,39.5477540701803,477.701595724019,76.9012402737416,0.0135456844965264,1.1781810593026
