P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is,PI_Set,PI_Process,delta_h,delta_his,delta_s,eta_is,Q_v,lambda,eta_is_alternative,uc_t1,uc_t2,uc_h1,uc_h2,uc_s1,uc_PI,uc_eta_is,uc_eta_is_alternative,M,t_crit,p_crit,rho_crit
4,3.96497057333333,20,20.3930209166667,6.30999999999995,6.33311861,84.9896592666667,NaN,5.59015005999999,NaN,33.3016748533333,400,399.994890556666,25,27.6426544533333,9.74467187000001,59.8537625733333,50.00174711,401.683648613333,398.525057686667,399.75515365,3499.74288574,8.74481691333335,8.94288068999999,23.5300008366667,55.1795407733333,21.0395460666666,6.35905707000001,55.2600311433334,79.3759734033333,82.4022081933334,0,547.49859355,404.121885105598,1.81761638113687,0.0586409105902068,0.944888924194082,-3.94233933421651,459.752057607665,1.86448858770962,0.0127608853721633,1.21830675841911,53.6113592592811,443.27981542187,71.7552926001377,0.0116835501345134,1.27837458754102,5,5.14330150792701,55.6301725020671,39.1579303162721,0.0468722065727438,0.703903648058915,3069.64916017709,0.964463561694972,0.852954709496622,0.288698297289971,0.292815794335794,1.16659939575568,1.32718987110135,0.00113839945081697,0.0286108516289347,0.0291498034536217,0.00641916008185426,90.8,85.67,43.188,461.6
5,4.98875005,25,25.3570893283333,12.9200000000001,12.99388221,93.3222900883333,NaN,7.020633005,NaN,37.430362875,400,399.998117673334,25,29.297529595,10.12551282,70.7690753483333,49.9693278816667,401.65743144,398.27643605,400.064550256666,4250.36021321,9.44004551666665,9.62847893000001,24.0897441066667,69.1735853183334,25.1304396916667,14.03594156,69.301197235,101.648557426667,90.846839305,0.342100772177342,143.604376931667,408.133167339702,1.81285662853178,0.046908151548337,0.975078748720554,2.85167526213372,462.829505019186,1.8574856395255,0.0100544852250111,1.29289155804574,62.9712528489489,446.748326768934,81.2353750719712,0.00917617137089095,1.37789941384579,5,5.08355922879027,54.6963376794846,38.6151594292331,0.0446290109937237,0.706032158072193,3783.10132865187,0.967035677203718,0.87849070858772,0.288772807984267,0.293660279221524,1.17817897014396,1.33607369655864,0.00108006917340752,0.0224911420496565,0.0298952383363414,0.00643014785413395,90.8,85.67,43.188,461.6
6,6.01418277,30,30.4851069316666,18.5900073300001,18.5840494683333,101.0097162,NaN,8.45157021,NaN,40.8336772116666,400,399.991516213333,25,31.1147243316667,10.1643142233333,81.307127855,49.99447348,401.489701284999,398.312204435,400.195470329999,5037.57112876333,10.1624568366667,10.4593148333333,25.525259955,83.3688654150001,29.7751478666666,19.908633395,83.5069681800001,125.772524396667,98.7787830866666,1.21895183294838,251.966851288333,411.348650681634,1.80881933932791,0.0390120011490283,1.00302375856684,8.66251394564983,465.378444290275,1.85181627992267,0.00818914422682249,1.37136542197722,71.133166675605,449.534737532489,89.863858014946,0.00744611212162472,1.48464111217194,5,5.06888915493173,54.0297936086414,38.186086850855,0.042996940594759,0.706765971148806,4504.38956675337,0.969413428669481,0.901880361332561,0.288874479399497,0.294506922474551,1.18746127100915,1.3434318504302,0.00105213855579779,0.0185995519753869,0.0304508728982566,0.0064199763647043,90.8,85.67,43.188,461.6
7,6.91138613666667,35,35.3599412683334,23.5699999999998,23.8702478133333,108.962787885,NaN,9.73970248666666,NaN,44.4941643266667,400,399.998470366667,25,32.625603745,10.4563822033333,91.5156058533333,50.009301375,401.654889078334,398.139679951667,400.209369356667,5800.32820069666,10.986911205,11.37090557,27.681013825,94.7960427166667,33.6749238866667,25.4220977633333,94.9633832316668,147.712760498333,106.663295088333,0.25821968864144,378.820084968333,414.740581176947,1.80922538121347,0.0341528746368043,1.02472128514685,13.1541020395538,469.272219137686,1.85235975877543,0.00700193382026182,1.43449087613872,77.7708135857571,453.029033917843,98.0996411908048,0.0063347026952794,1.57198716008936,5,5.11627501511054,54.531637960739,38.2884527408954,0.0431343775619602,0.702142458041565,5169.40580627358,0.964972755662012,0.915846417685913,0.28900393211142,0.29545044634139,1.19725293093186,1.35467221021178,0.00103769222726139,0.0163311172612721,0.0303675384799021,0.00635450474605926,90.8,85.67,43.188,461.6
4,4.00231472166667,22,22.1553792583333,6.31000936499995,6.17278014333333,91.00918025,NaN,5.68220840833333,NaN,35.45005813,400,399.999333813334,25,30.15054249,10.1605773216667,64.405521325,49.9917089349999,401.703258281667,398.350263468333,399.93412005,3735.02953942833,8.97287967000002,9.12153847333335,26.003819695,55.1910655150001,20.4520244016667,6.38315344166666,55.308037905,85.2354967383334,89.0032419566667,0,48.866942995,403.881366869258,1.8159797216352,0.0579921758984881,0.946245691315044,-3.67306420488785,464.57591190996,1.8718399486694,0.0118747308284391,1.23456790816316,57.1281306775721,444.67953169727,75.3191961544172,0.0106693736140986,1.31290113081937,5.5,5.53607948520675,60.6945450407029,40.7981648280131,0.0558602270342025,0.672207885790615,3349.58329738395,0.953892370458561,0.841803469990292,0.288697189422802,0.293418338857059,1.1659050794132,1.34111513900116,0.00113893047941308,0.0304373507842511,0.0266025818890994,0.00608747686146509,90.8,85.67,43.188,461.6
5,4.99165958,27.5,27.5045701666667,12.9200000000001,13.181714705,98.8577370233333,NaN,7.05573328833334,NaN,38.90916221,400,399.97948979,25,31.3440183616667,10.711102025,75.9682610900001,50.0046450816667,401.477856473333,398.27855847,400.172117475,4531.62651533666,9.67120362499999,9.88006574833334,25.1188419483333,68.8202389833334,24.904233195,14.082265775,68.9417710883332,110.072872143333,96.4030839316667,0,64.309971345,408.309065800985,1.81341933058746,0.0469171052672147,0.975024298534559,2.87094553755213,466.887812362904,1.86284489705161,0.00933087288391918,1.31345504075964,66.5515753137665,448.835710939293,85.5636777286105,0.00841643643521097,1.41540866863161,5.5,5.51012096004473,58.5787465619186,40.526645138307,0.04942556646415,0.691838685896047,4031.39986108398,0.962390177838251,0.878841941208335,0.288775447769736,0.294263409074765,1.17868674526382,1.34778902074539,0.00107869470469443,0.0242900434825731,0.0279478175257352,0.0061890820510241,90.8,85.67,43.188,461.6
6,5.99190322333334,33,33.103384965,18.5900000000001,19.21172025,107.272681976667,NaN,8.46376440833332,NaN,42.57392676,400,400.027603665,25,32.7744861483333,10.9700457233333,87.9299730466665,49.9882144083335,401.352260318334,398.382686049999,400.345946815001,5380.59172609333,10.5026323516667,10.826343065,27.568457525,82.2333287816665,29.6077760483333,20.4404362266667,82.356948085,136.194069316667,104.888576006667,0.346588664966791,376.808400786667,412.026829974398,1.81144203662027,0.0393133622690224,1.00155903668272,8.54418791598371,470.17392857705,1.85904740410301,0.00761769523830744,1.39122986910313,74.8237791930151,452.362424773444,94.9788002903931,0.00684720090214851,1.52291771268843,5.5,5.52483608386629,58.1470986026521,40.3355947990467,0.0476053674827403,0.693684592374674,4781.59062734328,0.963535193146316,0.902725430686627,0.288888165006301,0.295244220479707,1.18941900599533,1.35727522114952,0.00104811886338003,0.0202887988902658,0.0283869405801336,0.00618249345284672,90.8,85.67,43.188,461.6
7,6.90353106,38.5,38.2893389983334,23.5699999999998,23.8184795083333,116.395180041667,NaN,9.98036331666667,NaN,46.9471631133333,400,400.004044333333,25,35.0599169783333,11.06432604,104.775466425,49.9916877483333,401.550745363334,398.144693826667,400.304048021667,6235.07109863501,11.4626926383333,11.882942115,32.7363107616667,90.9388396483334,32.5456349533333,25.3005371983333,91.0816409283333,151.229200836667,114.473240205,0.54127117869027,448.053798896667,414.704557180683,1.80919367756381,0.0341881226007369,1.02454794814893,13.1169360523866,475.790914798542,1.86409557002612,0.00659848561097131,1.44308218059786,81.2722659344115,454.792939807392,102.581572548922,0.00580363450637006,1.62325493656862,5.5,5.54636759530665,61.0863576178582,40.0883826267089,0.0549018924623113,0.656283197169022,5555.0926852333,0.926683092263636,0.905890435993091,0.289002521096,0.29639382659928,1.19714893861216,1.37349006368458,0.00103780128983909,0.0176749704529217,0.0269277783512285,0.00603434645902612,90.8,85.67,43.188,461.6
4,3.98834399666667,26,25.98496525,6.30999999999995,6.23156988833333,101.507117018333,NaN,5.69763129,NaN,37.70217941,400,399.998898268334,25,31.92312035,10.683345255,75.1477245033333,49.9792741799998,401.771107593333,398.35637638,399.865755803333,4213.28500738167,9.37947370333333,9.61610316166665,28.69017885,54.4419987099999,20.3423258783333,6.47006726666666,54.5732205083333,100.628092695,98.8773420616667,0.184185013572375,71.8018948166667,403.970246246037,1.81658551871285,0.0582307840372227,0.945735595333187,-3.77313877953313,472.428744479918,1.88167034894267,0.010255436689184,1.27141852488703,64.0441333643945,448.644827054469,83.4438472984552,0.00901117814873186,1.37976139029095,6.5,6.51528424603057,68.4584982338804,44.6745808084321,0.0650848302298139,0.652584495313589,3726.99568869242,0.944895601669644,0.846171550954709,0.288697574523292,0.294563929303153,1.16616165207374,1.36378431399199,0.00113871475107298,0.0357831669402245,0.0237055937675762,0.00571260385620367,90.8,85.67,43.188,461.6
5,5.03694036666667,32.5,32.4641513566667,12.9200000000001,13.4857872066667,110.102483155,NaN,7.17014317833333,NaN,41.5159141016667,400,399.996124976666,25,33.3076883866667,11.2899291016667,88.18610948,50.0018257649999,401.517403705,398.20474443,400.27844199,5172.172128935,10.3199325116667,10.5757237683333,27.2580882683334,68.67009377,25.0973287933333,14.32586395,68.8396842,130.598725151667,107.388461283333,0.0663963645758728,91.4244859483334,408.502583567338,1.81335627415518,0.0465130278427403,0.976265308227765,3.14576024224544,474.957661712055,1.87288267779675,0.00799765279255772,1.35851213970661,73.9501496605674,452.623185317289,94.377855291953,0.00702699023381436,1.50449768097763,6.5,6.44523442170766,66.4550781447163,44.1206017499507,0.059526403641565,0.663924449726476,4563.47475188741,0.952020450518089,0.883942502302273,0.288780139924747,0.295591262259553,1.1792453829363,1.37108466921565,0.00107670074576001,0.0280357479625903,0.0246940571020168,0.00581164539684464,90.8,85.67,43.188,461.6
