P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is,PI_Set,PI_Process,delta_h,delta_his,delta_s,eta_is,Q_v,lambda,eta_is_alternative,uc_t1,uc_t2,uc_h1,uc_h2,uc_s1,uc_PI,uc_eta_is,uc_eta_is_alternative,M,t_crit,p_crit,rho_crit
9,8.96246920499999,22.5,22.3839796666667,13.2089999999999,13.1795894266667,87.61087458,NaN,0.994583763976892,NaN,27.0203233766666,400,400.017111215,25,27.924752705,9.03806534666667,31.30112372,49.9767334116666,401.615102045,399.500349911667,398.935749318334,4490.75266522,9.96024310833334,9.47664111500001,33.611934825,68.1811112316666,25.3777029366667,14.0144532716667,68.3766435700001,41.1689934866667,85.26677246,0.459862947675024,643.485646165001,528.068168900057,2.18672734987026,0.0438535076835171,1.155322484443,3.07522999141378,585.780270638019,2.24040482410771,0.021966168004956,1.19244305647387,35.8747603244172,566.838904346097,72.0857546639764,0.020284623145354,1.25434599019988,2.5,2.49751644415898,57.7121017379617,38.7707354460401,0.0536774742374487,0.671821176637424,3934.82645917335,0.891168723651067,0.811903751478578,0.288775447718775,0.293073208651415,1.5244014973246,1.69100198469416,0.00124954606353514,0.00649910199710018,0.0355902084922477,0.00648884118061692,52.024,78.11,57.82,424
10,10.0440717883333,25,24.8409055183333,16.6240010000001,16.3197402633333,89.46963713,NaN,0.995640580952168,NaN,28.2225954333334,400,400.02055719,25,28.6224104783333,9.06451836166666,36.3706921966667,50.0034671433334,401.825084371667,399.43664128,398.784944506667,4918.55298096334,10.3974676466667,9.93504549166667,38.7089645433334,76.8800167899999,28.2346062516667,17.32197118,77.0738591066667,46.1005294916666,87.250585445,0.368770945154461,612.518008555,528.286094571041,2.17195259493392,0.0390051190832053,1.19233350620296,6.76826568157041,584.176770456217,2.22189245476847,0.0195618239228476,1.22873794244637,40.0954140074532,566.425060435378,75.3729167660106,0.0181338216880072,1.29637851595212,2.5,2.47319949743119,55.890675885177,38.1389658643369,0.0499398598345621,0.682395153379243,4296.86634928711,0.893778931036306,0.829426247097891,0.28882887645825,0.29326033780486,1.52503059454863,1.68637307838612,0.00125103737375786,0.00575054416669399,0.0368103903067269,0.00662698651642249,52.024,78.11,57.82,424
11,10.9819228433333,27.5,27.4426173683333,19.7900009999999,19.549938385,93.619928245,NaN,0.996131995717684,NaN,28.9924593016667,400,400.012537446667,25,29.3778215233333,9.16269050333334,41.181601605,49.9950911816666,401.893675948334,399.288348101667,398.856932671667,5374.56303228,10.9203974633333,10.39755769,43.0097634816667,83.809601145,30.5378856883333,20.6169547266667,84.0374462999999,51.06812861,91.5401724016667,0.371714480210895,631.558538839999,529.214858398519,2.16312340246922,0.0357164945245049,1.21684270540119,9.73370883286936,585.27263099564,2.2116328940909,0.0176904768161368,1.25888552186591,44.2313331082073,567.813810374089,80.1014558717129,0.0164168979072057,1.33071560145377,2.5,2.49891449803362,56.0577725971207,38.5989519755693,0.0485094916216828,0.688565539103204,4698.15067353057,0.892175751288492,0.840732404890378,0.288895794109932,0.293691902305173,1.52771170477767,1.68953655527327,0.0012467593257318,0.0053066955643547,0.0368477095966513,0.00661028815256882,52.024,78.11,57.82,424
12,11.9624403433333,30,29.8931767183333,22.7450009999998,22.44115081,96.5022267316667,NaN,0.996506965855757,NaN,29.8229468116666,400,399.987944858333,25,30.075566905,9.09942406666666,45.1469384816666,50.01814117,401.671542205,399.348719581666,398.942147113334,5809.95619549,11.384659855,10.8299147183333,48.0723258050001,91.3403338533333,33.1165763333332,23.5735210416667,91.573907845,55.95183101,94.4617144333334,0.234555522895677,524.184313585,529.724341050108,2.15345821747447,0.032751326236686,1.24502280868562,12.636636852608,585.153452944818,2.20006219514395,0.0161534063992701,1.2900983361051,47.8619962209916,568.228512760767,83.72738700873,0.0150166944275361,1.36628808441511,2.5,2.49893827393591,55.4291118947085,38.5041717106585,0.0466039776694887,0.694662026810835,5062.89060402736,0.891608213661737,0.851856366627232,0.288965769246411,0.294002668919175,1.52918245450789,1.68919251787465,0.0012521766393785,0.00487173239765729,0.0373486689853974,0.00664980600763369,52.024,78.11,57.82,424
13,13.0175724783333,32.5,32.4509272566667,25.5200000000003,25.2488783083333,99.3299568116667,NaN,0.997064808110396,NaN,30.3930603583334,400,400.014656326666,25,30.82309147,9.12483869833333,48.9259217933334,50.0161133599999,401.912512023333,399.356449898333,398.750330775,6268.22872232999,11.9142628883333,11.4067329816667,53.110357465,99.4242701416667,35.84121642,26.4194658483333,99.6827227033334,61.1672930416666,97.3331027416667,0.316521264649928,521.907368558334,530.018902523016,2.1433121341322,0.0300206916857501,1.27641875308943,15.5664298493931,584.906243032236,2.18874218166098,0.014792172545183,1.32268264250478,51.4157367261371,568.266729049072,87.0969730471879,0.0137595925094605,1.40466896924184,2.5,2.49289193468088,54.8873405092205,38.2478265260565,0.0454300475287825,0.696847174846103,5457.07157001909,0.889621463405655,0.860640404813598,0.289043041519531,0.294316431448887,1.53003278023627,1.68847888432677,0.00126468615542979,0.00446752776234909,0.0377393075971566,0.00667962093169044,52.024,78.11,57.82,424
14,13.96422503,35,34.9237142083333,28.1380000000003,27.9347312583333,102.149127216667,NaN,0.997299985090892,NaN,30.9897787933333,400,400.015622711667,25,31.4671572166667,9.19063554166667,51.3279804866667,49.9983515533334,402.044115366667,399.218438255,398.786637790001,6698.74947025667,12.4723914266667,11.9096082033333,58.4439072999999,106.489664408333,38.2580439933333,29.0983591616667,106.76488345,66.2124076416667,100.22972863,0.528773181686799,542.597263925,530.598548180704,2.13609655782529,0.0279712713933379,1.30067174646404,18.046240724578,584.885695630658,2.17928146990217,0.0136816291010784,1.35290181310652,54.6507664288284,568.929860605601,90.6833785862911,0.0127598678555933,1.43697578672944,2.5,2.50095819774113,54.2871474499529,38.3313124248969,0.0431849120768869,0.706089765380346,5781.02391507308,0.887779964213592,0.871683825095492,0.28912535495182,0.294637913910616,1.53170607311877,1.68841956908761,0.00127495636212254,0.00417625125851626,0.0382926317231133,0.00671087547468784,52.024,78.11,57.82,424
7,7.06957293333333,21,20.939838375,5.40749999999994,5.608788835,93.5693647650001,NaN,1.00151029819378,NaN,27.40498782,400,400.004366623333,25,28.0060989033333,8.91113352166667,29.6715019183333,50.0371646700001,401.726057328333,399.218809123333,398.976100873333,4251.79608321333,9.75698524833335,9.21559123666666,37.9761379733334,53.0052911416667,21.1892851633333,5.230950315,53.0689589983334,38.3188646566667,90.6493411333334,0.279111169651151,284.17369522,525.782284923256,2.21157832575426,0.0553598940573453,1.09917457610838,-4.29452310041507,594.942285842051,2.2747880941373,0.0244021056292758,1.1566674453732,33.2280663371531,572.376562088681,74.4414356514927,0.0222929617700475,1.2100431010839,3,2.96196355084055,69.1600009187951,46.5942771654245,0.0632097683830305,0.673729880656942,3665.8036878811,0.874605977279847,0.800619150101632,0.288693320939324,0.293686482846214,1.51780271867789,1.717450444416,0.00129305884491389,0.00957426597660159,0.0300336256531696,0.00579632604597368,52.024,78.11,57.82,424
8,8.03099816666667,24,23.9851022533333,9.49390000000008,9.52897741166666,97.2800953150001,NaN,1.00227371666667,NaN,28.1673169733333,400,399.99764736,25,28.6618755283334,9.03531187166667,37.049311085,50.0018337633333,401.781114358334,399.28673082,398.97646308,4772.87721600666,10.27660208,9.74897681499998,43.8614005016666,60.3746442416667,23.5614551916667,9.44444093999999,60.4699777316667,44.181458965,94.3683524783334,0.285277775103847,333.580422795,526.935495839454,2.19788936214032,0.0488343614080454,1.12894814107887,-0.386034586942956,594.911628224684,2.25593685789063,0.0211687016038891,1.19254715197312,38.6629747789108,573.917239096201,80.0464420377323,0.0194484970149695,1.2507397863528,3,2.98660445916707,67.9761323852286,46.9817432567466,0.0580474957503038,0.691159867755609,4103.96641201255,0.878777766833889,0.823242747690529,0.288727605209064,0.294088099595304,1.52113175184239,1.7173619434978,0.00126719475061176,0.00849117333217757,0.0307692027226755,0.00588210021348837,52.024,78.11,57.82,424
9,9.01342446166668,27,26.9429366033334,13.2089999999999,13.0419713233333,100.837095078333,NaN,1.00272091833333,NaN,28.8992617616666,400,400.017208831667,25,29.4180769783333,9.05949851,42.88785476,49.9945462383334,401.920024201667,399.262727965,398.888121435,5286.50357748334,10.8241146383333,10.3077500033333,50.4648922383333,67.7385796,26.0744253616667,13.1361142333333,67.8620911699999,49.6535286833333,98.359131635,0.34935566060245,348.330366893333,527.744518605048,2.18481821451966,0.0435219813378285,1.15966224087046,3.25669078994601,594.978407867387,2.24029587663202,0.0187409759383035,1.22651169369446,43.4611506648923,574.686048691523,84.6708543237527,0.0172548857245333,1.29091401714793,3,2.98922025089063,67.2338892623395,46.9415300864749,0.0554776621123589,0.69818823035126,4554.30638759379,0.87870941403919,0.83730355912557,0.288773370514437,0.294487228094481,1.52346719939987,1.71755471972126,0.00125416178936632,0.00757158777712493,0.0312050104875093,0.00592736930185428,52.024,78.11,57.82,424
10,9.95600802166667,30,29.96205707,16.6240010000001,16.6155911733333,104.640041611667,NaN,1.002983295,NaN,29.8085358983334,400,400.020872351667,25,30.2130861916667,9.04396636499999,47.5856672316667,50.007764165,401.810958181667,399.287381275,398.876834416666,5812.44903729335,11.3970732366667,10.8698794416667,55.5840642433334,74.800757845,28.48212284,16.8154729116667,74.9408727199999,55.45322685,102.280720525,0.382037712807457,428.156786141667,528.918065094901,2.17532928409836,0.0394953882480538,1.18408038249293,6.47895081200339,595.419330804074,2.22722951717376,0.0167866627541879,1.25947322424093,47.9608384946447,576.204507218381,89.7430715862706,0.0155179811950583,1.32686881011891,3,3.00946144480482,66.5012657091716,47.2864421234795,0.0519002330753993,0.711064606765066,4974.29879710692,0.880536403177788,0.853027880306783,0.28883452086415,0.294929125728057,1.52685493630899,1.71882755460219,0.00124192668943178,0.0068965727962171,0.0317398819355847,0.00597208107185272,52.024,78.11,57.82,424
