REPORT START/STOP
Start Time,01/06/2021,09:18:59
End Time,01/06/2021,09:34:07

Program,R290_pi_4.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
01/06/2021;09:18:59,?,8.80687,?,19.548544,?,0,?,19.957886
01/06/2021;09:19:00,?,8.805373,?,19.551395,400,0,25,19.948633
01/06/2021;09:19:01,?,8.80687,?,19.544098,400,0,25,19.93775
01/06/2021;09:19:02,?,8.806932,?,19.544535,400,17.55541,25,19.927383
01/06/2021;09:19:03,?,8.807404,?,19.547218,400,66.327614,25,19.923658
01/06/2021;09:19:04,?,8.806495,?,19.54096,400,113.880859,25,19.928518
01/06/2021;09:19:05,?,8.805569,?,19.532286,400,144.99614,25,19.938831
01/06/2021;09:19:06,?,8.805477,?,19.532286,400,144.99614,25,19.938831
01/06/2021;09:19:07,?,8.805638,?,19.532045,400,163.921188,25,19.944407
01/06/2021;09:19:08,?,8.805437,?,19.540104,400,183.041504,25,19.943636
01/06/2021;09:19:09,?,8.806085,?,19.54501,400,202.494873,25,19.942833
01/06/2021;09:19:10,?,8.806019,?,19.540915,400,224.240143,25,19.953171
01/06/2021;09:19:11,?,8.806386,?,19.542809,400,238.96846,25,19.959806
01/06/2021;09:19:12,?,8.806386,?,19.549881,400,254.137451,25,19.961489
01/06/2021;09:19:13,?,8.805864,?,19.559429,400,266.734253,25,19.964996
01/06/2021;09:19:14,?,8.805555,?,19.547964,400,278.68222,25,19.962917
01/06/2021;09:19:15,?,8.805972,?,19.547176,400,290.067566,25,19.966951
01/06/2021;09:19:16,?,8.805637,?,19.538136,400,300.059814,25,19.970089
01/06/2021;09:19:17,?,8.806029,?,19.543751,400,308.868256,25,19.970089
01/06/2021;09:19:18,?,8.806414,?,19.547245,400,318.143036,25,19.980013
01/06/2021;09:19:19,?,8.806334,?,19.538063,400,325.598175,25,19.990461
01/06/2021;09:19:20,?,8.80662,?,19.538063,400,325.598175,25,19.990461
01/06/2021;09:19:21,?,8.806156,?,19.545055,400,333.353912,25,20.017164
01/06/2021;09:19:22,?,8.805631,?,19.549109,400,339.183929,25,20.055229
01/06/2021;09:19:23,?,8.806053,?,19.544712,400,344.584961,25,20.088779
01/06/2021;09:19:24,?,8.807136,?,19.546892,400,349.703369,25,20.125298
01/06/2021;09:19:25,?,8.807134,?,19.53294,400,354.658447,25,20.167934
01/06/2021;09:19:26,?,8.807134,?,19.535559,400,358.53717,25,20.21352
01/06/2021;09:19:27,?,8.806888,?,19.534222,400,362.225891,25,20.267242
01/06/2021;09:19:28,?,8.8077,?,19.5306,400,365.960266,25,20.315681
01/06/2021;09:19:29,?,8.807359,?,19.538443,400,368.965057,25,20.360735
01/06/2021;09:19:30,?,8.807926,?,19.557444,400,371.74234,25,20.410898
01/06/2021;09:19:31,?,8.807707,?,19.546747,400,374.343445,25,20.447262
01/06/2021;09:19:32,?,8.80697,?,19.540356,400,376.792969,25,20.498697
01/06/2021;09:19:33,?,8.807844,?,19.529434,400,379.415833,25,20.55427
01/06/2021;09:19:34,?,8.807391,?,19.529434,400,379.415833,25,20.55427
01/06/2021;09:19:35,?,8.807464,?,19.533077,400,381.109558,25,20.596731
01/06/2021;09:19:36,?,8.807464,?,19.531443,400,383.008453,25,20.648191
01/06/2021;09:19:37,?,8.807096,?,19.53618,400,384.592896,25,20.685722
01/06/2021;09:19:38,?,8.808364,?,19.538677,400,385.897003,25,20.724642
01/06/2021;09:19:39,?,8.807613,?,19.54491,400,387.109711,25,20.768381
01/06/2021;09:19:40,?,8.808292,?,19.554186,400,388.345978,25,20.800529
01/06/2021;09:19:41,?,8.808366,?,19.551617,400,389.86322,25,20.833319
01/06/2021;09:19:42,?,8.808543,?,19.540955,400,390.480621,25,20.866138
01/06/2021;09:19:43,?,8.809802,?,19.538532,400,391.103149,25,20.912437
01/06/2021;09:19:44,?,8.809675,?,19.545092,400,392.234711,25,20.989805
01/06/2021;09:19:45,?,8.809917,?,19.548929,400,393.269867,25,21.071152
01/06/2021;09:19:46,?,8.809002,?,19.549702,400,393.59317,25,21.130617
01/06/2021;09:19:47,?,8.809747,?,19.548258,400,393.883392,25,21.183138
01/06/2021;09:19:48,?,8.810501,?,19.548258,400,393.883392,25,21.183138
01/06/2021;09:19:49,?,8.811171,?,19.533182,400,394.634003,25,21.224564
01/06/2021;09:19:50,?,8.809859,?,19.549171,400,395.042572,25,21.276314
01/06/2021;09:19:51,?,8.81123,?,19.571924,400,395.945709,25,21.326862
01/06/2021;09:19:52,?,8.812352,?,19.574085,400,396.557892,25,21.364031
