REPORT START/STOP
Start Time,09/06/2021,13:06:00
End Time,09/06/2021,14:49:53

Program,R290_pi_3.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
09/06/2021;13:06:00,?,16.621199,?,40.657421,400,0,25,29.72423
09/06/2021;13:06:01,?,16.61862,?,40.671658,400,0,25,29.721487
09/06/2021;13:06:02,?,16.616766,?,40.684837,400,205.697525,25,29.720921
09/06/2021;13:06:03,?,16.615538,?,40.693108,400,401.264496,25,29.726965
09/06/2021;13:06:04,?,16.613754,?,40.690193,400,437.571289,25,29.728186
09/06/2021;13:06:05,?,16.611597,?,40.684902,400,410.69751,25,29.727964
09/06/2021;13:06:06,?,16.609705,?,40.697609,400,360.626343,25,29.728962
09/06/2021;13:06:07,?,16.607143,?,40.686146,400,312.827728,25,29.726931
09/06/2021;13:06:08,?,16.604765,?,40.672852,400,303.929413,25,29.726978
09/06/2021;13:06:09,?,16.603247,?,40.665146,400,326.079773,25,29.725679
09/06/2021;13:06:10,?,16.601543,?,40.687359,400,345.387848,25,29.722107
09/06/2021;13:06:11,?,16.59951,?,40.711403,400,350.901886,25,29.730385
09/06/2021;13:06:12,?,16.59547,?,40.711403,400,350.901886,25,29.730385
09/06/2021;13:06:13,?,16.594858,?,40.722061,400,350.374298,25,29.742111
09/06/2021;13:06:14,?,16.594858,?,40.717461,400,351.450317,25,29.741108
09/06/2021;13:06:15,?,16.593962,?,40.720837,400,356.515503,25,29.738178
09/06/2021;13:06:16,?,16.591166,?,40.717953,400,362.172668,25,29.72644
09/06/2021;13:06:17,?,16.587915,?,40.733471,400,366.43103,25,29.721397
09/06/2021;13:06:18,?,16.586815,?,40.749451,400,368.951599,25,29.734039
09/06/2021;13:06:19,?,16.584354,?,40.761055,400,371.785675,25,29.731842
09/06/2021;13:06:20,?,16.580872,?,40.746155,400,374.480774,25,29.722609
09/06/2021;13:06:21,?,16.579254,?,40.761822,400,377.069916,25,29.722933
09/06/2021;13:06:22,?,16.578081,?,40.782131,400,379.266052,25,29.714088
09/06/2021;13:06:23,?,16.575941,?,40.764038,400,381.264923,25,29.707277
09/06/2021;13:06:24,?,16.573915,?,40.76405,400,382.822815,25,29.712584
09/06/2021;13:06:25,?,16.571753,?,40.76405,400,382.822815,25,29.712584
09/06/2021;13:06:26,?,16.571753,?,40.736206,400,384.371613,25,29.707397
09/06/2021;13:06:27,?,16.569101,?,40.70322,400,385.890472,25,29.705898
09/06/2021;13:06:28,?,16.567991,?,40.689308,400,387.032928,25,29.703569
09/06/2021;13:06:29,?,16.566639,?,40.663795,400,388.217651,25,29.700914
09/06/2021;13:06:30,?,16.564842,?,40.653549,400,389.988098,25,29.703371
09/06/2021;13:06:31,?,16.562326,?,40.656841,400,390.783936,25,29.708294
09/06/2021;13:06:32,?,16.550058,?,40.648014,400,391.164001,25,29.706408
09/06/2021;13:06:33,?,16.538288,?,40.634998,400,392.00882,25,29.6936
