REPORT START/STOP
Start Time,10/06/2021,11:27:57
End Time,10/06/2021,11:28:14

Program,R290_pi_2.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
10/06/2021;11:27:57,12.892919,64.848129,?,0,0,0,0
10/06/2021;11:27:58,12.878878,64.842621,?,0,0,0,0
10/06/2021;11:27:59,12.872488,64.830063,50.014191,206.077194,203.483002,205.549881,0
10/06/2021;11:28:00,12.886655,64.816521,50.014191,206.077194,203.483002,205.549881,0
10/06/2021;11:28:01,12.878711,64.827614,50.012852,206.132111,203.498306,205.560547,0
10/06/2021;11:28:02,12.86281,64.851578,50.012852,206.120255,203.473495,205.522751,0
10/06/2021;11:28:03,12.864493,64.852524,50.012852,206.120255,203.473495,205.522751,0
10/06/2021;11:28:04,12.850835,64.86441,50.012852,206.024048,203.371719,205.44162,0
10/06/2021;11:28:05,12.849585,64.872559,50.012852,206.114456,203.462509,205.556793,0
10/06/2021;11:28:06,12.863791,64.892822,50.012852,206.114456,203.462509,205.556793,0
10/06/2021;11:28:07,12.869428,64.900696,50.012852,206.022675,203.387512,205.461426,0
10/06/2021;11:28:08,12.866085,64.922585,50.012852,206.062897,203.422058,205.500931,0
10/06/2021;11:28:09,12.863481,64.939995,50.012852,206.062897,203.422058,205.500931,0
10/06/2021;11:28:10,12.87254,64.946587,50.010643,206.061539,203.413406,205.497879,0
10/06/2021;11:28:11,12.878408,64.958527,50.010643,206.061539,203.413406,205.497879,0
10/06/2021;11:28:12,12.882442,64.965546,50.010643,206.089233,203.404465,205.498047,0
10/06/2021;11:28:13,12.879919,64.982346,50.010643,206.117203,203.486557,205.561249,0
10/06/2021;11:28:14,12.879493,64.994965,50.010643,206.117203,203.486557,205.561249,0
10/06/2021;11:28:15,12.891429,65.011314,50.010643,206.121918,203.458725,205.53653,0

RECORDED VALUES : FR_4
