REPORT START/STOP
Start Time,08/06/2021,08:16:59
End Time,08/06/2021,10:24:29

Program,R290_pi_5.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
08/06/2021;08:18:11,?,4.974143,?,7.837231,400,399.923584,25,24.193209
08/06/2021;08:18:12,?,4.968728,?,7.866613,400,399.648468,25,24.179096
08/06/2021;08:18:13,?,4.953916,?,7.917202,400,399.508362,25,24.160225
08/06/2021;08:18:14,?,4.945249,?,7.973861,400,399.523621,25,24.144388
08/06/2021;08:18:15,?,4.943895,?,7.973861,400,399.523621,25,24.144388
08/06/2021;08:18:16,?,4.939982,?,8.021199,400,399.599731,25,24.129381
08/06/2021;08:18:17,?,4.929833,?,8.024373,400,399.568726,25,24.116512
08/06/2021;08:18:18,?,4.919914,?,8.021261,400,399.547546,25,24.10013
08/06/2021;08:18:19,?,4.915909,?,8.017078,400,399.489319,25,24.080896
08/06/2021;08:18:20,?,4.910403,?,8.010571,400,399.522369,25,24.065306
08/06/2021;08:18:21,?,4.907547,?,8.009714,400,399.559082,25,24.061375
08/06/2021;08:18:22,?,4.905004,?,8.000196,400,399.52301,25,24.059315
08/06/2021;08:18:23,?,4.903298,?,7.986127,400,399.543762,25,24.058508
08/06/2021;08:18:24,?,4.901786,?,7.984734,400,399.606995,25,24.064888
08/06/2021;08:18:25,?,4.899202,?,7.984458,400,399.639709,25,24.067436
08/06/2021;08:18:26,?,4.899202,?,7.994808,400,399.714722,25,24.061611
08/06/2021;08:18:27,?,4.898741,?,8.002966,400,399.789368,25,24.052151
08/06/2021;08:18:28,?,4.895592,?,8.001848,400,399.80072,25,24.046135
08/06/2021;08:18:29,?,4.892384,?,8.000718,400,399.770782,25,24.038816
08/06/2021;08:18:30,?,4.889329,?,8.008084,400,399.783691,25,24.029913
08/06/2021;08:18:31,?,4.889647,?,8.002444,400,399.7901,25,24.026711
08/06/2021;08:18:32,?,4.888618,?,8.002444,400,399.7901,25,24.026711
08/06/2021;08:18:33,?,4.885146,?,7.988641,400,399.83374,25,24.0273
08/06/2021;08:18:34,?,4.886266,?,7.967346,400,399.831482,25,24.028151
08/06/2021;08:18:35,?,4.890364,?,7.944555,400,399.821686,25,24.027431
08/06/2021;08:18:36,?,4.891907,?,7.922431,400,399.855988,25,24.02994
08/06/2021;08:18:37,?,4.884716,?,7.907152,400,399.904663,25,24.022518
08/06/2021;08:18:38,?,4.877981,?,7.932131,400,399.884186,25,24.010534
08/06/2021;08:18:39,?,4.869784,?,7.960745,400,399.914429,25,24.002714
08/06/2021;08:18:40,?,4.862385,?,7.966801,400,400.081909,25,23.991955
