REPORT START/STOP
Start Time,08/06/2021,10:36:43
End Time,08/06/2021,10:45:46

Program,R290_pi_6
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
08/06/2021;10:37:55,?,12.705917,?,39.686733,400,399.305725,25,30.799988
08/06/2021;10:37:56,?,12.705917,?,39.370655,400,399.169556,25,30.797138
08/06/2021;10:37:57,?,12.609639,?,39.08807,400,399.141724,25,30.795017
08/06/2021;10:37:58,?,12.503708,?,38.82296,400,399.224213,25,30.784172
08/06/2021;10:37:59,?,12.420778,?,38.548775,400,399.228699,25,30.77257
08/06/2021;10:38:00,?,12.35278,?,38.295147,400,399.261658,25,30.767866
08/06/2021;10:38:01,?,12.299923,?,38.039146,400,399.286865,25,30.76837
08/06/2021;10:38:02,?,12.242813,?,37.779858,400,399.226624,25,30.779739
08/06/2021;10:38:03,?,12.198016,?,37.535114,400,399.515015,25,30.78812
08/06/2021;10:38:04,?,12.142113,?,37.296856,400,399.69516,25,30.785793
08/06/2021;10:38:05,?,12.085553,?,37.086273,400,399.817871,25,30.78231
08/06/2021;10:38:06,?,12.025551,?,37.086273,400,399.817871,25,30.78231
08/06/2021;10:38:07,?,11.949074,?,36.835682,400,399.785248,25,30.777718
08/06/2021;10:38:08,?,11.870831,?,36.625965,400,399.749878,25,30.773056
08/06/2021;10:38:09,?,11.805415,?,36.436356,400,399.636963,25,30.771919
08/06/2021;10:38:10,?,11.755366,?,36.236488,400,399.603088,25,30.775021
08/06/2021;10:38:11,?,11.704206,?,36.044159,400,399.499664,25,30.777889
08/06/2021;10:38:12,?,11.658583,?,35.872967,400,399.487793,25,30.779329
08/06/2021;10:38:13,?,11.612478,?,35.681019,400,399.47403,25,30.784899
08/06/2021;10:38:14,?,11.579363,?,35.472721,400,399.477325,25,30.79616
08/06/2021;10:38:15,?,11.579363,?,35.272346,400,399.545593,25,30.808186
08/06/2021;10:38:16,?,11.547369,?,35.066696,400,399.448334,25,30.812176
08/06/2021;10:38:17,?,11.549702,?,34.840748,400,399.517883,25,30.817873
08/06/2021;10:38:18,?,11.553831,?,34.610977,400,399.711121,25,30.829958
08/06/2021;10:38:19,?,11.463459,?,34.414177,400,400.604126,25,30.839815
08/06/2021;10:38:20,?,11.407688,?,34.238018,400,401.078674,25,30.860369
08/06/2021;10:38:21,?,11.370294,?,34.033695,400,401.229248,25,30.879807
08/06/2021;10:38:22,?,11.339989,?,34.033695,400,401.229248,25,30.879807
08/06/2021;10:38:23,?,11.320878,?,33.831562,400,401.182556,25,30.89135
08/06/2021;10:38:24,?,11.292885,?,33.641754,400,401.07724,25,30.898626
08/06/2021;10:38:25,?,11.271679,?,33.430977,400,400.845428,25,30.904331
08/06/2021;10:38:26,?,11.256352,?,33.246384,400,400.776581,25,30.913927
08/06/2021;10:38:27,?,11.230025,?,33.053886,400,400.850616,25,30.936066
08/06/2021;10:38:28,?,11.205843,?,32.88789,400,400.929718,25,30.953192
08/06/2021;10:38:29,?,11.180923,?,32.747742,400,400.90979,25,30.947683
08/06/2021;10:38:30,?,11.167306,?,32.610844,400,400.502258,25,30.941273
08/06/2021;10:38:31,?,11.159142,?,32.464729,400,400.195953,25,30.951653
08/06/2021;10:38:32,?,11.153269,?,32.321693,400,400.068756,25,30.964157
08/06/2021;10:38:33,?,11.144165,?,32.172211,400,400.078369,25,30.971767
08/06/2021;10:38:34,?,11.136377,?,32.033607,400,400.18396,25,30.977983
08/06/2021;10:38:35,?,11.134355,?,31.915403,400,400.198853,25,30.982578
08/06/2021;10:38:36,?,11.126589,?,31.798267,400,400.113068,25,30.994595
08/06/2021;10:38:37,?,11.126589,?,31.704729,400,400.034424,25,31.014521
08/06/2021;10:38:38,?,11.114069,?,31.603281,400,400.114197,25,31.036064
08/06/2021;10:38:39,?,11.100569,?,31.603281,400,400.114197,25,31.036064
08/06/2021;10:38:40,?,11.086775,?,31.508759,400,399.952179,25,31.052723
08/06/2021;10:38:41,?,11.07898,?,31.416664,400,399.850311,25,31.065294
08/06/2021;10:38:42,?,11.068978,?,31.320818,400,399.847229,25,31.086571
08/06/2021;10:38:43,?,11.058489,?,31.23213,400,399.917511,25,31.09989
08/06/2021;10:38:44,?,11.052176,?,31.145456,400,400.011688,25,31.111547
08/06/2021;10:38:45,?,11.045982,?,31.055109,400,400.020203,25,31.127705
08/06/2021;10:38:46,?,11.040834,?,30.955683,400,400.070496,25,31.13797
08/06/2021;10:38:47,?,11.039894,?,30.873407,400,399.985901,25,31.135983
08/06/2021;10:38:48,?,11.039701,?,30.809738,400,400.026947,25,31.139189
08/06/2021;10:38:49,?,11.04089,?,30.759825,400,399.980286,25,31.143328
08/06/2021;10:38:50,?,11.040497,?,30.6996,400,399.872498,25,31.139835
08/06/2021;10:38:51,?,11.037289,?,30.642406,400,399.925781,25,31.149143
08/06/2021;10:38:52,?,11.037289,?,30.614529,400,399.911285,25,31.169254
08/06/2021;10:38:53,?,11.034293,?,30.570827,400,399.785767,25,31.189863
08/06/2021;10:38:54,?,11.033085,?,30.538681,400,399.726593,25,31.203112
08/06/2021;10:38:55,?,11.029263,?,30.538681,400,399.726593,25,31.203112
08/06/2021;10:38:56,?,11.028075,?,30.504604,400,399.737793,25,31.201359
08/06/2021;10:38:57,?,11.023023,?,30.480122,400,399.67746,25,31.197607
08/06/2021;10:38:58,?,11.019716,?,30.417839,400,399.750916,25,31.209332
08/06/2021;10:38:59,?,11.019006,?,30.378637,400,399.787567,25,31.214504
08/06/2021;10:39:00,?,11.019117,?,30.318558,400,399.761475,25,31.219217
08/06/2021;10:39:01,?,11.018495,?,30.292648,400,399.691925,25,31.228569
08/06/2021;10:39:02,?,11.020908,?,30.252789,400,399.632965,25,31.234722
08/06/2021;10:39:03,?,11.031086,?,30.218113,400,399.655609,25,31.225319
08/06/2021;10:39:04,?,11.031783,?,30.182125,400,399.672821,25,31.22731
08/06/2021;10:39:05,?,11.03124,?,30.159575,400,399.717896,25,31.232193
08/06/2021;10:39:06,?,11.035643,?,30.126518,400,399.704468,25,31.222141
08/06/2021;10:39:07,?,11.046727,?,30.116348,400,399.638153,25,31.2136
08/06/2021;10:39:08,?,11.052046,?,30.116348,400,399.638153,25,31.2136
08/06/2021;10:39:09,?,11.054698,?,30.103195,400,399.50528,25,31.208496
08/06/2021;10:39:10,?,11.050408,?,30.070002,400,399.489227,25,31.196518
08/06/2021;10:39:11,?,11.050408,?,30.03969,400,399.628082,25,31.182638
08/06/2021;10:39:12,?,11.042072,?,30.019169,400,399.656738,25,31.180305
08/06/2021;10:39:13,?,11.033051,?,29.991842,400,399.648102,25,31.18626
08/06/2021;10:39:14,?,11.026502,?,29.988764,400,399.618256,25,31.180149
08/06/2021;10:39:15,?,11.027808,?,29.967247,400,399.605347,25,31.173389
08/06/2021;10:39:16,?,11.032265,?,29.956861,400,399.60675,25,31.173904
08/06/2021;10:39:17,?,11.038698,?,29.929031,400,399.638916,25,31.174534
08/06/2021;10:39:18,?,11.041248,?,29.898378,400,400.04422,25,31.177919
08/06/2021;10:39:19,?,11.04212,?,29.875778,400,400.274963,25,31.191818
08/06/2021;10:39:20,?,11.044915,?,29.847462,400,400.395416,25,31.200222
08/06/2021;10:39:21,?,11.039923,?,29.820475,400,400.512787,25,31.202185
08/06/2021;10:39:22,?,11.031867,?,29.820475,400,400.512787,25,31.202185
08/06/2021;10:39:23,?,11.021585,?,29.793316,400,400.617981,25,31.214041
08/06/2021;10:39:24,?,11.007484,?,29.762058,400,400.639618,25,31.23382
08/06/2021;10:39:25,?,11.007484,?,29.715174,400,400.56073,25,31.250616
08/06/2021;10:39:26,?,11.00146,?,29.686888,400,400.456787,25,31.25087
08/06/2021;10:39:27,?,11.002391,?,29.646719,400,400.330627,25,31.254162
08/06/2021;10:39:28,?,11.002834,?,29.59322,400,400.182526,25,31.259258
08/06/2021;10:39:29,?,11.009101,?,29.56097,400,400.206909,25,31.274935
08/06/2021;10:39:30,?,11.012703,?,29.544809,400,400.203094,25,31.285244
08/06/2021;10:39:31,?,11.005516,?,29.530066,400,400.291229,25,31.285398
08/06/2021;10:39:32,?,10.991368,?,29.48864,400,400.230835,25,31.289341
08/06/2021;10:39:33,?,10.975367,?,29.452179,400,400.184784,25,31.28899
08/06/2021;10:39:34,?,10.967144,?,29.429043,400,400.300964,25,31.289541
08/06/2021;10:39:35,?,10.9688,?,29.412436,400,400.362854,25,31.293755
08/06/2021;10:39:36,?,10.968086,?,29.370314,400,400.250916,25,31.3036
08/06/2021;10:39:37,?,10.968086,?,29.33112,400,400.208923,25,31.305618
08/06/2021;10:39:38,?,10.960965,?,29.33112,400,400.208923,25,31.305618
08/06/2021;10:39:39,?,10.947779,?,29.29858,400,400.373962,25,31.303053
08/06/2021;10:39:40,?,10.939855,?,29.286879,400,400.344177,25,31.312572
08/06/2021;10:39:41,?,10.941224,?,29.26086,400,400.321991,25,31.317753
08/06/2021;10:39:42,?,10.936262,?,29.253742,400,400.283508,25,31.317543
08/06/2021;10:39:43,?,10.93229,?,29.263418,400,400.263,25,31.323389
08/06/2021;10:39:44,?,10.927526,?,29.252827,400,400.288513,25,31.334633
08/06/2021;10:39:45,?,10.928717,?,29.242748,400,400.281738,25,31.339531
08/06/2021;10:39:46,?,10.929878,?,29.245275,400,400.251892,25,31.343525
08/06/2021;10:39:47,?,10.924192,?,29.241163,400,400.336731,25,31.345877
08/06/2021;10:39:48,?,10.91553,?,29.261171,400,400.356995,25,31.338425
08/06/2021;10:39:49,?,10.928936,?,29.275415,400,400.24469,25,31.328602
08/06/2021;10:39:50,?,10.94814,?,29.276205,400,400.153412,25,31.334248
08/06/2021;10:39:51,?,10.973942,?,29.282238,400,400.028839,25,31.343702
08/06/2021;10:39:52,?,11.002868,?,29.269974,400,400.056702,25,31.340254
08/06/2021;10:39:53,?,11.002868,?,29.269974,400,400.056702,25,31.340254
08/06/2021;10:39:54,?,11.033435,?,29.259861,400,399.925964,25,31.3302
08/06/2021;10:39:55,?,11.050842,?,29.250847,400,399.815277,25,31.332815
08/06/2021;10:39:56,?,11.057668,?,29.267769,400,399.856171,25,31.34692
08/06/2021;10:39:57,?,11.046174,?,29.278711,400,399.860931,25,31.351639
08/06/2021;10:39:58,?,11.043755,?,29.279711,400,399.855682,25,31.355377
08/06/2021;10:39:59,?,11.033619,?,29.275154,400,399.892303,25,31.364412
08/06/2021;10:40:00,?,11.0233,?,29.272488,400,399.875397,25,31.382725
08/06/2021;10:40:01,?,11.025724,?,29.254681,400,399.80603,25,31.398451
08/06/2021;10:40:02,?,11.039768,?,29.23171,400,399.779358,25,31.408529
08/06/2021;10:40:03,?,11.067909,?,29.212158,400,399.813507,25,31.418211
08/06/2021;10:40:04,?,11.078301,?,29.187809,400,399.962799,25,31.426119
08/06/2021;10:40:05,?,11.07407,?,29.168282,400,399.975159,25,31.440094
08/06/2021;10:40:06,?,11.07407,?,29.157358,400,399.913757,25,31.451248
08/06/2021;10:40:07,?,11.063856,?,29.157358,400,399.913757,25,31.451248
08/06/2021;10:40:08,?,11.056196,?,29.132763,400,399.963226,25,31.458595
08/06/2021;10:40:09,?,11.050868,?,29.114975,400,399.906281,25,31.458225
08/06/2021;10:40:10,?,11.048837,?,29.095623,400,399.784821,25,31.450476
08/06/2021;10:40:11,?,11.063931,?,29.070526,400,399.868896,25,31.452944
08/06/2021;10:40:12,?,11.066401,?,29.044949,400,399.829559,25,31.462318
08/06/2021;10:40:13,?,11.040966,?,29.048351,400,399.737305,25,31.462868
08/06/2021;10:40:14,?,11.011308,?,29.052494,400,399.762634,25,31.4671
08/06/2021;10:40:15,?,10.984547,?,29.053349,400,399.8255,25,31.480793
08/06/2021;10:40:16,?,10.973083,?,29.039595,400,399.829865,25,31.481445
08/06/2021;10:40:17,?,10.969167,?,29.010092,400,399.785858,25,31.478497
08/06/2021;10:40:18,?,10.937307,?,28.995312,400,399.645935,25,31.481884
08/06/2021;10:40:19,?,10.883698,?,28.965729,400,399.624451,25,31.486523
08/06/2021;10:40:20,?,10.831011,?,28.917933,400,399.719452,25,31.492481
08/06/2021;10:40:21,?,10.831011,?,28.888378,400,399.846161,25,31.498558
08/06/2021;10:40:22,?,10.767292,?,28.888378,400,399.846161,25,31.498558
08/06/2021;10:40:23,?,10.713663,?,28.840954,400,399.907135,25,31.502832
08/06/2021;10:40:24,?,10.67557,?,28.796238,400,399.779144,25,31.503649
08/06/2021;10:40:25,?,10.670102,?,28.760899,400,399.718323,25,31.508541
08/06/2021;10:40:26,?,10.657794,?,28.728363,400,399.749146,25,31.511669
08/06/2021;10:40:27,?,10.635981,?,28.698797,400,399.797455,25,31.513744
08/06/2021;10:40:28,?,10.604608,?,28.668739,400,399.809753,25,31.510582
08/06/2021;10:40:29,?,10.602328,?,28.610182,400,399.805695,25,31.512526
08/06/2021;10:40:30,?,10.591392,?,28.560528,400,399.852661,25,31.521856
08/06/2021;10:40:31,?,10.578388,?,28.517796,400,399.794464,25,31.518784
08/06/2021;10:40:32,?,10.553219,?,28.48048,400,399.803558,25,31.50563
08/06/2021;10:40:33,?,10.530246,?,28.431929,400,399.820557,25,31.50157
08/06/2021;10:40:34,?,10.530246,?,28.407803,400,399.775116,25,31.502115
08/06/2021;10:40:35,?,10.506208,?,28.407803,400,399.775116,25,31.502115
08/06/2021;10:40:36,?,10.484521,?,28.360744,400,399.741516,25,31.498562
