REPORT START/STOP
Start Time,01/06/2021,14:21:14
End Time,01/06/2021,14:30:15

Program,R290_pi_4.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
01/06/2021;14:21:14,?,29.951712,?,48.858067,400,0,25,34.985027
01/06/2021;14:21:15,?,29.951712,?,48.791992,400,0,25,34.9799
01/06/2021;14:21:16,?,29.939983,?,48.730099,400,0,25,34.978764
01/06/2021;14:21:17,?,29.927141,?,48.647572,400,0,25,34.982647
01/06/2021;14:21:18,?,29.91523,?,48.559547,400,108.537567,25,34.994217
01/06/2021;14:21:19,?,29.901485,?,48.465599,400,456.095764,25,34.995674
01/06/2021;14:21:20,?,29.889837,?,48.38847,400,584.447937,25,34.99081
01/06/2021;14:21:21,?,29.876347,?,48.316216,400,591.394836,25,34.982994
01/06/2021;14:21:22,?,29.865726,?,48.281605,400,555.405701,25,34.975975
01/06/2021;14:21:23,?,29.853064,?,48.281605,400,555.405701,25,34.975975
01/06/2021;14:21:24,?,29.84132,?,48.26128,400,497.499725,25,34.967747
01/06/2021;14:21:25,?,29.827766,?,48.238701,400,445.622498,25,34.960255
01/06/2021;14:21:26,?,29.816248,?,48.238815,400,387.758057,25,34.955803
01/06/2021;14:21:27,?,29.816248,?,48.196949,400,342.731598,25,34.959496
01/06/2021;14:21:28,?,29.804016,?,48.136925,400,349.865784,25,34.966679
01/06/2021;14:21:29,?,29.793053,?,48.079285,400,369.362213,25,34.968895
01/06/2021;14:21:30,?,29.780659,?,48.03368,400,378.207977,25,34.966026
01/06/2021;14:21:31,?,29.768536,?,47.982315,400,376.523071,25,34.953659
01/06/2021;14:21:32,?,29.756144,?,47.928726,400,374.070404,25,34.938061
01/06/2021;14:21:33,?,29.74395,?,47.891693,400,375.265167,25,34.927105
01/06/2021;14:21:34,?,29.731571,?,47.891693,400,375.265167,25,34.927105
01/06/2021;14:21:35,?,29.719887,?,47.863194,400,379.183502,25,34.915977
01/06/2021;14:21:36,?,29.706745,?,47.844151,400,381.904388,25,34.905968
01/06/2021;14:21:37,?,29.693653,?,47.833939,400,383.304291,25,34.899696
01/06/2021;14:21:38,?,29.683813,?,47.859886,400,384.640289,25,34.897255
01/06/2021;14:21:39,?,29.683813,?,47.904091,400,386.110535,25,34.897854
