REPORT START/STOP
Start Time,31/05/2021,12:51:50
End Time,31/05/2021,14:14:53

Program,R290_pi_4
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
31/05/2021;12:53:02,?,6.304992,?,18.366646,400,399.390289,25,20.791454
31/05/2021;12:53:03,?,6.178978,?,18.27409,400,399.409607,25,20.789518
31/05/2021;12:53:04,?,6.099044,?,18.155111,400,399.440979,25,20.799768
31/05/2021;12:53:05,?,6.025044,?,18.023054,400,399.481537,25,20.808146
31/05/2021;12:53:06,?,5.957075,?,17.887606,400,399.487122,25,20.810694
31/05/2021;12:53:07,?,5.904831,?,17.779858,400,399.542297,25,20.80859
31/05/2021;12:53:08,?,5.859254,?,17.680239,400,399.560394,25,20.795586
31/05/2021;12:53:09,?,5.840022,?,17.680239,400,399.560394,25,20.795586
31/05/2021;12:53:10,?,5.840022,?,17.534639,400,399.557098,25,20.80274
31/05/2021;12:53:11,?,5.806032,?,17.422264,400,399.455566,25,20.818344
31/05/2021;12:53:12,?,5.806032,?,17.262047,400,399.388245,25,20.826801
31/05/2021;12:53:13,?,5.789813,?,17.140202,400,399.315125,25,20.832386
31/05/2021;12:53:14,?,5.763206,?,16.990761,400,399.316742,25,20.835398
31/05/2021;12:53:15,?,5.727067,?,16.829348,400,399.320496,25,20.831656
31/05/2021;12:53:16,?,5.68202,?,16.655834,400,399.266724,25,20.826239
31/05/2021;12:53:17,?,5.631142,?,16.488686,400,399.748291,25,20.833143
31/05/2021;12:53:18,?,5.57416,?,16.331713,400,400.19574,25,20.841482
31/05/2021;12:53:19,?,5.525168,?,16.331713,400,400.19574,25,20.841482
31/05/2021;12:53:20,?,5.476261,?,16.160402,400,400.393433,25,20.853035
31/05/2021;12:53:21,?,5.423839,?,15.977588,400,400.480774,25,20.872963
31/05/2021;12:53:22,?,5.376366,?,15.791688,400,400.512939,25,20.880262
31/05/2021;12:53:23,?,5.327175,?,15.624094,400,400.460663,25,20.883694
31/05/2021;12:53:24,?,5.327175,?,15.447008,400,400.402679,25,20.890549
31/05/2021;12:53:25,?,5.283548,?,15.25374,400,400.387848,25,20.904362
31/05/2021;12:53:26,?,5.235511,?,15.062164,400,400.383606,25,20.914719
31/05/2021;12:53:27,?,5.193003,?,14.913327,400,400.440491,25,20.913084
31/05/2021;12:53:28,?,5.154419,?,14.737814,400,400.437286,25,20.919777
31/05/2021;12:53:29,?,5.115021,?,14.737814,400,400.437286,25,20.919777
31/05/2021;12:53:30,?,5.079429,?,14.58063,400,400.427368,25,20.923157
31/05/2021;12:53:31,?,5.043683,?,14.412185,400,400.393494,25,20.936113
31/05/2021;12:53:32,?,5.008103,?,14.266412,400,400.384247,25,20.947067
31/05/2021;12:53:33,?,4.971868,?,14.12092,400,400.392365,25,20.950283
31/05/2021;12:53:34,?,4.939802,?,13.961922,400,400.396362,25,20.961388
31/05/2021;12:53:35,?,4.939802,?,13.81339,400,400.309204,25,20.974426
31/05/2021;12:53:36,?,4.912574,?,13.67021,400,400.116241,25,20.984509
31/05/2021;12:53:37,?,4.889392,?,13.530204,400,400.011749,25,20.994982
31/05/2021;12:53:38,?,4.85783,?,13.375151,400,399.982697,25,21.00423
31/05/2021;12:53:39,?,4.829906,?,13.255528,400,399.98468,25,21.010736
31/05/2021;12:53:40,?,4.804786,?,13.107272,400,399.972656,25,21.014652
31/05/2021;12:53:41,?,4.78229,?,12.986232,400,399.96814,25,21.013796
31/05/2021;12:53:42,?,4.753893,?,12.986232,400,399.96814,25,21.013796
31/05/2021;12:53:43,?,4.732009,?,12.879766,400,399.977539,25,21.025286
31/05/2021;12:53:44,?,4.709713,?,12.764829,400,399.896179,25,21.034113
31/05/2021;12:53:45,?,4.683543,?,12.645808,400,399.896973,25,21.050335
31/05/2021;12:53:46,?,4.656362,?,12.540266,400,399.899353,25,21.070835
31/05/2021;12:53:47,?,4.656362,?,12.441658,400,399.864258,25,21.080601
31/05/2021;12:53:48,?,4.625203,?,12.329664,400,399.936859,25,21.082079
31/05/2021;12:53:49,?,4.598807,?,12.211697,400,399.96875,25,21.087603
31/05/2021;12:53:50,?,4.573205,?,12.095824,400,399.919861,25,21.102676
31/05/2021;12:53:51,?,4.549112,?,11.99633,400,399.911072,25,21.117167
31/05/2021;12:53:52,?,4.523463,?,11.903351,400,399.861298,25,21.126507
31/05/2021;12:53:53,?,4.497835,?,11.822648,400,399.859314,25,21.129583
31/05/2021;12:53:54,?,4.480005,?,11.822648,400,399.859314,25,21.129583
31/05/2021;12:53:55,?,4.462843,?,11.735083,400,399.802521,25,21.137831
31/05/2021;12:53:56,?,4.462843,?,11.625196,400,399.714325,25,21.153044
31/05/2021;12:53:57,?,4.442393,?,11.542209,400,399.646912,25,21.163265
31/05/2021;12:53:58,?,4.420608,?,11.448117,400,399.610382,25,21.168579
31/05/2021;12:53:59,?,4.393929,?,11.371659,400,399.643921,25,21.174868
31/05/2021;12:54:00,?,4.367699,?,11.293504,400,399.622986,25,21.19273
31/05/2021;12:54:01,?,4.34182,?,11.227417,400,399.59201,25,21.209717
31/05/2021;12:54:02,?,4.315216,?,11.14553,400,399.739563,25,21.212263
31/05/2021;12:54:03,?,4.289788,?,11.14553,400,399.739563,25,21.212263
31/05/2021;12:54:04,?,4.257993,?,11.076818,400,399.891235,25,21.210806
31/05/2021;12:54:05,?,4.229856,?,11.006756,400,399.963104,25,21.218145
31/05/2021;12:54:06,?,4.200904,?,10.931965,400,399.981049,25,21.234333
31/05/2021;12:54:07,?,4.173482,?,10.857536,400,400.028198,25,21.255096
31/05/2021;12:54:08,?,4.143366,?,10.771241,400,400.043823,25,21.269751
31/05/2021;12:54:09,?,4.143366,?,10.704646,400,399.988251,25,21.284763
31/05/2021;12:54:10,?,4.112438,?,10.657035,400,399.993835,25,21.29454
31/05/2021;12:54:11,?,4.074554,?,10.575279,400,400.025513,25,21.294605
31/05/2021;12:54:12,?,4.042451,?,10.510569,400,399.992126,25,21.304605
31/05/2021;12:54:13,?,4.016329,?,10.468108,400,399.990356,25,21.313585
31/05/2021;12:54:14,?,3.990075,?,10.421638,400,399.970978,25,21.317291
31/05/2021;12:54:15,?,3.966629,?,10.384038,400,399.954681,25,21.314568
31/05/2021;12:54:16,?,3.941651,?,10.384038,400,399.954681,25,21.314568
31/05/2021;12:54:17,?,3.924286,?,10.317846,400,400.024506,25,21.325478
31/05/2021;12:54:18,?,3.924286,?,10.259607,400,400.07843,25,21.351858
31/05/2021;12:54:19,?,3.908362,?,10.206512,400,400.029114,25,21.381573
31/05/2021;12:54:20,?,3.893144,?,10.160335,400,399.961151,25,21.411551
31/05/2021;12:54:21,?,3.880774,?,10.123776,400,399.934998,25,21.423767
31/05/2021;12:54:22,?,3.868801,?,10.092842,400,399.955841,25,21.431412
31/05/2021;12:54:23,?,3.860685,?,10.039905,400,399.97226,25,21.435129
31/05/2021;12:54:24,?,3.853177,?,9.996561,400,400.031006,25,21.446745
31/05/2021;12:54:25,?,3.845723,?,9.948825,400,400.036499,25,21.459612
31/05/2021;12:54:26,?,3.837075,?,9.906576,400,400.00946,25,21.477161
31/05/2021;12:54:27,?,3.830591,?,9.873157,400,400.00293,25,21.491499
31/05/2021;12:54:28,?,3.82531,?,9.873157,400,400.00293,25,21.491499
31/05/2021;12:54:29,?,3.82531,?,9.84447,400,400.003815,25,21.499794
31/05/2021;12:54:30,?,3.824393,?,9.807526,400,400.04834,25,21.504639
31/05/2021;12:54:31,?,3.823671,?,9.775807,400,400.112732,25,21.510948
31/05/2021;12:54:32,?,3.822265,?,9.738862,400,400.079285,25,21.525023
31/05/2021;12:54:33,?,3.820457,?,9.717249,400,400.050171,25,21.546394
31/05/2021;12:54:34,?,3.8166,?,9.681338,400,399.991516,25,21.565123
31/05/2021;12:54:35,?,3.81633,?,9.659371,400,399.866058,25,21.587414
31/05/2021;12:54:36,?,3.819846,?,9.647831,400,399.913605,25,21.610197
31/05/2021;12:54:37,?,3.829148,?,9.624236,400,400.020264,25,21.618685
31/05/2021;12:54:38,?,3.835352,?,9.624236,400,400.020264,25,21.618685
31/05/2021;12:54:39,?,3.835352,?,9.625528,400,399.998596,25,21.624969
31/05/2021;12:54:40,?,3.842795,?,9.61982,400,399.972443,25,21.639381
31/05/2021;12:54:41,?,3.849415,?,9.618338,400,399.956696,25,21.660662
31/05/2021;12:54:42,?,3.853802,?,9.613016,400,399.91864,25,21.680256
31/05/2021;12:54:43,?,3.860319,?,9.587364,400,399.911621,25,21.688955
31/05/2021;12:54:44,?,3.866482,?,9.582745,400,399.87384,25,21.69817
31/05/2021;12:54:45,?,3.871081,?,9.565563,400,399.813263,25,21.716293
31/05/2021;12:54:46,?,3.877143,?,9.581964,400,399.795959,25,21.741383
31/05/2021;12:54:47,?,3.884685,?,9.587638,400,399.738678,25,21.756397
31/05/2021;12:54:48,?,3.890443,?,9.584841,400,399.72406,25,21.758543
31/05/2021;12:54:49,?,3.897741,?,9.588435,400,399.700562,25,21.759279
31/05/2021;12:54:50,?,3.910563,?,9.588435,400,399.700562,25,21.759279
31/05/2021;12:54:51,?,3.910563,?,9.571401,400,399.67041,25,21.766947
31/05/2021;12:54:52,?,3.915643,?,9.574607,400,399.62738,25,21.781252
