REPORT START/STOP
Start Time,01/06/2021,14:12:38
End Time,01/06/2021,14:16:16

Program,R290_pi_4.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
01/06/2021;14:13:50,?,13.158866,?,36.903996,400,399.93045,25,33.751431
01/06/2021;14:13:51,?,13.12451,?,36.778519,400,399.908173,25,33.761974
01/06/2021;14:13:52,?,13.085285,?,36.627594,400,399.961548,25,33.770844
01/06/2021;14:13:53,?,13.038708,?,36.467888,400,399.906403,25,33.786125
01/06/2021;14:13:54,?,12.986625,?,36.289642,400,399.860016,25,33.80983
01/06/2021;14:13:55,?,12.957409,?,36.141056,400,399.803955,25,33.835255
01/06/2021;14:13:56,?,12.942907,?,35.999245,400,399.773407,25,33.851227
01/06/2021;14:13:57,?,12.884668,?,35.870499,400,399.866119,25,33.862438
01/06/2021;14:13:58,?,12.855541,?,35.731586,400,399.869324,25,33.868019
01/06/2021;14:13:59,?,12.927795,?,35.615154,400,399.859711,25,33.868923
01/06/2021;14:14:00,?,12.951054,?,35.615154,400,399.859711,25,33.868923
01/06/2021;14:14:01,?,12.951054,?,35.506493,400,399.865234,25,33.872791
01/06/2021;14:14:02,?,12.798149,?,35.396641,400,399.832428,25,33.880299
01/06/2021;14:14:03,?,12.798149,?,35.292034,400,399.781067,25,33.895729
01/06/2021;14:14:04,?,12.72393,?,35.198296,400,399.760193,25,33.914677
01/06/2021;14:14:05,?,12.703897,?,35.108986,400,399.788574,25,33.924946
01/06/2021;14:14:06,?,12.716229,?,35.028725,400,399.838654,25,33.929329
01/06/2021;14:14:07,?,12.741481,?,34.956284,400,399.883606,25,33.934467
01/06/2021;14:14:08,?,12.761312,?,34.864941,400,399.911652,25,33.939442
01/06/2021;14:14:09,?,12.781168,?,34.82526,400,399.892639,25,33.948353
01/06/2021;14:14:10,?,12.790565,?,34.802628,400,399.895264,25,33.960354
01/06/2021;14:14:11,?,12.802406,?,34.758301,400,399.913361,25,33.972046
01/06/2021;14:14:12,?,12.793194,?,34.732243,400,399.866821,25,33.984333
01/06/2021;14:14:13,?,12.744686,?,34.732243,400,399.866821,25,33.984333
01/06/2021;14:14:14,?,12.641075,?,34.702808,400,399.754517,25,33.994476
01/06/2021;14:14:15,?,12.515793,?,34.69529,400,399.624756,25,33.995655
01/06/2021;14:14:16,?,12.460062,?,34.688087,400,399.620514,25,33.997372
01/06/2021;14:14:17,?,12.480502,?,34.67643,400,399.700409,25,33.9995
01/06/2021;14:14:18,?,12.480502,?,34.653008,400,399.765991,25,34.007446
01/06/2021;14:14:19,?,12.514065,?,34.613914,400,399.745941,25,34.026474
01/06/2021;14:14:20,?,12.523778,?,34.595882,400,399.728241,25,34.037567
01/06/2021;14:14:21,?,12.511079,?,34.573296,400,399.64801,25,34.041302
01/06/2021;14:14:22,?,12.422593,?,34.545288,400,399.555481,25,34.057022
01/06/2021;14:14:23,?,12.34921,?,34.480515,400,399.548706,25,34.073051
01/06/2021;14:14:24,?,12.324918,?,34.42767,400,399.575165,25,34.074718
01/06/2021;14:14:25,?,12.285145,?,34.372299,400,399.566223,25,34.074291
01/06/2021;14:14:26,?,12.237202,?,34.316643,400,399.468689,25,34.074795
01/06/2021;14:14:27,?,12.169129,?,34.252411,400,399.389099,25,34.075928
01/06/2021;14:14:28,?,12.084094,?,34.175388,400,399.311615,25,34.073418
01/06/2021;14:14:29,?,12.027617,?,34.175388,400,399.311615,25,34.073418
01/06/2021;14:14:30,?,11.965923,?,34.088638,400,399.374664,25,34.073051
01/06/2021;14:14:31,?,11.918975,?,34.016491,400,399.7612,25,34.075462
01/06/2021;14:14:32,?,11.876739,?,33.936047,400,399.988037,25,34.076714
01/06/2021;14:14:33,?,11.844837,?,33.865368,400,400.102356,25,34.087189
01/06/2021;14:14:34,?,11.844837,?,33.779041,400,400.131134,25,34.099232
01/06/2021;14:14:35,?,11.82357,?,33.696743,400,400.153503,25,34.108158
01/06/2021;14:14:36,?,11.796004,?,33.641933,400,400.158844,25,34.106754
01/06/2021;14:14:37,?,11.757863,?,33.581951,400,400.131012,25,34.100594
01/06/2021;14:14:38,?,11.72163,?,33.501949,400,400.142639,25,34.104458
01/06/2021;14:14:39,?,11.694389,?,33.42334,400,400.12442,25,34.115349
01/06/2021;14:14:40,?,11.674003,?,33.360718,400,400.093292,25,34.12315
01/06/2021;14:14:41,?,11.659011,?,33.293034,400,400.017578,25,34.126221
01/06/2021;14:14:42,?,11.62981,?,33.22113,400,399.993469,25,34.13488
01/06/2021;14:14:43,?,11.597572,?,33.156746,400,399.953369,25,34.149609
01/06/2021;14:14:44,?,11.561956,?,33.093197,400,399.946014,25,34.155602
01/06/2021;14:14:45,?,11.541855,?,33.011475,400,399.983948,25,34.159481
01/06/2021;14:14:46,?,11.519301,?,33.011475,400,399.983948,25,34.159481
01/06/2021;14:14:47,?,11.519301,?,32.942131,400,400.025116,25,34.166634
01/06/2021;14:14:48,?,11.487459,?,32.866055,400,399.979767,25,34.170868
01/06/2021;14:14:49,?,11.448698,?,32.805431,400,399.936829,25,34.169537
01/06/2021;14:14:50,?,11.413981,?,32.737144,400,399.862152,25,34.174721
01/06/2021;14:14:51,?,11.384808,?,32.674667,400,399.808807,25,34.187859
01/06/2021;14:14:52,?,11.356277,?,32.616501,400,399.803802,25,34.204369
01/06/2021;14:14:53,?,11.32939,?,32.547497,400,399.841827,25,34.222252
01/06/2021;14:14:54,?,11.302778,?,32.479786,400,399.80307,25,34.236866
01/06/2021;14:14:55,?,11.277497,?,32.413147,400,399.727936,25,34.249622
01/06/2021;14:14:56,?,11.246945,?,32.340706,400,399.716064,25,34.258823
01/06/2021;14:14:57,?,11.216554,?,32.263565,400,399.650299,25,34.272228
01/06/2021;14:14:58,?,11.189597,?,32.224842,400,399.58548,25,34.289383
01/06/2021;14:14:59,?,11.165283,?,32.224842,400,399.58548,25,34.289383
01/06/2021;14:15:00,?,11.165283,?,32.148777,400,399.523895,25,34.308857
01/06/2021;14:15:01,?,11.141747,?,32.083401,400,399.569489,25,34.323174
01/06/2021;14:15:02,?,11.118677,?,32.029343,400,399.59729,25,34.33363
01/06/2021;14:15:03,?,11.102255,?,31.963367,400,399.541534,25,34.340824
01/06/2021;14:15:04,?,11.085455,?,31.90904,400,399.465057,25,34.351322
01/06/2021;14:15:05,?,11.061653,?,31.844788,400,399.434296,25,34.358829
01/06/2021;14:15:06,?,11.040335,?,31.764587,400,399.421906,25,34.369469
01/06/2021;14:15:07,?,11.015895,?,31.713272,400,399.970062,25,34.379597
01/06/2021;14:15:08,?,10.990257,?,31.671022,400,400.342712,25,34.393009
01/06/2021;14:15:09,?,10.961946,?,31.623329,400,400.411316,25,34.407608
01/06/2021;14:15:10,?,10.931363,?,31.551132,400,400.419708,25,34.42358
01/06/2021;14:15:11,?,10.904872,?,31.50382,400,400.447144,25,34.444595
01/06/2021;14:15:12,?,10.882617,?,31.440424,400,400.498505,25,34.45932
01/06/2021;14:15:13,?,10.861053,?,31.390245,400,400.566772,25,34.459324
01/06/2021;14:15:14,?,10.841684,?,31.338764,400,400.561127,25,34.463032
01/06/2021;14:15:15,?,10.825987,?,31.29673,400,400.563934,25,34.46838
01/06/2021;14:15:16,?,10.811032,?,31.257668,400,400.55835,25,34.46579
01/06/2021;14:15:17,?,10.794863,?,31.257668,400,400.55835,25,34.46579
01/06/2021;14:15:18,?,10.794863,?,31.227524,400,400.443207,25,34.457378
01/06/2021;14:15:19,?,10.773325,?,31.199354,400,400.179199,25,34.459652
01/06/2021;14:15:20,?,10.740187,?,31.170151,400,400.095093,25,34.469028
01/06/2021;14:15:21,?,10.708945,?,31.137608,400,400.12674,25,34.486324
01/06/2021;14:15:22,?,10.674451,?,31.10009,400,400.173584,25,34.503704
01/06/2021;14:15:23,?,10.637802,?,31.064442,400,400.219635,25,34.514515
01/06/2021;14:15:24,?,10.610725,?,31.019739,400,400.20166,25,34.53093
01/06/2021;14:15:25,?,10.592156,?,30.968351,400,400.250488,25,34.552917
01/06/2021;14:15:26,?,10.571503,?,30.935682,400,400.343231,25,34.570229
01/06/2021;14:15:27,?,10.545962,?,30.903948,400,400.383453,25,34.580395
