REPORT START/STOP
Start Time,10/06/2021,11:25:50
End Time,10/06/2021,11:27:07

Program,R290_pi_2.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_2
Date;Time,R1.P7.Setpoint_value,R1.P7.Process_value,R2.t7.Setpoint_value,R2.t7.Process_value,R2.Voltage.Setpoint_value,R2.Voltage.Process_value,R2.TAmb.Setpoint_value,R2.TAmb.Process_value
10/06/2021;11:25:50,?,23.576319,?,61.966362,400,0,25,36.34066
10/06/2021;11:25:51,?,23.570488,?,61.902351,400,0,25,36.299232
10/06/2021;11:25:52,?,23.563637,?,61.791035,400,0,25,36.249878
10/06/2021;11:25:53,?,23.557131,?,61.652664,400,0,25,36.212017
10/06/2021;11:25:54,?,23.551378,?,61.489742,400,0,25,36.180099
10/06/2021;11:25:55,?,23.544855,?,61.341248,400,0,25,36.166862
10/06/2021;11:25:56,?,23.539982,?,61.209236,400,0,25,36.153614
10/06/2021;11:25:57,?,23.539982,?,61.209236,400,0,25,36.153614
10/06/2021;11:25:58,?,23.53236,?,61.078934,400,0,25,36.138115
10/06/2021;11:25:59,?,23.52483,?,60.986774,400,0,25,36.131458
10/06/2021;11:26:00,?,23.517977,?,60.865082,400,0,25,36.135651
10/06/2021;11:26:01,?,23.513111,?,60.79739,400,0,25,36.140862
10/06/2021;11:26:02,?,23.508074,?,60.744438,400,0,25,36.1376
10/06/2021;11:26:03,?,23.505558,?,60.700039,400,0,25,36.12233
10/06/2021;11:26:04,?,23.50634,?,60.636311,400,0,25,36.123486
10/06/2021;11:26:05,?,23.504253,?,60.567314,400,0,25,36.126324
10/06/2021;11:26:06,?,23.502703,?,60.523277,400,0,25,36.12513
10/06/2021;11:26:07,?,23.500338,?,60.486862,400,0,25,36.117668
10/06/2021;11:26:08,?,23.500338,?,60.418079,400,0,25,36.110535
10/06/2021;11:26:09,?,23.495441,?,60.280945,400,0,25,36.102158
