REPORT START/STOP
Start Time,22/01/2021,13:21:09
End Time,22/01/2021,14:34:26

Program,R410A_pi_6.5
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
22/01/2021;13:22:10,10.365734,6.083073,19.634266,41.911896,11.487081,-1.30259,106.714272
22/01/2021;13:22:11,10.337733,6.067525,19.662266,41.962975,11.391974,-2.002511,106.981911
22/01/2021;13:22:12,10.306534,6.046971,19.693466,42.017006,11.299123,-2.777179,107.220184
22/01/2021;13:22:13,10.278934,6.023393,19.721066,42.065044,11.193652,-3.598046,107.453568
22/01/2021;13:22:14,10.247467,5.985464,19.752533,42.113728,11.098998,-4.263866,107.657402
22/01/2021;13:22:15,10.219734,5.939872,19.780266,42.157074,11.005246,-4.785129,107.849022
22/01/2021;13:22:16,10.219734,5.939872,19.780266,42.157074,10.911944,-5.233329,108.036247
22/01/2021;13:22:17,10.181734,5.86646,19.818266,42.193867,10.911944,-5.233329,108.036247
22/01/2021;13:22:18,10.153867,5.809551,19.846134,42.212429,10.782584,-5.704249,108.232101
22/01/2021;13:22:19,10.126133,5.751156,19.873867,42.221058,10.677112,-6.03823,108.390808
22/01/2021;13:22:20,10.126133,5.751156,19.873867,42.221058,10.571641,-6.360133,108.568161
22/01/2021;13:22:21,10.0808,5.664669,19.919201,42.220661,10.489156,-6.667039,108.760178
22/01/2021;13:22:22,10.049734,5.60574,19.950266,42.207226,10.383683,-7.002144,109.001999
22/01/2021;13:22:23,10.021999,5.553622,19.978001,42.186989,10.282269,-7.312546,109.265556
22/01/2021;13:22:24,9.992001,5.506308,20.007999,42.161034,10.176797,-7.642221,109.544518
22/01/2021;13:22:25,9.964133,5.466954,20.035866,42.132656,10.082595,-7.933809,109.82225
22/01/2021;13:22:26,9.932934,5.423321,20.067066,42.098583,10.082595,-7.933809,109.82225
22/01/2021;13:22:27,9.905201,5.386387,20.094799,42.0681,9.977122,-8.226262,110.164139
22/01/2021;13:22:28,9.873867,5.347074,20.126133,42.034096,9.870749,-8.505071,110.489883
22/01/2021;13:22:29,9.846001,5.310128,20.153999,42.004387,9.765279,-8.71376,110.797684
22/01/2021;13:22:30,9.818267,5.273561,20.181732,41.972466,9.671977,-8.90007,111.095245
22/01/2021;13:22:31,9.818267,5.273561,20.181732,41.972466,9.576871,-9.09643,111.426033
22/01/2021;13:22:32,9.787067,5.240849,20.212933,41.939323,9.483569,-9.273261,111.741028
22/01/2021;13:22:33,9.759334,5.209287,20.240665,41.905357,9.36683,-9.455511,112.055649
22/01/2021;13:22:34,9.727734,5.175214,20.272266,41.867523,9.283895,-9.63167,112.404114
22/01/2021;13:22:35,9.700267,5.14447,20.299732,41.834908,9.190593,-9.78374,112.747955
22/01/2021;13:22:36,9.672533,5.115456,20.327467,41.800728,9.190593,-9.78374,112.747955
22/01/2021;13:22:37,9.644533,5.087862,20.355467,41.77264,9.073403,-9.952497,113.071472
22/01/2021;13:22:38,9.613334,5.060363,20.386665,41.740482,8.990918,-10.10285,113.344162
22/01/2021;13:22:39,9.582267,5.033926,20.417732,41.70787,8.884995,-10.238717,113.600441
22/01/2021;13:22:40,9.554267,5.010412,20.445732,41.677948,8.779975,-10.364372,113.797188
22/01/2021;13:22:41,9.526533,4.984497,20.473467,41.647388,8.685773,-10.481912,113.985252
22/01/2021;13:22:42,9.498934,4.960691,20.501066,41.61932,8.592019,-10.576554,114.220924
22/01/2021;13:22:43,9.498934,4.960691,20.501066,41.61932,8.486548,-10.656325,114.503784
22/01/2021;13:22:44,9.467466,4.939472,20.532534,41.589748,8.404063,-10.718469,114.822739
22/01/2021;13:22:45,9.439867,4.918417,20.560133,41.553268,8.298593,-10.774693,115.172241
22/01/2021;13:22:46,9.412134,4.899156,20.587866,41.521538,8.204839,-10.790213,115.522209
22/01/2021;13:22:47,9.3808,4.881411,20.6192,41.490444,8.098916,-10.766283,115.847092
22/01/2021;13:22:48,9.353067,4.862912,20.646933,41.455368,8.098916,-10.766283,115.847092
22/01/2021;13:22:49,9.325334,4.845702,20.674667,41.425453,8.005164,-10.694406,116.159554
22/01/2021;13:22:50,9.294001,4.831398,20.705999,41.389225,7.91006,-10.560098,116.453537
22/01/2021;13:22:51,9.2628,4.817157,20.7372,41.361336,7.805039,-10.37758,116.731842
22/01/2021;13:22:52,9.235067,4.805129,20.764933,41.335747,7.700019,-10.120001,117.04718
22/01/2021;13:22:53,9.203733,4.794388,20.796267,41.316284,7.593646,-9.848615,117.328796
22/01/2021;13:22:54,9.203733,4.794388,20.796267,41.316284,7.499894,-9.574411,117.631828
22/01/2021;13:22:55,9.176001,4.788383,20.823999,41.302029,7.499894,-9.574411,117.631828
22/01/2021;13:22:56,9.1444,4.78345,20.8556,41.29303,7.359714,-9.227041,118.016876
