REPORT START/STOP
Start Time,25/01/2021,11:25:33
End Time,25/01/2021,13:38:31

Program,R410A_diverse
Batch,Jumo,,,,,,,,,,,,,,
Product,HE,,,,,,,,,,,,,,

REPORT DESCRIPTION

RECORDED VALUES : FR_1
Date;Time,R1.P1.Setpoint_value,R1.P1.Process_value,R1.P2.Setpoint_value,R1.P2.Process_value,R2.t1.Setpoint_value,R2.t1.Process_value,R2.t2.Process_value
25/01/2021;11:26:35,11.587167,9.445557,22.064167,35.283707,21.795559,13.53794,75.865532
25/01/2021;11:26:36,11.580267,8.051335,22.098667,35.2033,21.775429,12.557075,77.004623
25/01/2021;11:26:37,11.5724,7.563351,22.138,35.081154,21.752478,11.790783,78.365601
25/01/2021;11:26:38,11.5655,7.509077,22.172501,34.955254,21.732346,11.399791,79.619469
25/01/2021;11:26:39,11.558567,7.528995,22.207167,34.842258,21.709591,11.207855,80.89225
25/01/2021;11:26:40,11.550734,7.534833,22.246334,34.743252,21.691696,11.180806,82.06385
25/01/2021;11:26:41,11.5438,7.509321,22.280998,34.649014,21.669037,11.253188,83.199768
25/01/2021;11:26:42,11.536,7.460111,22.32,34.560009,21.64628,11.362819,84.29071
25/01/2021;11:26:43,11.529034,7.401306,22.354834,34.471485,21.64628,11.362819,84.29071
25/01/2021;11:26:44,11.5221,7.347937,22.3895,34.376884,21.625956,11.456474,85.261803
25/01/2021;11:26:45,11.5221,7.347937,22.3895,34.376884,21.605728,11.533609,86.13665
25/01/2021;11:26:46,11.515166,7.308795,22.424168,34.285454,21.580442,11.595716,86.912582
25/01/2021;11:26:47,11.5082,7.274124,22.459,34.195499,21.562645,11.640723,87.657082
25/01/2021;11:26:48,11.498667,7.243091,22.506666,34.085045,21.539888,11.669416,88.397072
25/01/2021;11:26:49,11.491667,7.227464,22.541666,34.007832,21.519661,11.684263,89.084732
25/01/2021;11:26:50,11.484767,7.209013,22.576166,33.93681,21.496807,11.69018,89.752846
25/01/2021;11:26:51,11.476967,7.188314,22.615166,33.875988,21.47658,11.675828,90.276123
25/01/2021;11:26:52,11.469967,7.175293,22.650166,33.822544,21.453629,11.640783,90.818199
25/01/2021;11:26:53,11.463034,7.163045,22.684834,33.778725,21.436026,11.600732,91.270767
25/01/2021;11:26:54,11.456133,7.148786,22.719334,33.74052,21.413269,11.543341,91.747055
25/01/2021;11:26:55,11.456133,7.148786,22.719334,33.74052,21.413269,11.543341,91.747055
25/01/2021;11:26:56,11.448267,7.134212,22.758667,33.700954,21.390318,11.480339,92.207458
25/01/2021;11:26:57,11.441334,7.126319,22.793333,33.669167,21.37009,11.418112,92.603561
25/01/2021;11:26:58,11.433567,7.12108,22.832167,33.639202,21.34996,11.344007,92.966087
25/01/2021;11:26:59,11.426567,7.114268,22.867167,33.607681,21.329536,11.256104,93.316414
25/01/2021;11:27:00,11.4188,7.105402,22.905998,33.580704,21.306877,11.171791,93.650124
25/01/2021;11:27:01,11.411,7.091043,22.945,33.550056,21.279064,11.085959,94.056618
25/01/2021;11:27:02,11.404034,7.078331,22.979834,33.522476,21.261269,11.021536,94.362526
25/01/2021;11:27:03,11.3962,7.069053,23.019001,33.490845,21.261269,11.021536,94.362526
25/01/2021;11:27:04,11.3893,7.060019,23.053499,33.462906,21.233454,10.943057,94.747032
25/01/2021;11:27:05,11.3893,7.060019,23.053499,33.462906,21.212934,10.872618,95.053352
25/01/2021;11:27:06,11.382334,7.056044,23.088333,33.434746,21.190275,10.823186,95.327072
25/01/2021;11:27:07,11.374534,7.053125,23.127333,33.408646,21.170145,10.786812,95.576935
25/01/2021;11:27:08,11.3676,7.047926,23.161999,33.384296,21.149721,10.743298,95.807663
25/01/2021;11:27:09,11.359767,7.041948,23.201166,33.355156,21.126965,10.702632,96.008369
25/01/2021;11:27:10,11.352834,7.039016,23.235832,33.327351,21.106834,10.679984,96.216805
25/01/2021;11:27:11,11.345834,7.034801,23.270832,33.300198,21.086412,10.674363,96.4095
25/01/2021;11:27:12,11.338933,7.029916,23.305332,33.272514,21.066185,10.676295,96.607857
25/01/2021;11:27:13,11.331433,7.03159,23.342833,33.248138,21.066185,10.676295,96.607857
25/01/2021;11:27:14,11.323633,7.034426,23.381832,33.220097,21.041775,10.689592,96.786682
25/01/2021;11:27:15,11.316633,7.031274,23.416832,33.189575,21.021645,10.705828,96.946655
25/01/2021;11:27:16,11.308833,7.033654,23.455833,33.156422,21.001221,10.728498,97.124016
25/01/2021;11:27:17,11.301933,7.041315,23.490334,33.127735,20.980993,10.756416,97.276108
25/01/2021;11:27:18,11.301933,7.041315,23.490334,33.127735,20.958334,10.796336,97.444672
25/01/2021;11:27:19,11.294933,7.046797,23.525333,33.099655,20.938009,10.851804,97.597672
25/01/2021;11:27:20,11.287133,7.049422,23.564333,33.06929,20.917782,10.913087,97.768051
25/01/2021;11:27:21,11.280233,7.051079,23.598833,33.037575,20.892496,10.979378,97.885155
25/01/2021;11:27:22,11.273233,7.053136,23.633833,33.006222,20.874699,11.056099,98.000267
25/01/2021;11:27:23,11.266334,7.062989,23.668333,32.975338,20.854471,11.147503,98.105286
25/01/2021;11:27:24,11.258533,7.072228,23.707333,32.945892,20.854471,11.147503,98.105286
25/01/2021;11:27:25,11.249833,7.076634,23.750834,32.909882,20.829185,11.271898,98.233337
25/01/2021;11:27:26,11.242033,7.080063,23.789833,32.879265,20.808861,11.371935,98.353264
25/01/2021;11:27:27,11.242033,7.080063,23.789833,32.879265,20.786104,11.475718,98.468056
25/01/2021;11:27:28,11.2351,7.082034,23.824499,32.843834,20.765585,11.603736,98.590775
25/01/2021;11:27:29,11.228133,7.088716,23.859333,32.816349,20.74555,11.719448,98.735207
25/01/2021;11:27:30,11.2212,7.092221,23.894001,32.787689,20.722794,11.873774,98.868973
25/01/2021;11:27:31,11.214267,7.096322,23.928667,32.75568,20.702372,12.027123,98.939514
25/01/2021;11:27:32,11.206433,7.102887,23.967833,32.725933,20.682144,12.19164,98.980904
25/01/2021;11:27:33,11.1995,7.106036,24.002499,32.692841,20.659485,12.351692,99.022987
25/01/2021;11:27:34,11.192467,7.109692,24.037666,32.665573,20.639063,12.508556,99.060677
25/01/2021;11:27:35,11.1847,7.112012,24.0765,32.634907,20.618834,12.680899,99.1007
25/01/2021;11:27:36,11.1778,7.118511,24.111,32.605877,20.598703,12.847221,99.143005
25/01/2021;11:27:37,11.1708,7.121802,24.146,32.576363,20.598703,12.847221,99.143005
25/01/2021;11:27:38,11.162133,7.131455,24.189333,32.545822,20.573322,13.064678,99.2304
25/01/2021;11:27:39,11.1561,7.143001,24.2195,32.520981,20.548037,13.28496,99.342186
25/01/2021;11:27:40,11.1491,7.154604,24.254499,32.499355,20.52528,13.487125,99.43145
