P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Current3,THD1,THD2,THD3,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
5,5.088573,22.5,22.636028,-4.331,-4.716154,115.850662,NaN,1.001252,NaN,29.097458,400,400.023315,25,30.442511,9.370899,36.147617,50.00404,401.589508,399.683624,398.95752,4410.418457,9.841353,9.397104,9.418112,1.726043,1.714812,1.668237,23.582478,37.012215,16.49152,-6.88568,37.144066,41.953876,110.240173,0.0791587010025978,514.736877,521.7484597657,2.24358356064776,0.0759130864310715,1.03802979098551,-13.841235846862,618.375828701698,2.32584874430337,0.0244447184487469,1.14986268755256,36.3240242818713,587.483182876576,89.3668769242459,0.0218555760678738,1.19172880437213
5,5.087777,22.5,22.635817,-4.331,-4.731391,115.912231,NaN,1.00193,NaN,29.064163,400,400.075745,25,30.445313,9.373798,36.161404,50.004391,401.415527,399.496643,398.738464,4414.649414,9.859764,9.409389,9.419737,1.721513,1.709435,1.667082,23.563543,37.024986,16.482353,-6.891259,37.154057,41.949131,110.252052,0.0703366622328758,514.872864,521.735588036456,2.24355812061388,0.0759200023820947,1.0380720030431,-13.8456041143601,618.446876279827,2.3260326971074,0.0244507435674525,1.14981584297951,36.3236502906252,587.473499395356,89.3584793319905,0.0218549553968133,1.19174820078517
5,5.087843,22.5,22.634441,-4.331,-4.743968,115.970932,NaN,1.002447,NaN,29.062183,400,399.991638,25,30.452808,9.37703,36.28241,50.004391,401.415527,399.496643,398.738464,4414.649414,9.859764,9.409389,9.419737,1.721513,1.709435,1.667082,23.563543,37.024986,16.482353,-6.891259,37.154057,41.949131,110.252052,0.0703366622328758,514.872864,521.722287410106,2.24350670092778,0.0759136061123695,1.03815890230167,-13.8452419014284,618.516019850146,2.32621905037241,0.0244579206733331,1.14975966391677,36.3212113066804,587.451852625634,89.3385411361092,0.0218544835319633,1.19178002827731
5,5.086986,22.5,22.634024,-4.331,-4.757117,115.98391,NaN,1.001094,NaN,29.043564,400,399.998657,25,30.453617,9.376657,36.432941,50.004391,401.59259,399.649536,398.927277,4410.546387,9.844881,9.398783,9.412747,1.726455,1.718014,1.668248,23.547178,36.986919,16.464441,-6.879157,37.124252,41.914833,110.292419,0.082668624818325,514.982422,521.711808744967,2.24349190025961,0.0759224230710864,1.03818316215761,-13.8499454614879,618.531441191676,2.32626130201516,0.0244596450382432,1.14974614733237,36.3204721447606,587.445576266275,89.3327369389712,0.0218543649597376,1.19178903101427
5,5.084477,22.5,22.632303,-4.331,-4.773394,115.990753,NaN,1.001275,NaN,29.036388,400,399.927032,25,30.437073,9.377073,36.598461,50.004391,401.412994,399.487305,398.763,4404.493164,9.854567,9.402462,9.40192,1.705462,1.705836,1.655414,23.557646,36.821537,16.462172,-6.905334,37.135929,41.896763,110.311699,0.090915285050869,514.996887,521.704199794709,2.24353454202382,0.0759576083198477,1.03810891440422,-13.8637193506633,618.541371567882,2.32629763910197,0.0244623862745635,1.14972409288386,36.3174214417604,587.457271958944,89.3403309794562,0.0218571157262957,1.19174033777589
5,5.08216,22.5,22.630856,-4.331,-4.791502,116.009285,NaN,1.001146,NaN,29.014458,400,399.875183,25,30.425253,9.38579,36.637245,50.004391,401.412994,399.487305,398.763,4404.493164,9.854567,9.402462,9.40192,1.705462,1.705836,1.655414,23.557646,36.821537,16.462172,-6.905334,37.135929,41.896763,110.311699,0.090915285050869,514.996887,521.693981895304,2.24356206061068,0.0759888371236976,1.03806040915468,-13.8764438234987,618.564412127372,2.32636594314631,0.0244658882402109,1.14969635360554,36.3148563045478,587.464084360551,89.3441811722401,0.0218591684796539,1.19170630267247
5,5.081995,22.5,22.629608,-4.331,-4.803926,115.998108,NaN,1.002524,NaN,29.000706,400,399.891876,25,30.434645,9.388132,36.592434,50.004391,401.37854,399.460602,398.750946,4409.288086,9.856334,9.40466,9.410776,1.704158,1.7034,1.651486,23.570992,36.9086,16.444036,-6.900304,37.113392,41.887318,110.325279,0.0828608646988869,514.988464,521.681695724467,2.24352094907209,0.0759863724212749,1.03812977792943,-13.8773501379654,618.553057578404,2.32634461178944,0.0244663648689476,1.14969198989479,36.3126438404498,587.446453995331,89.3277774341036,0.0218589132592186,1.19173059370388
5,5.080499,22.5,22.628769,-4.331,-4.824259,115.970917,NaN,1.001411,NaN,28.995289,400,399.912506,25,30.441853,9.379525,36.57877,50.004391,401.531494,399.642151,398.950226,4415.333984,9.842302,9.404239,9.408716,1.716437,1.695474,1.651692,23.555246,36.904602,16.410915,-6.893769,37.102451,41.8675,110.346619,0.114623807370663,515.550659,521.666129507437,2.24350530666775,0.0760029106522902,1.03815499741949,-13.8855684177251,618.52280174756,2.32627213513724,0.0244648420871659,1.14970324025159,36.3111564028062,587.438950057472,89.3203985274517,0.0218591164513336,1.19173700369466
5,5.078675,22.5,22.627174,-4.331,-4.840442,115.933739,NaN,1.00174,NaN,28.999664,400,399.992462,25,30.430183,9.372579,36.558533,50.004391,401.531494,399.642151,398.950226,4415.333984,9.842302,9.404239,9.408716,1.716437,1.695474,1.651692,23.555246,36.904602,16.410915,-6.893769,37.102451,41.8675,110.346619,0.114623807370663,515.550659,521.656088470704,2.24351955867492,0.0760267169235599,1.03812938535603,-13.8955910740551,618.48197008481,2.32617722528891,0.02446330635878,1.1497142104492,36.3083285605642,587.440629314052,89.3197501139269,0.0218608771754483,1.19171278474214
5,5.079496,22.5,22.625237,-4.331,-4.844835,115.899216,NaN,1.001283,NaN,29.033192,400,400.024353,25,30.425125,9.381624,36.52964,50.004391,401.499664,399.613647,398.953735,4409.01709,9.819973,9.387966,9.400914,1.723137,1.71374,1.659518,23.546127,36.843075,16.427795,-6.93195,37.092918,41.827847,110.368355,0,517.559753,521.648484868558,2.24346795832551,0.0760110781568253,1.03821741181229,-13.8910794386231,618.444601290711,2.32609335700985,0.0244624365649104,1.14971989945446,36.3048941692908,587.417691858061,89.2980039423085,0.0218608626231953,1.19174040824791
