P1_Set,P1_Process,P2_Set,P2_Process,T1_Set,T1_Process,T2_Process,P7_Set,P7_Process,T7_Set,T7_Process,Volt_Set,Volt_Process,T_Amb_Set,T_Amb_Process,TWI,TWO,Frequency,Volt1,Volt2,Volt3,Power,Current1,Current2,Current3,THD1,THD2,THD3,Oiltemp,MF_Suc,Dens_Suc,T_Suc,MF_Dis,Dens_Dis,T_Dis,MF_Oil,Dens_Oil,h1,s1,v1,cp1,te,h2,s2,v2,cp2,tc,h2is,t2is,v2is,cp2is
7,7.022655,28,28.0243,5.4075,5.706872,117.531364,NaN,1.006547,NaN,28.395842,400,401.766968,25,29.603506,9.327398,46.822418,50.012573,400.940125,398.741455,397.845581,5379.659668,10.827106,10.41113,10.409891,1.303358,1.3762,1.219495,25.143957,51.271305,20.532902,6.032572,51.417728,51.52277,113.874809,0.374571293592453,618.280029,526.048441926583,2.21346692777025,0.0558174761004288,1.09545169754898,-4.49511372345825,613.815218939283,2.2841952941252,0.0192647432420511,1.20426328665001,45.115440825516,586.969118717985,95.6769137739041,0.0174217472360562,1.26086458750501
7,7.023578,28,28.021397,5.4075,5.706272,117.58744,NaN,1.007059,NaN,28.399691,400,400.120636,25,29.60347,9.336655,46.571003,50.012573,401.177032,398.879242,398.401459,5383.076172,10.904758,10.372007,10.444784,1.325943,1.401334,1.278169,25.146126,51.302242,20.507275,6.048462,51.294506,51.41021,113.950462,0.372255146503448,624.35437,526.044671115619,2.21343493152022,0.0558088219121589,1.09551455228766,-4.49115287094492,613.886307239704,2.28439155725562,0.0192715963442794,1.20414288889804,45.111066075672,586.952260270826,95.6600305536554,0.0174224679379784,1.2608807694123
7,7.024613,28,28.022533,5.4075,5.709442,117.620003,NaN,1.006138,NaN,28.393847,400,399.670654,25,29.592657,9.336246,46.527538,50.012573,401.177032,398.879242,398.401459,5383.076172,10.904758,10.372007,10.444784,1.325943,1.401334,1.278169,25.146126,51.302242,20.507275,6.048462,51.294506,51.41021,113.950462,0.372255146503448,624.35437,526.044652547564,2.21341415267987,0.0558003540539012,1.09555658421279,-4.48671186573421,613.92412402198,2.28448273343502,0.0192733136070614,1.20410396610857,45.1127780410638,586.946575985757,95.6568971497297,0.0174213228325724,1.26091241652083
7,7.024498,28,28.022985,5.4075,5.710772,117.577805,NaN,1.00691,NaN,28.409937,400,399.658722,25,29.586327,9.337426,46.5257,50.015282,401.399414,399.006744,398.662445,5388.411621,10.895578,10.350196,10.408015,1.313574,1.364686,1.259777,25.149359,51.272621,20.511028,6.047381,51.381832,51.457119,113.925583,0.374201983213425,627.5625,526.046497554203,2.21342307012329,0.0558018349177779,1.0955394563803,-4.48720528618242,613.872757415258,2.28434904739039,0.0192695457076488,1.20417547618761,45.1134591956466,586.95065226109,95.6606769403171,0.0174213126305151,1.26090540579543
7,7.02528,28,28.020399,5.4075,5.710772,117.577805,NaN,1.006988,NaN,28.409937,400,399.658722,25,29.586327,9.333983,46.581352,50.015282,401.578827,399.121948,398.817322,5382.484375,10.905251,10.34973,10.403745,1.337522,1.385396,1.289804,25.140879,51.247772,20.514782,6.043096,51.340191,51.481464,113.919327,0.37291756272316,627.042419,526.043859633606,2.21339796317168,0.0557946694645781,1.09558895052323,-4.48385014827147,613.875929381493,2.28436991956455,0.0192716187861606,1.20414717368556,45.1095620341513,586.936887478698,95.6466308390206,0.0174220426398162,1.26091595972773
7,7.025649,28,28.021099,5.4075,5.703891,117.493355,NaN,1.006852,NaN,28.411423,400,399.725891,25,29.586203,9.328042,46.783772,50.015282,401.578827,399.121948,398.817322,5382.484375,10.905251,10.34973,10.403745,1.337522,1.385396,1.289804,25.140879,51.247772,20.514782,6.043096,51.340191,51.481464,113.919327,0.37291756272316,627.042419,526.035075765844,2.21335908096666,0.0557890797337434,1.09566329515783,-4.48226706801552,613.773374260838,2.28410396688629,0.0192642403543753,1.20428840141108,45.1106169773794,586.923767532266,95.6370731689229,0.0174206610830562,1.26096522711921
7,7.024661,28,28.020706,5.4075,5.705672,117.511398,NaN,1.007337,NaN,28.417881,400,399.791443,25,29.578339,9.326828,46.931583,50.015282,401.555725,399.091614,398.790649,5382.463867,10.927252,10.349213,10.400267,1.341666,1.382455,1.300078,25.120682,51.28735,20.509985,6.043147,51.412323,51.497623,113.906052,0.334145933389664,627.708191,526.040360314783,2.21339779999226,0.0557987037518943,1.0955875471272,-4.48650591814669,613.795585312293,2.28416276128331,0.0192660120656331,1.20425551575614,45.1100247045886,586.937362152803,95.6473788409607,0.0174218744839354,1.26091829331282
7,7.024954,28,28.019768,5.4075,5.711816,117.624023,NaN,1.006691,NaN,28.444263,400,399.83197,25,29.569931,9.339507,47.05891,50.015282,401.598297,399.089386,398.760742,5379.243164,10.919697,10.359232,10.408572,1.344578,1.385219,1.295423,25.117748,51.228027,20.508535,6.04395,51.42009,51.460312,113.931938,0.300193399190903,629.040771,526.046103111419,2.21341253112455,0.0557979915914582,1.09556058468212,-4.48524880295372,613.932354622507,2.28451743403438,0.0192758549079499,1.20406739522882,45.108611060928,586.941160756494,95.6492562235526,0.0174227571839628,1.26089492596794
7,7.024613,28,28.02017,5.4075,5.709608,117.685715,NaN,1.007165,NaN,28.460211,400,399.824158,25,29.569868,9.345939,47.128754,50.015282,401.598297,399.089386,398.760742,5379.243164,10.919697,10.359232,10.408572,1.344578,1.385219,1.295423,25.117748,51.228027,20.508535,6.04395,51.42009,51.460312,113.931938,0.300193399190903,629.040771,526.044834409855,2.21341480484441,0.0558004073516817,1.09555535480986,-4.48671186573421,614.006140344056,2.28470425550108,0.0192805107079339,1.20397475087599,45.1092169126387,586.942699696466,95.650963251251,0.0174226014529652,1.26089514412374
7,7.025531,28,28.021797,5.4075,5.708291,117.688522,NaN,1.007123,NaN,28.477177,400,399.846558,25,29.578453,9.352471,47.180115,50.015282,401.512085,398.965851,398.66452,5382.780762,10.933749,10.362865,10.413647,1.331785,1.370433,1.286628,25.079475,51.22879,20.537491,6.022053,51.345657,51.438831,113.948067,0.300099819898605,630.386597,526.040294694702,2.21338015726695,0.055791573371163,1.09562321868508,-4.48277330360463,614.007526209627,2.28469977541021,0.0192794325015941,1.20398811331414,45.1116688864358,586.932756252175,95.6450464690461,0.0174208346850145,1.26094605574419
7,7.025016,28,28.021509,5.4075,5.703253,117.725342,NaN,1.007033,NaN,28.49181,400,399.808655,25,29.599985,9.350503,47.158134,50.015282,401.512085,398.965851,398.66452,5382.780762,10.933749,10.362865,10.413647,1.331785,1.370433,1.286628,25.079475,51.22879,20.537491,6.022053,51.345657,51.438831,113.948067,0.300099819898605,630.386597,526.036512379435,2.21337689762708,0.0557946742227939,1.09562794430795,-4.48498279734173,614.052208781585,2.2848155156263,0.0192826339426376,1.2039271761961,45.1112348633484,586.931052394743,95.6433466541611,0.0174209039654293,1.2609477610647
7,7.025016,28,28.021509,5.4075,5.704373,117.784584,NaN,1.007033,NaN,28.501608,400,399.859222,25,29.613817,9.344019,47.028107,50.015282,401.743011,399.183868,398.887634,5379.714844,10.944618,10.366722,10.422573,1.318323,1.359771,1.274519,25.082607,51.290157,20.513527,6.037605,51.3745,51.421021,113.971382,0.279817640781403,630.232544,526.037739478085,2.21338129813585,0.0557950338247401,1.09561964521176,-4.48498279734173,614.123529085799,2.28499796484329,0.0192874125800731,1.20383439277245,45.1112348633484,586.932675276023,95.6446336896449,0.0174210180208411,1.26094273938093
7,7.026625,28,28.019669,5.4075,5.708439,117.808075,NaN,1.007086,NaN,28.488369,400,399.958984,25,29.605774,9.347123,46.76133,50.010033,401.693695,399.071259,398.808594,5381.72168,10.956533,10.366438,10.421314,1.32828,1.362371,1.276267,25.09235,51.2995,20.479988,6.07502,51.435764,51.416477,113.982727,0.273610055446625,629.602966,526.036766072312,2.21334561760039,0.0557815999776725,1.0956913832212,-4.47808014698097,614.154060212006,2.2850851387535,0.0192907830997788,1.20377761501171,45.1084618576223,586.916311283527,95.6294291848621,0.0174210756432238,1.26097059235148
7,7.026544,28,28.022396,5.4075,5.723354,117.783401,NaN,1.007205,NaN,28.47448,400,399.922241,25,29.592604,9.345473,46.475769,50.010033,401.610443,398.956085,398.663391,5383.315918,10.958195,10.377561,10.415058,1.34682,1.385831,1.29881,25.117338,51.197292,20.524374,6.033981,51.509094,51.408653,113.987495,0.295664548873901,629.214111,526.05338068144,2.21340681713289,0.0557871296115288,1.09557576019138,-4.47842761027749,614.121018952019,2.28498716790167,0.0192866057765374,1.20384591556432,45.1125715832608,586.943631923103,95.6543964961338,0.0174212058542968,1.26091982669139
7,7.027476,28,28.021927,5.4075,5.728584,117.752373,NaN,1.005935,NaN,28.474627,400,399.866943,25,29.586245,9.334414,46.497498,50.010033,401.610443,398.956085,398.663391,5383.315918,10.958195,10.377561,10.415058,1.34682,1.385831,1.29881,25.117338,51.197292,20.524374,6.033981,51.509094,51.408653,113.987495,0.295664548873901,629.214111,526.055967237874,2.21339744922455,0.0557802730591089,1.09559600211992,-4.47442982163631,614.084239646309,2.28489539718719,0.0192844792409496,1.20388937083918,45.1118647985184,586.93935996082,95.6504409471895,0.0174212134576234,1.26092723406183
7,7.026324,28,28.02066,5.4075,5.723082,117.760231,NaN,1.006967,NaN,28.469011,400,399.846619,25,29.584173,9.34537,46.580666,50.010033,401.717773,399.029205,398.81015,5383.984863,10.929708,10.35424,10.38419,1.352977,1.401529,1.314757,25.090992,51.295555,20.504984,6.038907,51.421246,51.447582,113.984756,0.290564507246018,630.261414,526.05382469737,2.21341281037239,0.0557890573620634,1.09556385418141,-4.47937135312202,614.09525132252,2.28492981751807,0.0192861292304817,1.20386324226588,45.1099553796233,586.942817832437,95.651649951105,0.0174222881069989,1.26090084679967
7,7.026013,28,28.018532,5.4075,5.719381,117.836784,NaN,1.006897,NaN,28.479906,400,399.844147,25,29.594677,9.35693,46.563759,50.010033,401.717773,399.029205,398.81015,5383.984863,10.929708,10.35424,10.38419,1.352977,1.401529,1.314757,25.090992,51.295555,20.504984,6.038907,51.421246,51.447582,113.984756,0.290564507246018,630.261414,526.050818959821,2.21340825388934,0.0557907180874787,1.09557158015468,-4.48070550066399,614.190010214595,2.28518269946433,0.0192940105988152,1.20372041216648,45.1067482513837,586.93742983778,95.6448013857176,0.0174233063649868,1.26089115965321
7,7.026974,28,28.02037,5.4075,5.713324,117.939529,NaN,1.007243,NaN,28.487988,400,399.8302,25,29.613722,9.349498,46.478619,50.010033,401.696655,398.948608,398.763367,5383.225586,10.930844,10.355864,10.386914,1.331383,1.380924,1.306105,25.062534,51.281788,20.500195,6.04479,51.356766,51.455685,113.975723,0.319680869579315,633.63324,526.040941096778,2.21335360823366,0.0557799719319628,1.09567727383184,-4.47658308687295,614.311431060096,2.28548413803118,0.0193008201718603,1.20358050263789,45.109518328926,586.920479293155,95.6335830898428,0.0174209084642369,1.26096637455347
7,7.027484,28,28.019447,5.4075,5.709949,117.991241,NaN,1.006773,NaN,28.526814,400,399.838257,25,29.623625,9.329969,46.547131,50.010033,401.798767,399.010559,398.891907,5382.018555,10.940349,10.360562,10.394999,1.330813,1.37004,1.309033,25.079899,51.23711,20.50666,6.036366,51.329601,51.445961,113.973335,0.349890857934952,637.85498,526.035522529793,2.21332397633828,0.055774218487834,1.09573457949109,-4.47439550759913,614.374796509344,2.28565070560727,0.0193057292149934,1.20349026047908,45.1081272790478,586.907943762484,95.6225247430304,0.0174206332375901,1.26099374644219
7,7.026647,28,28.019253,5.4075,5.705559,117.995796,NaN,1.006601,NaN,28.539989,400,399.889648,25,29.619646,9.321854,46.671104,50.010033,401.798767,399.010559,398.891907,5382.018555,10.940349,10.360562,10.394999,1.330813,1.37004,1.309033,25.079899,51.23711,20.50666,6.036366,51.329601,51.445961,113.973335,0.349890857934952,637.85498,526.033536223943,2.21333359507034,0.0557804739472631,1.09571412519793,-4.47798577475976,614.380515462165,2.28566628425999,0.0193062520451537,1.203481097202,45.1078348979145,586.911152934152,95.6248348740085,0.017420986142958,1.26098140741434
7,7.027341,28,28.019665,5.4075,5.704179,117.976112,NaN,1.008472,NaN,28.551735,400,399.887726,25,29.619768,9.326289,46.844917,50.010033,401.739075,399.014862,398.84729,5381.975098,10.950193,10.365145,10.405991,1.320588,1.361249,1.298281,25.104801,51.266041,20.533319,6.00542,51.397022,51.381912,114.014,0.365378648042679,638.514648,526.029682521253,2.21330589380874,0.0557736756772206,1.09576830791767,-4.47500887548927,614.356322281761,2.28560239711731,0.0193043348243419,1.20351607521595,45.1084558291976,586.90165522821,95.6178017150337,0.0174200481423826,1.26101591956806
